name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna unguiculata	3917	S	6782	4262	11044	0.00781
Vigna radiata	157791	S	6755	1826	8581	0.00607
Vigna angularis	3914	S	5648	2121	7769	0.00549
Glycine soja	3848	S	2099	6528	8627	0.00610
Glycine max	3847	S	1794	6683	8477	0.00599
Cajanus cajan	3821	S	8804	1984	10788	0.00763
Phaseolus vulgaris	3885	S	6061	1405	7466	0.00528
Pisum sativum	3888	S	14533	3059	17592	0.01244
Vicia villosa	3911	S	12783	2431	15214	0.01076
Medicago truncatula	3880	S	4617	854	5471	0.00387
Trifolium pratense	57577	S	4046	4547	8593	0.00608
Cicer arietinum	3827	S	6328	3184	9512	0.00672
Lotus japonicus	34305	S	4207	906	5113	0.00361
Arachis stenosperma	217475	S	6549	2914	9463	0.00669
Arachis hypogaea	3818	S	6049	12559	18608	0.01316
Arachis duranensis	130453	S	2413	2873	5286	0.00374
Arachis ipaensis	130454	S	737	6341	7078	0.00500
Lupinus angustifolius	3871	S	7021	2496	9517	0.00673
Malus sylvestris	3752	S	2181	2933	5114	0.00362
Malus domestica	3750	S	2168	2156	4324	0.00306
Pyrus communis	23211	S	3844	1252	5096	0.00360
Prunus mume	102107	S	1874	885	2759	0.00195
Prunus persica	3760	S	1781	1215	2996	0.00212
Prunus dulcis	3755	S	1418	921	2339	0.00165
Rosa chinensis	74649	S	2861	640	3501	0.00248
Rosa rugosa	74645	S	2394	794	3188	0.00225
Argentina anserina	57926	S	1878	1218	3096	0.00219
Fragaria vesca	57918	S	1689	778	2467	0.00174
Humulus lupulus	3486	S	14187	7480	21667	0.01532
Cannabis sativa	3483	S	6459	1088	7547	0.00534
Ziziphus jujuba	326968	S	6611	4979	11590	0.00819
Hevea brasiliensis	3981	S	12257	2191	14448	0.01021
Manihot esculenta	3983	S	7258	3517	10775	0.00762
Ricinus communis	3988	S	4228	1566	5794	0.00410
Mercurialis annua	3986	S	4069	4328	8397	0.00594
Euphorbia lathyris	212925	S	7030	1251	8281	0.00585
