name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna unguiculata	3917	S	5391	3539	8930	0.00936
Vigna radiata	157791	S	4721	1355	6076	0.00637
Vigna angularis	3914	S	4116	1617	5733	0.00601
Glycine soja	3848	S	1566	4750	6316	0.00662
Glycine max	3847	S	1337	4889	6226	0.00653
Cajanus cajan	3821	S	6457	1546	8003	0.00839
Phaseolus vulgaris	3885	S	4673	1157	5830	0.00611
Pisum sativum	3888	S	10691	2297	12988	0.01362
Vicia villosa	3911	S	8725	1678	10403	0.01091
Medicago truncatula	3880	S	3230	622	3852	0.00404
Trifolium pratense	57577	S	2855	3297	6152	0.00645
Cicer arietinum	3827	S	4903	2633	7536	0.00790
Lotus japonicus	34305	S	3090	695	3785	0.00397
Arachis stenosperma	217475	S	4715	2212	6927	0.00726
Arachis hypogaea	3818	S	4419	9606	14025	0.01470
Arachis duranensis	130453	S	1829	2299	4128	0.00433
Arachis ipaensis	130454	S	505	4530	5035	0.00528
Lupinus angustifolius	3871	S	5278	1983	7261	0.00761
Malus sylvestris	3752	S	1386	2082	3468	0.00364
Malus domestica	3750	S	1369	1557	2926	0.00307
Pyrus communis	23211	S	2657	961	3618	0.00379
Prunus mume	102107	S	1284	662	1946	0.00204
Prunus persica	3760	S	1153	847	2000	0.00210
Prunus dulcis	3755	S	1046	741	1787	0.00187
Rosa chinensis	74649	S	1932	443	2375	0.00249
Rosa rugosa	74645	S	1553	525	2078	0.00218
Argentina anserina	57926	S	1359	902	2261	0.00237
Fragaria vesca	57918	S	1273	630	1903	0.00199
Humulus lupulus	3486	S	10304	5562	15866	0.01663
Cannabis sativa	3483	S	4721	860	5581	0.00585
Ziziphus jujuba	326968	S	4617	3587	8204	0.00860
Hevea brasiliensis	3981	S	9490	1853	11343	0.01189
Manihot esculenta	3983	S	5520	2779	8299	0.00870
Ricinus communis	3988	S	3172	1280	4452	0.00467
Mercurialis annua	3986	S	2937	3218	6155	0.00645
Euphorbia lathyris	212925	S	4822	902	5724	0.00600
Populus nigra	3691	S	3407	12395	15802	0.01656
Populus trichocarpa	3694	S	3243	1417	4660	0.00488
Juglans regia	51240	S	3704	2778	6482	0.00679
Juglans microcarpa x Juglans regia	2249226	S	3571	1601	5172	0.00542
Carya illinoinensis	32201	S	4356	2426	6782	0.00711
Quercus lobata	97700	S	4616	3025	7641	0.00801
Quercus robur	38942	S	4178	5691	9869	0.01035
Alnus glutinosa	3517	S	3938	4909	8847	0.00927
Corylus avellana	13451	S	3517	713	4230	0.00443
Benincasa hispida	102211	S	6338	475	6813	0.00714
Cucumis melo	3656	S	3241	19240	22481	0.02357
Cucumis sativus	3659	S	2327	503	2830	0.00297
Cucurbita pepo	3663	S	2441	815	3256	0.00341
Tripterygium wilfordii	458696	S	1735	1407	3142	0.00329
Gossypium hirsutum	3635	S	7934	5128	13062	0.01369
Gossypium arboreum	29729	S	3383	2196	5579	0.00585
Gossypium raimondii	29730	S	2680	1596	4276	0.00448
Theobroma cacao	3641	S	2289	218	2507	0.00263
Brassica napus	3708	S	2451	10851	13302	0.01394
Brassica oleracea	3712	S	1238	1469	2707	0.00284
Brassica rapa	3711	S	851	1887	2738	0.00287
Raphanus sativus	3726	S	2784	10031	12815	0.01343
Camelina sativa	90675	S	4567	443	5010	0.00525
Arabidopsis thaliana	3702	S	809	214	1023	0.00107
Eucalyptus grandis	71139	S	4522	3586	8108	0.00850
Rhodamnia argentea	178133	S	2301	624	2925	0.00307
Punica granatum	22663	S	2474	847	3321	0.00348
Mangifera indica	29780	S	3325	1469	4794	0.00503
Citrus sinensis	2711	S	2586	1148	3734	0.00391
Vitis riparia	96939	S	2683	2513	5196	0.00545
Vitis vinifera	29760	S	2636	2977	5613	0.00588
Solanum pennellii	28526	S	3781	1605	5386	0.00565
Solanum lycopersicum	4081	S	3471	9115	12586	0.01319
Solanum dulcamara	45834	S	4159	3317	7476	0.00784
Solanum stenotomum	172797	S	3595	746	4341	0.00455
Capsicum annuum	4072	S	13210	1057	14267	0.01496
Lycium barbarum	112863	S	4422	1238	5660	0.00593
Lycium ferocissimum	112874	S	4066	1509	5575	0.00584
