name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna radiata	157791	S	3198	867	4065	0.00673
Vigna unguiculata	3917	S	2744	1703	4447	0.00736
Vigna angularis	3914	S	2420	903	3323	0.00550
Glycine soja	3848	S	1211	2977	4188	0.00693
Glycine max	3847	S	796	2418	3214	0.00532
Cajanus cajan	3821	S	3607	784	4391	0.00727
Phaseolus vulgaris	3885	S	2652	586	3238	0.00536
Pisum sativum	3888	S	5735	1199	6934	0.01148
Vicia villosa	3911	S	4834	901	5735	0.00949
Trifolium pratense	57577	S	1710	1925	3635	0.00602
Medicago truncatula	3880	S	1512	274	1786	0.00296
Cicer arietinum	3827	S	2560	1284	3844	0.00636
Lotus japonicus	34305	S	1868	407	2275	0.00377
Arachis stenosperma	217475	S	2613	1171	3784	0.00626
Arachis hypogaea	3818	S	2468	5155	7623	0.01262
Arachis duranensis	130453	S	1030	1235	2265	0.00375
Arachis ipaensis	130454	S	289	2500	2789	0.00462
Lupinus angustifolius	3871	S	3138	1117	4255	0.00704
Malus sylvestris	3752	S	917	1520	2437	0.00403
Malus domestica	3750	S	816	1054	1870	0.00310
Pyrus communis	23211	S	1708	662	2370	0.00392
Prunus mume	102107	S	745	412	1157	0.00191
Prunus persica	3760	S	623	550	1173	0.00194
Prunus dulcis	3755	S	531	455	986	0.00163
Rosa chinensis	74649	S	1262	293	1555	0.00257
Rosa rugosa	74645	S	1115	384	1499	0.00248
Argentina anserina	57926	S	941	620	1561	0.00258
Fragaria vesca	57918	S	786	362	1148	0.00190
Humulus lupulus	3486	S	6264	3359	9623	0.01593
Cannabis sativa	3483	S	2690	457	3147	0.00521
Ziziphus jujuba	326968	S	2689	2042	4731	0.00783
Juglans microcarpa x Juglans regia	2249226	S	2490	1089	3579	0.00592
Juglans regia	51240	S	2022	1475	3497	0.00579
Carya illinoinensis	32201	S	2576	1377	3953	0.00654
Quercus lobata	97700	S	2790	1882	4672	0.00773
Quercus robur	38942	S	2566	3570	6136	0.01016
Alnus glutinosa	3517	S	2460	3013	5473	0.00906
Corylus avellana	13451	S	1985	401	2386	0.00395
Hevea brasiliensis	3981	S	5446	1015	6461	0.01069
Manihot esculenta	3983	S	3038	1524	4562	0.00755
Ricinus communis	3988	S	1713	645	2358	0.00390
Mercurialis annua	3986	S	1482	1599	3081	0.00510
Euphorbia lathyris	212925	S	2902	523	3425	0.00567
Populus nigra	3691	S	1989	7241	9230	0.01528
Populus trichocarpa	3694	S	1752	749	2501	0.00414
Benincasa hispida	102211	S	3264	230	3494	0.00578
Cucumis melo	3656	S	1734	9917	11651	0.01928
Cucumis sativus	3659	S	1156	239	1395	0.00231
Cucurbita pepo	3663	S	1361	437	1798	0.00298
Tripterygium wilfordii	458696	S	973	778	1751	0.00290
Gossypium hirsutum	3635	S	4006	2808	6814	0.01128
Gossypium arboreum	29729	S	1692	1184	2876	0.00476
Gossypium raimondii	29730	S	1267	799	2066	0.00342
Theobroma cacao	3641	S	1299	121	1420	0.00235
Brassica napus	3708	S	1440	6251	7691	0.01273
Brassica oleracea	3712	S	693	799	1492	0.00247
Brassica rapa	3711	S	591	1283	1874	0.00310
Raphanus sativus	3726	S	1626	5450	7076	0.01171
Camelina sativa	90675	S	3000	276	3276	0.00542
Arabidopsis thaliana	3702	S	492	122	614	0.00102
Eucalyptus grandis	71139	S	3336	2493	5829	0.00965
Rhodamnia argentea	178133	S	1633	445	2078	0.00344
Punica granatum	22663	S	1935	651	2586	0.00428
Mangifera indica	29780	S	1708	740	2448	0.00405
Citrus sinensis	2711	S	1391	589	1980	0.00328
Vitis riparia	96939	S	1691	1521	3212	0.00532
Vitis vinifera	29760	S	1475	1601	3076	0.00509
Solanum lycopersicum	4081	S	2001	5190	7191	0.01190
Solanum pennellii	28526	S	1998	812	2810	0.00465
Solanum dulcamara	45834	S	2326	1850	4176	0.00691
Solanum stenotomum	172797	S	2062	433	2495	0.00413
Capsicum annuum	4072	S	7812	625	8437	0.01396
Lycium ferocissimum	112874	S	2902	1012	3914	0.00648
Lycium barbarum	112863	S	2894	778	3672	0.00608
Nicotiana sylvestris	4096	S	3519	821	4340	0.00718
