name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna unguiculata	3917	S	5808	3568	9376	0.00877
Vigna radiata	157791	S	5691	1484	7175	0.00671
Vigna angularis	3914	S	4367	1549	5916	0.00553
Glycine soja	3848	S	1689	4842	6531	0.00611
Glycine max	3847	S	1663	5769	7432	0.00695
Cajanus cajan	3821	S	6840	1519	8359	0.00782
Phaseolus vulgaris	3885	S	5229	1195	6424	0.00601
Pisum sativum	3888	S	12605	2531	15136	0.01416
Vicia villosa	3911	S	9910	1788	11698	0.01094
Medicago truncatula	3880	S	3512	631	4143	0.00388
Trifolium pratense	57577	S	3361	3723	7084	0.00663
Cicer arietinum	3827	S	5285	2644	7929	0.00742
Lotus japonicus	34305	S	3581	764	4345	0.00406
Arachis hypogaea	3818	S	4956	10431	15387	0.01439
Arachis stenosperma	217475	S	4857	2192	7049	0.00659
Arachis duranensis	130453	S	1961	2381	4342	0.00406
Arachis ipaensis	130454	S	508	4426	4934	0.00462
Lupinus angustifolius	3871	S	5584	1954	7538	0.00705
Malus sylvestris	3752	S	1909	2645	4554	0.00426
Malus domestica	3750	S	1672	1733	3405	0.00319
Pyrus communis	23211	S	3199	1058	4257	0.00398
Prunus mume	102107	S	1498	743	2241	0.00210
Prunus persica	3760	S	1223	877	2100	0.00196
Prunus dulcis	3755	S	1107	763	1870	0.00175
Rosa chinensis	74649	S	2348	498	2846	0.00266
Rosa rugosa	74645	S	1798	566	2364	0.00221
Argentina anserina	57926	S	1548	982	2530	0.00237
Fragaria vesca	57918	S	1509	704	2213	0.00207
Humulus lupulus	3486	S	12170	6322	18492	0.01730
Cannabis sativa	3483	S	5241	867	6108	0.00571
Ziziphus jujuba	326968	S	5368	3992	9360	0.00876
Hevea brasiliensis	3981	S	9944	1883	11827	0.01106
Manihot esculenta	3983	S	5496	2713	8209	0.00768
Ricinus communis	3988	S	3422	1344	4766	0.00446
Mercurialis annua	3986	S	3031	3226	6257	0.00585
Euphorbia lathyris	212925	S	5436	985	6421	0.00601
Populus nigra	3691	S	3716	13135	16851	0.01576
Populus trichocarpa	3694	S	3713	1521	5234	0.00490
Juglans regia	51240	S	4137	3017	7154	0.00669
Juglans microcarpa x Juglans regia	2249226	S	4103	1781	5884	0.00550
Carya illinoinensis	32201	S	4935	2621	7556	0.00707
Quercus lobata	97700	S	5538	3500	9038	0.00845
Quercus robur	38942	S	4882	6461	11343	0.01061
Alnus glutinosa	3517	S	4308	5251	9559	0.00894
Corylus avellana	13451	S	3713	730	4443	0.00416
Benincasa hispida	102211	S	7092	512	7604	0.00711
Cucumis melo	3656	S	3477	20086	23563	0.02204
Cucumis sativus	3659	S	2370	496	2866	0.00268
Cucurbita pepo	3663	S	2606	841	3447	0.00322
Tripterygium wilfordii	458696	S	1987	1564	3551	0.00332
Gossypium hirsutum	3635	S	11143	6817	17960	0.01680
Gossypium arboreum	29729	S	3689	2268	5957	0.00557
Gossypium raimondii	29730	S	3151	1773	4924	0.00461
Theobroma cacao	3641	S	2413	214	2627	0.00246
Brassica napus	3708	S	2729	11544	14273	0.01335
Brassica oleracea	3712	S	1474	1692	3166	0.00296
Brassica rapa	3711	S	987	2109	3096	0.00290
Raphanus sativus	3726	S	3281	11017	14298	0.01338
Camelina sativa	90675	S	5535	484	6019	0.00563
Arabidopsis thaliana	3702	S	867	209	1076	0.00101
Eucalyptus grandis	71139	S	5034	3737	8771	0.00821
Rhodamnia argentea	178133	S	2780	729	3509	0.00328
Punica granatum	22663	S	3011	972	3983	0.00373
