name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna unguiculata	3917	S	6850	4242	11092	0.01008
Vigna radiata	157791	S	6372	1696	8068	0.00733
Vigna angularis	3914	S	5161	1845	7006	0.00637
Glycine soja	3848	S	2194	6243	8437	0.00767
Glycine max	3847	S	1700	5862	7562	0.00687
Cajanus cajan	3821	S	7697	1720	9417	0.00856
Phaseolus vulgaris	3885	S	6272	1452	7724	0.00702
Pisum sativum	3888	S	13331	2659	15990	0.01453
Vicia villosa	3911	S	11695	2060	13755	0.01250
Medicago truncatula	3880	S	4163	747	4910	0.00446
Trifolium pratense	57577	S	4006	4433	8439	0.00767
Cicer arietinum	3827	S	6323	3198	9521	0.00865
Lotus japonicus	34305	S	3794	810	4604	0.00418
Arachis stenosperma	217475	S	6090	2853	8943	0.00813
Arachis hypogaea	3818	S	5405	11927	17332	0.01575
Arachis duranensis	130453	S	2310	2925	5235	0.00476
Arachis ipaensis	130454	S	651	5973	6624	0.00602
Lupinus angustifolius	3871	S	5687	2004	7691	0.00699
Malus sylvestris	3752	S	1851	2631	4482	0.00407
Malus domestica	3750	S	1626	1740	3366	0.00306
Pyrus communis	23211	S	3428	1162	4590	0.00417
Prunus persica	3760	S	1864	1234	3098	0.00282
Prunus mume	102107	S	1507	729	2236	0.00203
Prunus dulcis	3755	S	1109	704	1813	0.00165
Rosa chinensis	74649	S	2254	498	2752	0.00250
Rosa rugosa	74645	S	1825	595	2420	0.00220
Argentina anserina	57926	S	1668	1057	2725	0.00248
Fragaria vesca	57918	S	1503	705	2208	0.00201
Humulus lupulus	3486	S	12684	6606	19290	0.01753
Cannabis sativa	3483	S	5979	1024	7003	0.00637
Ziziphus jujuba	326968	S	5779	4304	10083	0.00916
Hevea brasiliensis	3981	S	11830	2210	14040	0.01276
Manihot esculenta	3983	S	6731	3242	9973	0.00906
Ricinus communis	3988	S	3911	1522	5433	0.00494
Mercurialis annua	3986	S	3791	4003	7794	0.00708
Euphorbia lathyris	212925	S	6488	1164	7652	0.00695
Populus nigra	3691	S	4559	15968	20527	0.01866
Populus trichocarpa	3694	S	4491	1828	6319	0.00574
Juglans microcarpa x Juglans regia	2249226	S	4363	1907	6270	0.00570
Juglans regia	51240	S	4309	3152	7461	0.00678
Carya illinoinensis	32201	S	5333	2821	8154	0.00741
Quercus lobata	97700	S	5920	4044	9964	0.00906
Quercus robur	38942	S	5208	7123	12331	0.01121
Alnus glutinosa	3517	S	4484	5349	9833	0.00894
Corylus avellana	13451	S	4080	785	4865	0.00442
Benincasa hispida	102211	S	8237	601	8838	0.00803
Cucumis melo	3656	S	4073	23512	27585	0.02507
Cucumis sativus	3659	S	2735	565	3300	0.00300
Cucurbita pepo	3663	S	2713	872	3585	0.00326
Tripterygium wilfordii	458696	S	2170	1693	3863	0.00351
Gossypium hirsutum	3635	S	10207	6390	16597	0.01509
Gossypium arboreum	29729	S	4678	2952	7630	0.00693
Gossypium raimondii	29730	S	3904	2263	6167	0.00561
Theobroma cacao	3641	S	3148	295	3443	0.00313
Brassica napus	3708	S	3027	13131	16158	0.01469
Brassica oleracea	3712	S	1519	1809	3328	0.00302
Brassica rapa	3711	S	1279	2818	4097	0.00372
Raphanus sativus	3726	S	3717	13008	16725	0.01520
Camelina sativa	90675	S	5399	468	5867	0.00533
Arabidopsis thaliana	3702	S	1189	295	1484	0.00135
Eucalyptus grandis	71139	S	5392	4129	9521	0.00865
Rhodamnia argentea	178133	S	3018	796	3814	0.00347
Punica granatum	22663	S	3123	1049	4172	0.00379
Mangifera indica	29780	S	4205	1724	5929	0.00539
Citrus sinensis	2711	S	3206	1395	4601	0.00418
Vitis riparia	96939	S	3812	3490	7302	0.00664
Vitis vinifera	29760	S	3287	3593	6880	0.00625
Solanum pennellii	28526	S	4779	1915	6694	0.00608
Solanum lycopersicum	4081	S	4752	12014	16766	0.01524
Solanum dulcamara	45834	S	5516	4242	9758	0.00887
Solanum stenotomum	172797	S	4983	989	5972	0.00543
Capsicum annuum	4072	S	17487	1353	18840	0.01712
Lycium ferocissimum	112874	S	5776	2134	7910	0.00719
Lycium barbarum	112863	S	5237	1473	6710	0.00610
Nicotiana sylvestris	4096	S	7300	1677	8977	0.00816
Nicotiana attenuata	49451	S	6255	2403	8658	0.00787
Nicotiana tomentosiformis	4098	S	5905	1264	7169	0.00652
Ipomoea triloba	35885	S	3729	1884	5613	0.00510
Salvia miltiorrhiza	226208	S	4170	708	4878	0.00443
Salvia hispanica	49212	S	2604	791	3395	0.00309
Salvia splendens	180675	S	4805	973	5778	0.00525
Olea europaea	4146	S	7554	713	8267	0.00751
Sesamum indicum	4182	S	2863	590	3453	0.00314
Coffea arabica	13443	S	3479	1573	5052	0.00459
Coffea eugenioides	49369	S	1233	1379	2612	0.00237
Rutidosis leptorrhynchoides	125765	S	13842	6570	20412	0.01855
Helianthus annuus	4232	S	10914	1242	12156	0.01105
Erigeron canadensis	72917	S	3340	623	3963	0.00360
Lactuca sativa	4236	S	10085	2886	12971	0.01179
Cynara cardunculus	4265	S	4777	653	5430	0.00494
Daucus carota	4039	S	3015	776	3791	0.00345
Impatiens glandulifera	253017	S	7642	2455	10097	0.00918
Actinidia eriantha	165200	S	7023	886	7909	0.00719
Diospyros lotus	55363	S	6104	786	6890	0.00626
Rhododendron vialii	182163	S	3856	756	4612	0.00419
Beta vulgaris	161934	S	3850	1472	5322	0.00484
Spinacia oleracea	3562	S	3424	18121	21545	0.01958
Amaranthus tricolor	29722	S	3983	16943	20926	0.01902
Malania oleifera	397392	S	11263	2334	13597	0.01236
Triticum aestivum	4565	S	8790	10457	19247	0.01749
Triticum dicoccoides	85692	S	5441	5891	11332	0.01030
Triticum urartu	4572	S	3914	2641	6555	0.00596
Aegilops tauschii	37682	S	2769	3410	6179	0.00562
Hordeum vulgare	4513	S	14241	7599	21840	0.01985
Lolium rigidum	89674	S	4608	1277	5885	0.00535
Lolium perenne	4522	S	2944	1785	4729	0.00430
Brachypodium distachyon	15368	S	2091	349	2440	0.00222
Oryza brachyantha	4533	S	2947	661	3608	0.00328
Oryza glaberrima	4538	S	1428	1799	3227	0.00293
Oryza sativa	4530	S	1314	3605	4919	0.00447
Miscanthus floridulus	154761	S	6931	1073	8004	0.00727
Zea mays	4577	S	4572	2003	6575	0.00598
