name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna unguiculata	3917	S	11518	7189	18707	0.01039
Vigna radiata	157791	S	11469	3135	14604	0.00811
Vigna angularis	3914	S	8574	3141	11715	0.00651
Glycine soja	3848	S	3283	10848	14131	0.00785
Glycine max	3847	S	2575	10110	12685	0.00704
Cajanus cajan	3821	S	14238	3268	17506	0.00972
Phaseolus vulgaris	3885	S	10672	2525	13197	0.00733
Pisum sativum	3888	S	22872	4614	27486	0.01526
Vicia villosa	3911	S	20732	3730	24462	0.01358
Medicago truncatula	3880	S	6863	1269	8132	0.00452
Trifolium pratense	57577	S	6289	6889	13178	0.00732
Cicer arietinum	3827	S	11085	5757	16842	0.00935
Lotus japonicus	34305	S	5466	1146	6612	0.00367
Arachis stenosperma	217475	S	10435	4872	15307	0.00850
Arachis hypogaea	3818	S	9314	20276	29590	0.01643
Arachis duranensis	130453	S	3715	4671	8386	0.00466
Arachis ipaensis	130454	S	1030	9274	10304	0.00572
Lupinus angustifolius	3871	S	9824	3559	13383	0.00743
Malus sylvestris	3752	S	2488	3719	6207	0.00345
Malus domestica	3750	S	2225	2562	4787	0.00266
Pyrus communis	23211	S	4566	1600	6166	0.00342
Prunus mume	102107	S	2245	1122	3367	0.00187
Prunus persica	3760	S	2064	1495	3559	0.00198
Prunus dulcis	3755	S	1575	1106	2681	0.00149
Rosa chinensis	74649	S	3665	897	4562	0.00253
Rosa rugosa	74645	S	2600	931	3531	0.00196
Argentina anserina	57926	S	2274	1405	3679	0.00204
Fragaria vesca	57918	S	2216	1058	3274	0.00182
Humulus lupulus	3486	S	22017	11058	33075	0.01837
Cannabis sativa	3483	S	10402	1776	12178	0.00676
Ziziphus jujuba	326968	S	8698	6275	14973	0.00831
Hevea brasiliensis	3981	S	19546	3709	23255	0.01291
Manihot esculenta	3983	S	11892	5550	17442	0.00969
Ricinus communis	3988	S	6832	2736	9568	0.00531
Mercurialis annua	3986	S	6699	6969	13668	0.00759
Euphorbia lathyris	212925	S	10241	1826	12067	0.00670
Populus nigra	3691	S	7623	25723	33346	0.01852
Populus trichocarpa	3694	S	7007	2889	9896	0.00550
Juglans regia	51240	S	7107	5190	12297	0.00683
Juglans microcarpa x Juglans regia	2249226	S	6405	2823	9228	0.00512
Carya illinoinensis	32201	S	8636	4508	13144	0.00730
Quercus lobata	97700	S	8289	5691	13980	0.00776
Quercus robur	38942	S	7494	10037	17531	0.00973
Alnus glutinosa	3517	S	6786	7924	14710	0.00817
Corylus avellana	13451	S	5778	1117	6895	0.00383
Benincasa hispida	102211	S	13019	959	13978	0.00776
Cucumis melo	3656	S	6250	35458	41708	0.02316
Cucumis sativus	3659	S	4529	927	5456	0.00303
Cucurbita pepo	3663	S	4470	1411	5881	0.00327
Tripterygium wilfordii	458696	S	3217	2425	5642	0.00313
Gossypium hirsutum	3635	S	16519	11016	27535	0.01529
Gossypium arboreum	29729	S	7477	5011	12488	0.00693
Gossypium raimondii	29730	S	6511	3970	10481	0.00582
Theobroma cacao	3641	S	4577	435	5012	0.00278
Brassica napus	3708	S	4767	20511	25278	0.01404
Brassica oleracea	3712	S	2579	3103	5682	0.00316
Brassica rapa	3711	S	1653	3648	5301	0.00294
Raphanus sativus	3726	S	5996	21294	27290	0.01515
Camelina sativa	90675	S	9670	865	10535	0.00585
Arabidopsis thaliana	3702	S	1581	411	1992	0.00111
Eucalyptus grandis	71139	S	7765	6054	13819	0.00767
Rhodamnia argentea	178133	S	3889	1028	4917	0.00273
Punica granatum	22663	S	4387	1461	5848	0.00325
Mangifera indica	29780	S	7095	2867	9962	0.00553
Citrus sinensis	2711	S	5162	2281	7443	0.00413
Vitis riparia	96939	S	5641	5406	11047	0.00613
Vitis vinifera	29760	S	5308	6028	11336	0.00629
Solanum lycopersicum	4081	S	7633	18950	26583	0.01476
Solanum pennellii	28526	S	7548	3063	10611	0.00589
Solanum dulcamara	45834	S	9213	6948	16161	0.00897
Solanum stenotomum	172797	S	7653	1540	9193	0.00510
Capsicum annuum	4072	S	29191	2217	31408	0.01744
Lycium barbarum	112863	S	8604	2466	11070	0.00615
Lycium ferocissimum	112874	S	8446	3227	11673	0.00648
Nicotiana sylvestris	4096	S	11253	2573	13826	0.00768
Nicotiana attenuata	49451	S	10400	3948	14348	0.00797
Nicotiana tomentosiformis	4098	S	9299	1973	11272	0.00626
Ipomoea triloba	35885	S	5770	2939	8709	0.00484
Salvia miltiorrhiza	226208	S	6317	1053	7370	0.00409
Salvia hispanica	49212	S	4165	1163	5328	0.00296
Salvia splendens	180675	S	7671	1495	9166	0.00509
Olea europaea	4146	S	11921	1122	13043	0.00724
Sesamum indicum	4182	S	5209	1061	6270	0.00348
Coffea arabica	13443	S	5045	2292	7337	0.00407
Coffea eugenioides	49369	S	1899	2132	4031	0.00224
Rutidosis leptorrhynchoides	125765	S	26367	12283	38650	0.02146
Helianthus annuus	4232	S	19583	2101	21684	0.01204
Erigeron canadensis	72917	S	5516	931	6447	0.00358
Lactuca sativa	4236	S	16575	4531	21106	0.01172
Cynara cardunculus	4265	S	7501	985	8486	0.00471
Daucus carota	4039	S	5065	1256	6321	0.00351
Impatiens glandulifera	253017	S	13948	4333	18281	0.01015
Actinidia eriantha	165200	S	10253	1226	11479	0.00637
Diospyros lotus	55363	S	9391	1163	10554	0.00586
Rhododendron vialii	182163	S	5299	978	6277	0.00349
Beta vulgaris	161934	S	6421	2582	9003	0.00500
Spinacia oleracea	3562	S	5685	30757	36442	0.02024
Amaranthus tricolor	29722	S	6881	30323	37204	0.02066
Malania oleifera	397392	S	16433	3370	19803	0.01100
Triticum aestivum	4565	S	14105	16557	30662	0.01703
Triticum dicoccoides	85692	S	9487	10098	19585	0.01088
Triticum urartu	4572	S	7174	4756	11930	0.00662
Aegilops tauschii	37682	S	4774	5947	10721	0.00595
Hordeum vulgare	4513	S	22636	10920	33556	0.01863
Lolium rigidum	89674	S	7622	2102	9724	0.00540
Lolium perenne	4522	S	4947	2951	7898	0.00439
Brachypodium distachyon	15368	S	3190	481	3671	0.00204
Oryza brachyantha	4533	S	4669	939	5608	0.00311
Oryza glaberrima	4538	S	2156	2742	4898	0.00272
Oryza sativa	4530	S	2091	5462	7553	0.00419
Miscanthus floridulus	154761	S	12094	1853	13947	0.00774
Zea mays	4577	S	7345	2950	10295	0.00572
Sorghum bicolor	4558	S	4318	2116	6434	0.00357
Panicum virgatum	38727	S	9114	1672	10786	0.00599
Panicum hallii	206008	S	3907	770	4677	0.00260
Setaria viridis	4556	S	1206	2012	3218	0.00179
Setaria italica	4555	S	1133	1920	3053	0.00170
Phragmites australis	29695	S	7658	1915	9573	0.00532
Ananas comosus	4615	S	6788	2064	8852	0.00492
Zingiber officinale	94328	S	17439	665	18104	0.01005
Musa acuminata	4641	S	8662	20731	29393	0.01632
Elaeis guineensis	51953	S	19735	2837	22572	0.01253
Phoenix dactylifera	42345	S	5673	1448	7121	0.00395
Asparagus officinalis	4686	S	7259	807	8066	0.00448
Dioscorea cayenensis	29710	S	6674	730	7404	0.00411
Macadamia integrifolia	60698	S	7753	1337	9090	0.00505
Telopea speciosissima	54955	S	7737	1002	8739	0.00485
Magnolia sinica	86752	S	11042	468	11510	0.00639
Papaver somniferum	3469	S	10807	339	11146	0.00619
Nymphaea colorata	210225	S	5996	658	6654	0.00369
Cryptomeria japonica	3369	S	40396	6545	46941	0.02607
Physcomitrium patens	3218	S	5306	38	5344	0.00297
Closterium baillyanum	1416941	S	142	23	165	0.00009
Cosmarium botrytis	33101	S	63	24	87	0.00005
Staurastrum punctulatum	102822	S	17	4	21	0.00001
Roya obtusa	104537	S	63	79	142	0.00008
Cylindrocystis brebissonii	102167	S	20	3	23	0.00001
Netrium digitus	43946	S	45	5	50	0.00003
Zygnema circumcarinatum	35869	S	30	3	33	0.00002
Coleochaete scutata	3125	S	158	8	166	0.00009
Chaetosphaeridium globosum	96477	S	67	9	76	0.00004
Chara vulgaris	55564	S	21	13	34	0.00002
Mesostigma viride	41882	S	125	66	191	0.00011
Chlorokybus atmophyticus	3144	S	101	31	132	0.00007
Entransia fimbriata	130991	S	73	5	78	0.00004
Interfilum terricola	163310	S	16	21	37	0.00002
Chlamydomonas reinhardtii	3055	S	21963	1448	23411	0.01300
Chlamydomonas leiostraca	1034604	S	408	265	673	0.00037
Chlamydomonas moewusii	3054	S	45	0	45	0.00002
Oogamochlamys gigantea	158507	S	89	13	102	0.00006
Carteria cerasiformis	69401	S	77	4	81	0.00004
Polytoma uvella	40532	S	23	0	23	0.00001
Volvox carteri	3067	S	2498	158	2656	0.00147
Volvox africanus	51714	S	56	59	115	0.00006
Gonium pectorale	33097	S	116	155	271	0.00015
Yamagishiella unicocca	51707	S	112	121	233	0.00013
Pleodorina starrii	330485	S	54	48	102	0.00006
Colemanosphaera angeleri	1454018	S	40	49	89	0.00005
Chlorococcum tatrense	915274	S	770	251	1021	0.00057
Dunaliella salina	3046	S	207	31	238	0.00013
Hafniomonas laevis	436124	S	161	6	167	0.00009
