name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna radiata	157791	S	5751	1602	7353	0.00640
Vigna unguiculata	3917	S	5287	3422	8709	0.00758
Vigna angularis	3914	S	4020	1588	5608	0.00488
Glycine soja	3848	S	1746	4800	6546	0.00570
Glycine max	3847	S	1482	4967	6449	0.00561
Cajanus cajan	3821	S	6479	1483	7962	0.00693
Phaseolus vulgaris	3885	S	4694	1080	5774	0.00502
Pisum sativum	3888	S	11412	2520	13932	0.01212
Vicia villosa	3911	S	8844	1732	10576	0.00920
Medicago truncatula	3880	S	3355	623	3978	0.00346
Trifolium pratense	57577	S	3093	3559	6652	0.00579
Cicer arietinum	3827	S	4842	2507	7349	0.00640
Lotus japonicus	34305	S	3370	766	4136	0.00360
Arachis stenosperma	217475	S	5041	2304	7345	0.00639
Arachis hypogaea	3818	S	4594	9755	14349	0.01249
Arachis duranensis	130453	S	1875	2277	4152	0.00361
Arachis ipaensis	130454	S	571	5012	5583	0.00486
Lupinus angustifolius	3871	S	5381	2036	7417	0.00645
Malus domestica	3750	S	1780	1986	3766	0.00328
Malus sylvestris	3752	S	1650	2445	4095	0.00356
Pyrus communis	23211	S	3125	1066	4191	0.00365
Prunus mume	102107	S	1686	821	2507	0.00218
Prunus persica	3760	S	1502	1049	2551	0.00222
Prunus dulcis	3755	S	1132	750	1882	0.00164
Rosa chinensis	74649	S	2391	514	2905	0.00253
Rosa rugosa	74645	S	2118	676	2794	0.00243
Argentina anserina	57926	S	1656	1118	2774	0.00241
Fragaria vesca	57918	S	1502	697	2199	0.00191
Humulus lupulus	3486	S	11247	6179	17426	0.01516
Cannabis sativa	3483	S	4867	826	5693	0.00495
Ziziphus jujuba	326968	S	4806	3757	8563	0.00745
Juglans regia	51240	S	4408	3138	7546	0.00657
Juglans microcarpa x Juglans regia	2249226	S	4031	1692	5723	0.00498
Carya illinoinensis	32201	S	4807	2619	7426	0.00646
Quercus lobata	97700	S	5236	3268	8504	0.00740
Quercus robur	38942	S	4803	6514	11317	0.00985
Alnus glutinosa	3517	S	4452	5532	9984	0.00869
Corylus avellana	13451	S	3938	780	4718	0.00411
Hevea brasiliensis	3981	S	9167	1645	10812	0.00941
Manihot esculenta	3983	S	5389	2698	8087	0.00704
Ricinus communis	3988	S	2982	1131	4113	0.00358
Mercurialis annua	3986	S	2823	3130	5953	0.00518
Euphorbia lathyris	212925	S	4822	892	5714	0.00497
Populus trichocarpa	3694	S	3619	1542	5161	0.00449
Populus nigra	3691	S	3540	13237	16777	0.01460
Benincasa hispida	102211	S	6255	443	6698	0.00583
Cucumis melo	3656	S	3337	19265	22602	0.01967
Cucumis sativus	3659	S	2331	490	2821	0.00245
Cucurbita pepo	3663	S	2565	847	3412	0.00297
Tripterygium wilfordii	458696	S	1912	1582	3494	0.00304
Gossypium hirsutum	3635	S	7009	4811	11820	0.01029
Gossypium arboreum	29729	S	3370	2305	5675	0.00494
Gossypium raimondii	29730	S	2784	1725	4509	0.00392
Theobroma cacao	3641	S	2339	220	2559	0.00223
Brassica napus	3708	S	2733	11926	14659	0.01276
Brassica oleracea	3712	S	1232	1415	2647	0.00230
Brassica rapa	3711	S	1066	2316	3382	0.00294
Raphanus sativus	3726	S	3029	10157	13186	0.01148
Camelina sativa	90675	S	5607	554	6161	0.00536
Arabidopsis thaliana	3702	S	975	244	1219	0.00106
Eucalyptus grandis	71139	S	5757	4319	10076	0.00877
Rhodamnia argentea	178133	S	2825	785	3610	0.00314
Punica granatum	22663	S	3175	1070	4245	0.00369
Mangifera indica	29780	S	3419	1585	5004	0.00435
Citrus sinensis	2711	S	2763	1164	3927	0.00342
Vitis riparia	96939	S	3059	2761	5820	0.00506
Vitis vinifera	29760	S	2732	3013	5745	0.00500
Solanum lycopersicum	4081	S	4196	11091	15287	0.01330
Solanum pennellii	28526	S	3740	1576	5316	0.00463
Solanum dulcamara	45834	S	4535	3680	8215	0.00715
Solanum stenotomum	172797	S	3780	778	4558	0.00397
Capsicum annuum	4072	S	15186	1222	16408	0.01428
Lycium barbarum	112863	S	5619	1569	7188	0.00626
Lycium ferocissimum	112874	S	5505	2008	7513	0.00654
Nicotiana sylvestris	4096	S	6359	1511	7870	0.00685
Nicotiana attenuata	49451	S	6236	2462	8698	0.00757
Nicotiana tomentosiformis	4098	S	5131	1167	6298	0.00548
Ipomoea triloba	35885	S	3217	1747	4964	0.00432
Salvia miltiorrhiza	226208	S	4015	716	4731	0.00412
Salvia hispanica	49212	S	2346	778	3124	0.00272
Salvia splendens	180675	S	4479	992	5471	0.00476
Olea europaea	4146	S	6403	632	7035	0.00612
Sesamum indicum	4182	S	2930	624	3554	0.00309
Coffea arabica	13443	S	3291	1293	4584	0.00399
Coffea eugenioides	49369	S	1407	1384	2791	0.00243
Rutidosis leptorrhynchoides	125765	S	12254	6380	18634	0.01622
Helianthus annuus	4232	S	10906	1311	12217	0.01063
Erigeron canadensis	72917	S	2867	534	3401	0.00296
Lactuca sativa	4236	S	9239	2834	12073	0.01051
Cynara cardunculus	4265	S	4163	589	4752	0.00414
Daucus carota	4039	S	2643	709	3352	0.00292
Actinidia eriantha	165200	S	6513	786	7299	0.00635
Diospyros lotus	55363	S	6182	936	7118	0.00619
Impatiens glandulifera	253017	S	5881	2023	7904	0.00688
Rhododendron vialii	182163	S	4283	954	5237	0.00456
Malania oleifera	397392	S	11498	2432	13930	0.01212
Beta vulgaris	161934	S	4037	1706	5743	0.00500
Spinacia oleracea	3562	S	3515	17839	21354	0.01858
Amaranthus tricolor	29722	S	3409	16241	19650	0.01710
Triticum aestivum	4565	S	14944	17254	32198	0.02802
Triticum dicoccoides	85692	S	8755	9059	17814	0.01550
Triticum urartu	4572	S	7632	4933	12565	0.01093
Aegilops tauschii	37682	S	5073	6179	11252	0.00979
Hordeum vulgare	4513	S	22620	13891	36511	0.03177
Lolium rigidum	89674	S	7056	2102	9158	0.00797
Lolium perenne	4522	S	4962	3260	8222	0.00716
Brachypodium distachyon	15368	S	3221	620	3841	0.00334
Oryza brachyantha	4533	S	4242	1081	5323	0.00463
Oryza sativa	4530	S	2332	6958	9290	0.00808
Oryza glaberrima	4538	S	2237	2802	5039	0.00439
Miscanthus floridulus	154761	S	11058	1868	12926	0.01125
Zea mays	4577	S	7537	3825	11362	0.00989
Sorghum bicolor	4558	S	4248	2472	6720	0.00585
Panicum virgatum	38727	S	9634	2131	11765	0.01024
Panicum hallii	206008	S	3920	936	4856	0.00423
Setaria viridis	4556	S	1390	2225	3615	0.00315
Setaria italica	4555	S	1117	1824	2941	0.00256
Phragmites australis	29695	S	6253	1956	8209	0.00714
Ananas comosus	4615	S	5323	2057	7380	0.00642
Zingiber officinale	94328	S	10394	505	10899	0.00948
Musa acuminata	4641	S	6669	19323	25992	0.02262
Elaeis guineensis	51953	S	10696	1882	12578	0.01095
Phoenix dactylifera	42345	S	4662	1414	6076	0.00529
Asparagus officinalis	4686	S	4578	620	5198	0.00452
Dioscorea cayenensis	29710	S	3712	494	4206	0.00366
Telopea speciosissima	54955	S	6475	1093	7568	0.00659
Macadamia integrifolia	60698	S	5468	1209	6677	0.00581
Magnolia sinica	86752	S	8583	464	9047	0.00787
Papaver somniferum	3469	S	7239	297	7536	0.00656
Nymphaea colorata	210225	S	2429	373	2802	0.00244
Cryptomeria japonica	3369	S	22725	3522	26247	0.02284
Physcomitrium patens	3218	S	2843	31	2874	0.00250
Roya obtusa	104537	S	78	80	158	0.00014
Cylindrocystis brebissonii	102167	S	16	4	20	0.00002
Netrium digitus	43946	S	39	8	47	0.00004
Zygnema circumcarinatum	35869	S	21	5	26	0.00002
Spirogyra maxima	3180	S	18	4	22	0.00002
Cosmarium botrytis	33101	S	71	43	114	0.00010
Staurastrum punctulatum	102822	S	34	15	49	0.00004
Closterium baillyanum	1416941	S	52	11	63	0.00005
Coleochaete scutata	3125	S	136	13	149	0.00013
Chaetosphaeridium globosum	96477	S	54	14	68	0.00006
Chara vulgaris	55564	S	31	31	62	0.00005
Mesostigma viride	41882	S	170	123	293	0.00025
Chlorokybus atmophyticus	3144	S	123	54	177	0.00015
Entransia fimbriata	130991	S	67	7	74	0.00006
Klebsormidium flaccidum	3175	S	19	0	19	0.00002
Interfilum terricola	163310	S	18	50	68	0.00006
Chlamydomonas reinhardtii	3055	S	29250	3952	33202	0.02889
Chlamydomonas leiostraca	1034604	S	171	155	326	0.00028
Chlamydomonas moewusii	3054	S	17	0	17	0.00001
Carteria cerasiformis	69401	S	180	15	195	0.00017
Oogamochlamys gigantea	158507	S	171	41	212	0.00018
Polytoma uvella	40532	S	32	0	32	0.00003
Volvox carteri	3067	S	4031	521	4552	0.00396
Volvox africanus	51714	S	74	108	182	0.00016
Yamagishiella unicocca	51707	S	157	235	392	0.00034
Gonium pectorale	33097	S	133	249	382	0.00033
Colemanosphaera angeleri	1454018	S	62	106	168	0.00015
Pleodorina starrii	330485	S	36	44	80	0.00007
Chlorococcum tatrense	915274	S	507	233	740	0.00064
Spermatozopsis similis	3192	S	152	110	262	0.00023
Dunaliella salina	3046	S	120	26	146	0.00013
Hafniomonas laevis	436124	S	89	5	94	0.00008
Haematococcus lacustris	44745	S	264	7	271	0.00024
Characiochloris acuminata	167768	S	98	70	168	0.00015
Phacotus lenticularis	52965	S	75	25	100	0.00009
Pleurastrum terricola	34116	S	31	4	35	0.00003
Pseudopediastrum sp. CL0201VA	2184484	S	37	31	68	0.00006
Pseudopediastrum integrum	271402	S	24	30	54	0.00005
Pseudopediastrum boryanum	55410	S	19	21	40	0.00003
Pediastrum duplex	3105	S	67	41	108	0.00009
Pediastrum angulosum	271408	S	25	18	43	0.00004
Stauridium tetras	271398	S	32	18	50	0.00004
Hydrodictyon reticulatum	3107	S	22	33	55	0.00005
Lacunastrum gracillimum	427913	S	17	9	26	0.00002
Coelastrella saipanensis	152631	S	165	56	221	0.00019
Tetradesmus obliquus	3088	S	122	74	196	0.00017
Pectinodesmus pectinatus	91197	S	28	11	39	0.00003
Bracteacoccus minor	50037	S	88	37	125	0.00011
Bracteacoccus aerius	50041	S	67	31	98	0.00009
Bracteacoccus giganteus	50039	S	32	11	43	0.00004
Kirchneriella aperta	117505	S	85	26	111	0.00010
Monoraphidium neglectum	145388	S	53	55	108	0.00009
Ankistrodesmus falcatus	52960	S	35	0	35	0.00003
Chlorotetraedron incus	162317	S	108	43	151	0.00013
Neochloris aquatica	3099	S	48	5	53	0.00005
Pseudomuriella schumacherensis	889459	S	143	83	226	0.00020
Neocystis brevis	1065496	S	125	80	205	0.00018
Ankyra judayi	52688	S	63	66	129	0.00011
Parallela transversalis	163324	S	51	0	51	0.00004
Chromochloris zofingiensis	31302	S	101	39	140	0.00012
Mychonastes homosphaera	31300	S	35	38	73	0.00006
Mychonastes jurisii	797708	S	21	33	54	0.00005
Oedocladium carolinianum	55992	S	5610	1508	7118	0.00619
Oedogonium cardiacum	55995	S	4823	1540	6363	0.00554
Chaetophoropsis polyrhiza	2079440	S	241	51	292	0.00025
Stigeoclonium helveticum	55999	S	103	19	122	0.00011
Aphanochaete elegans	764105	S	107	62	169	0.00015
Aphanochaete confervicola	764104	S	87	45	132	0.00011
Schizomeris leibleinii	104533	S	144	27	171	0.00015
Uronema confervicola	764120	S	70	20	90	0.00008
Floydiella terrestris	51328	S	58	0	58	0.00005
Jenufa perforata	993091	S	112	4	116	0.00010
Jenufa minuta	993092	S	41	13	54	0.00005
Treubaria triappendiculata	1755147	S	62	14	76	0.00007
Microspora stagnorum	163317	S	33	0	33	0.00003
Chlorosarcinopsis eremi	332213	S	214	70	284	0.00025
Micractinium conductrix	554055	S	483	312	795	0.00069
Micractinium variabile	2726146	S	27	0	27	0.00002
Chlorella variabilis	554065	S	233	109	342	0.00030
Chlorella vulgaris	3077	S	93	31	124	0.00011
Chlorella sorokiniana	3076	S	50	28	78	0.00007
Chlorella heliozoae	554066	S	12	9	21	0.00002
Prototheca wickerhamii	3111	S	90	19	109	0.00009
Prototheca bovis	2509265	S	21	34	55	0.00005
Prototheca cutis	575411	S	18	5	23	0.00002
Prototheca ciferrii	1973153	S	15	25	40	0.00003
Dicloster acuatus	91190	S	106	91	197	0.00017
Auxenochlorella protothecoides	3075	S	103	27	130	0.00011
Pseudochlorella signiensis	173497	S	72	124	196	0.00017
Marvania geminata	97105	S	53	40	93	0.00008
Pseudochloris wilhelmii	1418016	S	44	46	90	0.00008
Parachlorella kessleri	3074	S	39	64	103	0.00009
Helicosporidium sp. ex Simulium jonesi	145475	S	18	0	18	0.00002
Geminella minor	163309	S	17	105	122	0.00011
Binuclearia lauterbornii	3087189	S	60	112	172	0.00015
Coccomyxa subellipsoidea	248742	S	155	41	196	0.00017
Botryococcus braunii	38881	S	126	47	173	0.00015
Elliptochloris bilobata	381761	S	15	3	18	0.00002
Xylochloris irregularis	480381	S	82	20	102	0.00009
Choricystis parasitica	41300	S	46	21	67	0.00006
Lobosphaera incisa	312850	S	137	43	180	0.00016
Trebouxia lynnae	1825957	S	73	14	87	0.00008
Myrmecia israelensis	3171	S	54	31	85	0.00007
Symbiochloris handae	1853882	S	48	3	51	0.00004
Parietochloris pseudoalveolaris	3102	S	43	50	93	0.00008
Trebouxiophyceae sp. MX-AZ01	1208065	S	187	27	214	0.00019
Koliella longiseta	33092	S	52	84	136	0.00012
Koliella corcontica	155904	S	46	32	78	0.00007
Edaphochlorella mirabilis	3083	S	55	82	137	0.00012
Stichococcus bacillaris	37433	S	25	8	33	0.00003
Fusochloris perforata	106203	S	75	30	105	0.00009
Microthamnion kuetzingianum	34148	S	32	13	45	0.00004
Watanabea reniformis	191674	S	80	19	99	0.00009
Jaagichlorella roystonensis	1052852	S	17	0	17	0.00001
Jaagichlorella hainangensis	445995	S	10	0	10	0.00001
Scherffelia dubia	3190	S	92	55	147	0.00013
Micromonas commoda	296587	S	6133	510	6643	0.00578
Micromonas pusilla	38833	S	3914	200	4114	0.00358
Ostreococcus tauri	70448	S	949	105	1054	0.00092
Ostreococcus sp. 'lucimarinus'	242159	S	943	115	1058	0.00092
Bathycoccus prasinos	41875	S	413	16	429	0.00037
Monomastix sp. OKE-1	141716	S	159	24	183	0.00016
