name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna unguiculata	3917	S	5057	3241	8298	0.00776
Vigna radiata	157791	S	5034	1405	6439	0.00602
Vigna angularis	3914	S	3906	1543	5449	0.00510
Glycine soja	3848	S	1679	4493	6172	0.00577
Glycine max	3847	S	1288	4220	5508	0.00515
Cajanus cajan	3821	S	5989	1344	7333	0.00686
Phaseolus vulgaris	3885	S	3784	851	4635	0.00434
Pisum sativum	3888	S	9674	2112	11786	0.01103
Vicia villosa	3911	S	7709	1494	9203	0.00861
Medicago truncatula	3880	S	2837	523	3360	0.00314
Trifolium pratense	57577	S	2566	2954	5520	0.00516
Cicer arietinum	3827	S	4187	2124	6311	0.00590
Lotus japonicus	34305	S	3048	682	3730	0.00349
Arachis stenosperma	217475	S	4313	1957	6270	0.00587
Arachis hypogaea	3818	S	4144	8749	12893	0.01206
Arachis duranensis	130453	S	1781	2150	3931	0.00368
Arachis ipaensis	130454	S	488	4261	4749	0.00444
Lupinus angustifolius	3871	S	4962	1859	6821	0.00638
Malus sylvestris	3752	S	1665	2292	3957	0.00370
Malus domestica	3750	S	1633	1654	3287	0.00308
Pyrus communis	23211	S	2905	1016	3921	0.00367
Prunus mume	102107	S	1540	753	2293	0.00215
Prunus persica	3760	S	1188	836	2024	0.00189
Prunus dulcis	3755	S	1114	744	1858	0.00174
Rosa chinensis	74649	S	2151	481	2632	0.00246
Rosa rugosa	74645	S	1932	641	2573	0.00241
Fragaria vesca	57918	S	1623	783	2406	0.00225
Argentina anserina	57926	S	1444	990	2434	0.00228
Humulus lupulus	3486	S	10595	5870	16465	0.01541
Cannabis sativa	3483	S	4134	701	4835	0.00452
Ziziphus jujuba	326968	S	4408	3477	7885	0.00738
Juglans microcarpa x Juglans regia	2249226	S	4044	1727	5771	0.00540
Juglans regia	51240	S	3964	2866	6830	0.00639
Carya illinoinensis	32201	S	4381	2425	6806	0.00637
Quercus lobata	97700	S	4791	3008	7799	0.00730
Quercus robur	38942	S	4490	6148	10638	0.00995
Alnus glutinosa	3517	S	4502	5675	10177	0.00952
Corylus avellana	13451	S	3761	752	4513	0.00422
