name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna radiata	157791	S	5594	1496	7090	0.00709
Vigna unguiculata	3917	S	5587	3331	8918	0.00891
Vigna angularis	3914	S	4465	1576	6041	0.00604
Glycine soja	3848	S	1647	5098	6745	0.00674
Glycine max	3847	S	1506	5555	7061	0.00706
Cajanus cajan	3821	S	7062	1551	8613	0.00861
Phaseolus vulgaris	3885	S	5230	1238	6468	0.00647
Pisum sativum	3888	S	11809	2231	14040	0.01403
Vicia villosa	3911	S	10445	1774	12219	0.01221
Medicago truncatula	3880	S	3666	629	4295	0.00429
Trifolium pratense	57577	S	3304	3435	6739	0.00674
Cicer arietinum	3827	S	5498	2622	8120	0.00812
Lotus japonicus	34305	S	3299	666	3965	0.00396
Arachis stenosperma	217475	S	5209	2367	7576	0.00757
Arachis hypogaea	3818	S	4836	10458	15294	0.01529
Arachis duranensis	130453	S	2021	2499	4520	0.00452
Arachis ipaensis	130454	S	530	4778	5308	0.00531
Lupinus angustifolius	3871	S	5432	1804	7236	0.00723
Malus sylvestris	3752	S	5057	5006	10063	0.01006
Malus domestica	3750	S	1441	969	2410	0.00241
Pyrus communis	23211	S	2891	800	3691	0.00369
Prunus persica	3760	S	1310	901	2211	0.00221
Prunus mume	102107	S	1294	614	1908	0.00191
Prunus dulcis	3755	S	964	641	1605	0.00160
Rosa chinensis	74649	S	2031	449	2480	0.00248
Rosa rugosa	74645	S	1695	550	2245	0.00224
Argentina anserina	57926	S	1439	839	2278	0.00228
Fragaria vesca	57918	S	1366	641	2007	0.00201
Humulus lupulus	3486	S	11674	5574	17248	0.01724
Cannabis sativa	3483	S	5303	847	6150	0.00615
Ziziphus jujuba	326968	S	4877	3371	8248	0.00824
Hevea brasiliensis	3981	S	10220	1939	12159	0.01215
Manihot esculenta	3983	S	6075	2831	8906	0.00890
Ricinus communis	3988	S	3569	1379	4948	0.00495
Mercurialis annua	3986	S	3490	3478	6968	0.00696
Euphorbia lathyris	212925	S	5778	996	6774	0.00677
Populus nigra	3691	S	3916	12928	16844	0.01684
Populus trichocarpa	3694	S	3841	1630	5471	0.00547
Juglans microcarpa x Juglans regia	2249226	S	3736	1619	5355	0.00535
Juglans regia	51240	S	3713	2659	6372	0.00637
Carya illinoinensis	32201	S	4831	2451	7282	0.00728
Quercus lobata	97700	S	4830	3191	8021	0.00802
Quercus robur	38942	S	4480	5801	10281	0.01028
Alnus glutinosa	3517	S	3988	4599	8587	0.00858
Corylus avellana	13451	S	3411	652	4063	0.00406
Benincasa hispida	102211	S	7273	521	7794	0.00779
Cucumis melo	3656	S	3560	19878	23438	0.02343
Cucumis sativus	3659	S	2570	521	3091	0.00309
Cucurbita pepo	3663	S	2556	789	3345	0.00334
Tripterygium wilfordii	458696	S	1871	1375	3246	0.00324
Gossypium hirsutum	3635	S	9622	6232	15854	0.01585
Gossypium arboreum	29729	S	4113	2668	6781	0.00678
Gossypium raimondii	29730	S	3160	1849	5009	0.00501
Theobroma cacao	3641	S	2588	224	2812	0.00281
Brassica napus	3708	S	2737	10986	13723	0.01372
Brassica oleracea	3712	S	1474	1659	3133	0.00313
