name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna unguiculata	3917	S	5422	3501	8923	0.00861
Vigna radiata	157791	S	4966	1387	6353	0.00613
Vigna angularis	3914	S	4200	1625	5825	0.00562
Glycine soja	3848	S	1659	5114	6773	0.00654
Glycine max	3847	S	1321	4893	6214	0.00600
Cajanus cajan	3821	S	6846	1606	8452	0.00816
Phaseolus vulgaris	3885	S	4688	1124	5812	0.00561
Pisum sativum	3888	S	10308	2231	12539	0.01210
Vicia villosa	3911	S	8771	1727	10498	0.01013
Medicago truncatula	3880	S	3145	604	3749	0.00362
Trifolium pratense	57577	S	2820	3244	6064	0.00585
Cicer arietinum	3827	S	5058	2642	7700	0.00743
Lotus japonicus	34305	S	2965	668	3633	0.00351
Arachis hypogaea	3818	S	4603	9696	14299	0.01380
Arachis stenosperma	217475	S	4413	2015	6428	0.00620
Arachis duranensis	130453	S	1818	2211	4029	0.00389
Arachis ipaensis	130454	S	529	4586	5115	0.00494
Lupinus angustifolius	3871	S	5517	2041	7558	0.00729
Malus sylvestris	3752	S	1772	2462	4234	0.00409
Malus domestica	3750	S	1519	1568	3087	0.00298
Pyrus communis	23211	S	2797	957	3754	0.00362
Prunus mume	102107	S	1390	694	2084	0.00201
Prunus persica	3760	S	1101	799	1900	0.00183
Prunus dulcis	3755	S	924	642	1566	0.00151
Rosa chinensis	74649	S	2156	472	2628	0.00254
Rosa rugosa	74645	S	1609	523	2132	0.00206
Argentina anserina	57926	S	1393	911	2304	0.00222
Fragaria vesca	57918	S	1331	629	1960	0.00189
Humulus lupulus	3486	S	10502	5611	16113	0.01555
Cannabis sativa	3483	S	4792	829	5621	0.00542
Ziziphus jujuba	326968	S	4755	3637	8392	0.00810
Hevea brasiliensis	3981	S	9314	1751	11065	0.01068
Manihot esculenta	3983	S	5424	2713	8137	0.00785
Ricinus communis	3988	S	3247	1270	4517	0.00436
Mercurialis annua	3986	S	2877	3121	5998	0.00579
Euphorbia lathyris	212925	S	5005	925	5930	0.00572
Populus nigra	3691	S	3539	12796	16335	0.01576
Populus trichocarpa	3694	S	3352	1385	4737	0.00457
Juglans regia	51240	S	3903	2831	6734	0.00650
Juglans microcarpa x Juglans regia	2249226	S	3621	1561	5182	0.00500
Carya illinoinensis	32201	S	4465	2411	6876	0.00664
Quercus lobata	97700	S	4484	2868	7352	0.00709
Quercus robur	38942	S	4362	5884	10246	0.00989
Alnus glutinosa	3517	S	3946	4839	8785	0.00848
Corylus avellana	13451	S	3816	744	4560	0.00440
Benincasa hispida	102211	S	6190	447	6637	0.00640
Cucumis melo	3656	S	3171	18395	21566	0.02081
Cucumis sativus	3659	S	2144	449	2593	0.00250
Cucurbita pepo	3663	S	2443	802	3245	0.00313
Tripterygium wilfordii	458696	S	1713	1383	3096	0.00299
Gossypium hirsutum	3635	S	10441	6138	16579	0.01600
Gossypium arboreum	29729	S	3572	2116	5688	0.00549
Gossypium raimondii	29730	S	2897	1594	4491	0.00433
Theobroma cacao	3641	S	2241	208	2449	0.00236
Brassica napus	3708	S	2601	11241	13842	0.01336
Brassica oleracea	3712	S	1199	1382	2581	0.00249
Brassica rapa	3711	S	949	2052	3001	0.00290
Raphanus sativus	3726	S	2809	9557	12366	0.01193
Camelina sativa	90675	S	4795	463	5258	0.00507
Arabidopsis thaliana	3702	S	841	214	1055	0.00102
Eucalyptus grandis	71139	S	5028	3806	8834	0.00853
Rhodamnia argentea	178133	S	2497	683	3180	0.00307
Punica granatum	22663	S	2714	913	3627	0.00350
Mangifera indica	29780	S	3378	1501	4879	0.00471
Citrus sinensis	2711	S	2604	1117	3721	0.00359
Vitis riparia	96939	S	2744	2597	5341	0.00515
Vitis vinifera	29760	S	2401	2735	5136	0.00496
Solanum lycopersicum	4081	S	3859	10055	13914	0.01343
Solanum pennellii	28526	S	3626	1565	5191	0.00501
Solanum dulcamara	45834	S	4294	3385	7679	0.00741
Solanum stenotomum	172797	S	3646	780	4426	0.00427
Capsicum annuum	4072	S	13489	1061	14550	0.01404
Lycium barbarum	112863	S	4622	1339	5961	0.00575
Lycium ferocissimum	112874	S	4361	1653	6014	0.00580
Nicotiana sylvestris	4096	S	5598	1270	6868	0.00663
Nicotiana attenuata	49451	S	5324	2027	7351	0.00709
Nicotiana tomentosiformis	4098	S	4609	999	5608	0.00541
Ipomoea triloba	35885	S	2991	1569	4560	0.00440
Salvia miltiorrhiza	226208	S	3543	628	4171	0.00403
Salvia hispanica	49212	S	2153	678	2831	0.00273
Salvia splendens	180675	S	4075	860	4935	0.00476
Olea europaea	4146	S	6261	615	6876	0.00664
Sesamum indicum	4182	S	2716	589	3305	0.00319
Coffea arabica	13443	S	2886	1240	4126	0.00398
Coffea eugenioides	49369	S	1036	1108	2144	0.00207
Rutidosis leptorrhynchoides	125765	S	11179	5599	16778	0.01619
Helianthus annuus	4232	S	8921	1046	9967	0.00962
Erigeron canadensis	72917	S	2822	517	3339	0.00322
Lactuca sativa	4236	S	7931	2358	10289	0.00993
Cynara cardunculus	4265	S	3796	525	4321	0.00417
Daucus carota	4039	S	2432	645	3077	0.00297
Impatiens glandulifera	253017	S	6709	2240	8949	0.00864
Actinidia eriantha	165200	S	5869	742	6611	0.00638
Diospyros lotus	55363	S	5819	849	6668	0.00643
Rhododendron vialii	182163	S	3201	690	3891	0.00375
Malania oleifera	397392	S	10089	2096	12185	0.01176
Beta vulgaris	161934	S	3587	1412	4999	0.00482
Spinacia oleracea	3562	S	2960	15255	18215	0.01758
Amaranthus tricolor	29722	S	3265	14438	17703	0.01708
Triticum aestivum	4565	S	15111	20009	35120	0.03389
Triticum dicoccoides	85692	S	7614	9117	16731	0.01615
Triticum urartu	4572	S	5853	4372	10225	0.00987
Aegilops tauschii	37682	S	4062	5704	9766	0.00942
Hordeum vulgare	4513	S	14961	8694	23655	0.02283
Lolium rigidum	89674	S	5705	1661	7366	0.00711
Lolium perenne	4522	S	4270	2728	6998	0.00675
Brachypodium distachyon	15368	S	2754	515	3269	0.00315
Oryza brachyantha	4533	S	3600	895	4495	0.00434
Oryza glaberrima	4538	S	1963	2494	4457	0.00430
Oryza sativa	4530	S	1853	5442	7295	0.00704
Miscanthus floridulus	154761	S	8809	1527	10336	0.00997
Zea mays	4577	S	6262	3068	9330	0.00900
Sorghum bicolor	4558	S	3760	2123	5883	0.00568
Panicum virgatum	38727	S	7540	1646	9186	0.00886
Panicum hallii	206008	S	3126	740	3866	0.00373
Setaria viridis	4556	S	1115	1910	3025	0.00292
Setaria italica	4555	S	945	1653	2598	0.00251
Phragmites australis	29695	S	4831	1526	6357	0.00613
Ananas comosus	4615	S	4709	1718	6427	0.00620
Zingiber officinale	94328	S	9139	418	9557	0.00922
Musa acuminata	4641	S	5756	15644	21400	0.02065
Elaeis guineensis	51953	S	8962	1529	10491	0.01012
Phoenix dactylifera	42345	S	3836	1166	5002	0.00483
Asparagus officinalis	4686	S	4035	503	4538	0.00438
Dioscorea cayenensis	29710	S	3267	404	3671	0.00354
Telopea speciosissima	54955	S	5088	804	5892	0.00569
Macadamia integrifolia	60698	S	4653	962	5615	0.00542
Magnolia sinica	86752	S	6912	344	7256	0.00700
Papaver somniferum	3469	S	5928	225	6153	0.00594
Nymphaea colorata	210225	S	2879	405	3284	0.00317
Cryptomeria japonica	3369	S	18846	2510	21356	0.02061
Physcomitrium patens	3218	S	2543	25	2568	0.00248
Roya obtusa	104537	S	59	63	122	0.00012
Cylindrocystis brebissonii	102167	S	18	4	22	0.00002
Netrium digitus	43946	S	39	6	45	0.00004
Spirogyra maxima	3180	S	11	2	13	0.00001
Zygnema circumcarinatum	35869	S	10	1	11	0.00001
Cosmarium botrytis	33101	S	19	9	28	0.00003
Staurastrum punctulatum	102822	S	12	4	16	0.00002
Closterium baillyanum	1416941	S	34	7	41	0.00004
Coleochaete scutata	3125	S	161	14	175	0.00017
Chaetosphaeridium globosum	96477	S	30	7	37	0.00004
Chara vulgaris	55564	S	32	35	67	0.00006
Chlorokybus atmophyticus	3144	S	142	70	212	0.00020
Entransia fimbriata	130991	S	62	7	69	0.00007
Interfilum terricola	163310	S	35	86	121	0.00012
Mesostigma viride	41882	S	102	85	187	0.00018
Chlamydomonas reinhardtii	3055	S	23676	2817	26493	0.02557
Chlamydomonas leiostraca	1034604	S	53	46	99	0.00010
Carteria cerasiformis	69401	S	211	17	228	0.00022
Oogamochlamys gigantea	158507	S	164	34	198	0.00019
Polytoma uvella	40532	S	26	0	26	0.00003
Volvox carteri	3067	S	3104	353	3457	0.00334
Volvox africanus	51714	S	112	144	256	0.00025
Gonium pectorale	33097	S	166	287	453	0.00044
Yamagishiella unicocca	51707	S	145	197	342	0.00033
Colemanosphaera angeleri	1454018	S	61	95	156	0.00015
Pleodorina starrii	330485	S	32	34	66	0.00006
Spermatozopsis similis	3192	S	142	103	245	0.00024
Dunaliella salina	3046	S	62	13	75	0.00007
Hafniomonas laevis	436124	S	63	3	66	0.00006
Haematococcus lacustris	44745	S	227	5	232	0.00022
Chlorococcum tatrense	915274	S	208	92	300	0.00029
Characiochloris acuminata	167768	S	118	79	197	0.00019
Phacotus lenticularis	52965	S	74	23	97	0.00009
Pleurastrum terricola	34116	S	36	4	40	0.00004
Pediastrum duplex	3105	S	74	73	147	0.00014
Pediastrum angulosum	271408	S	22	26	48	0.00005
Pseudopediastrum sp. CL0201VA	2184484	S	26	45	71	0.00007
Pseudopediastrum boryanum	55410	S	10	27	37	0.00004
Stauridium tetras	271398	S	31	24	55	0.00005
Lacunastrum gracillimum	427913	S	19	15	34	0.00003
Tetradesmus obliquus	3088	S	133	97	230	0.00022
Coelastrella saipanensis	152631	S	90	36	126	0.00012
Pectinodesmus pectinatus	91197	S	16	7	23	0.00002
Kirchneriella aperta	117505	S	89	34	123	0.00012
Ankistrodesmus falcatus	52960	S	61	0	61	0.00006
Monoraphidium neglectum	145388	S	17	19	36	0.00003
Bracteacoccus minor	50037	S	71	34	105	0.00010
Bracteacoccus aerius	50041	S	29	15	44	0.00004
Bracteacoccus giganteus	50039	S	20	8	28	0.00003
Chromochloris zofingiensis	31302	S	123	57	180	0.00017
Chlorotetraedron incus	162317	S	66	33	99	0.00010
Neochloris aquatica	3099	S	56	8	64	0.00006
Pseudomuriella schumacherensis	889459	S	117	76	193	0.00019
Parallela transversalis	163324	S	58	1	59	0.00006
Ankyra judayi	52688	S	52	54	106	0.00010
Mychonastes homosphaera	31300	S	49	40	89	0.00009
Mychonastes jurisii	797708	S	19	22	41	0.00004
Neocystis brevis	1065496	S	73	39	112	0.00011
Oedocladium carolinianum	55992	S	5861	1626	7487	0.00723
Oedogonium cardiacum	55995	S	4608	1521	6129	0.00591
Chaetophoropsis polyrhiza	2079440	S	189	43	232	0.00022
Stigeoclonium helveticum	55999	S	149	26	175	0.00017
Aphanochaete elegans	764105	S	138	65	203	0.00020
Aphanochaete confervicola	764104	S	87	40	127	0.00012
