name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna unguiculata	3917	S	6855	4213	11068	0.00854
Vigna radiata	157791	S	6319	1720	8039	0.00621
Vigna angularis	3914	S	5603	2078	7681	0.00593
Glycine soja	3848	S	2240	6689	8929	0.00689
Glycine max	3847	S	1738	6235	7973	0.00616
Cajanus cajan	3821	S	8782	1947	10729	0.00828
Phaseolus vulgaris	3885	S	5940	1352	7292	0.00563
Pisum sativum	3888	S	14254	2891	17145	0.01324
Vicia villosa	3911	S	11752	2129	13881	0.01072
Medicago truncatula	3880	S	4229	767	4996	0.00386
Trifolium pratense	57577	S	3632	3982	7614	0.00588
Cicer arietinum	3827	S	6306	3123	9429	0.00728
Lotus japonicus	34305	S	4204	908	5112	0.00395
Arachis stenosperma	217475	S	6200	2910	9110	0.00703
Arachis hypogaea	3818	S	5650	12645	18295	0.01412
Arachis duranensis	130453	S	2301	2918	5219	0.00403
Arachis ipaensis	130454	S	582	5437	6019	0.00465
Lupinus angustifolius	3871	S	6491	2266	8757	0.00676
Malus sylvestris	3752	S	2740	3635	6375	0.00492
Malus domestica	3750	S	1929	1898	3827	0.00295
Pyrus communis	23211	S	3794	1258	5052	0.00390
Prunus mume	102107	S	1813	876	2689	0.00208
Prunus dulcis	3755	S	1574	1055	2629	0.00203
Prunus persica	3760	S	1508	1051	2559	0.00198
Rosa chinensis	74649	S	2815	611	3426	0.00264
Rosa rugosa	74645	S	2272	729	3001	0.00232
Argentina anserina	57926	S	1774	1099	2873	0.00222
Fragaria vesca	57918	S	1686	756	2442	0.00189
Humulus lupulus	3486	S	14126	7246	21372	0.01650
Cannabis sativa	3483	S	6107	1011	7118	0.00549
Ziziphus jujuba	326968	S	6094	4475	10569	0.00816
Hevea brasiliensis	3981	S	12077	2215	14292	0.01103
Manihot esculenta	3983	S	7359	3563	10922	0.00843
Ricinus communis	3988	S	4055	1530	5585	0.00431
Mercurialis annua	3986	S	3872	4035	7907	0.00610
Euphorbia lathyris	212925	S	6478	1145	7623	0.00588
Populus nigra	3691	S	4537	15867	20404	0.01575
Populus trichocarpa	3694	S	4260	1814	6074	0.00469
Juglans microcarpa x Juglans regia	2249226	S	5773	2444	8217	0.00634
Juglans regia	51240	S	4533	3213	7746	0.00598
Carya illinoinensis	32201	S	5970	3176	9146	0.00706
Quercus lobata	97700	S	6309	4044	10353	0.00799
Quercus robur	38942	S	5845	7734	13579	0.01048
Alnus glutinosa	3517	S	5425	6419	11844	0.00914
Corylus avellana	13451	S	4483	849	5332	0.00412
Benincasa hispida	102211	S	7985	560	8545	0.00660
Cucumis melo	3656	S	4488	25162	29650	0.02289
Cucumis sativus	3659	S	2823	581	3404	0.00263
Cucurbita pepo	3663	S	3076	969	4045	0.00312
Tripterygium wilfordii	458696	S	2831	2190	5021	0.00388
Gossypium hirsutum	3635	S	9712	6387	16099	0.01243
Gossypium arboreum	29729	S	4427	2912	7339	0.00567
Gossypium raimondii	29730	S	3723	2214	5937	0.00458
Theobroma cacao	3641	S	3144	282	3426	0.00264
Brassica napus	3708	S	3556	14896	18452	0.01424
