Classification	EW27	EW28	EW29	EW30	EW31	EW32	EW33	EW34	EW35	EW36	EW37	EW38
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Halimedaceae|g__Callipsygma|s__Callipsygma_wilsonis	17	37	26	27	30	0	14	13	19	21	0	22
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Halimedaceae|g__Rhipilia|s__Rhipilia_penicilloides	31	44	17	18	25	0	21	40	34	27	19	46
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Caulerpaceae|g__Caulerpa|s__Caulerpa_ashmeadii	0	0	0	0	0	0	24	0	0	0	0	12
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Caulerpaceae|g__Caulerpa|s__Caulerpa_manorensis	0	0	0	0	40	0	0	0	0	0	0	48
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Caulerpaceae|g__Caulerpa|s__Caulerpa_cliftonii	0	16	18	11	24	0	18	12	19	0	0	30
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Caulerpaceae|g__Caulerpa|s__Caulerpa_racemosa	0	46	25	38	0	0	44	0	27	38	0	40
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Caulerpaceae|g__Caulerpa|s__Caulerpa_verticillata	36	21	0	16	33	0	28	0	13	16	0	43
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Caulerpaceae|g__Caulerpa|s__Caulerpa_lentillifera	42	27	30	22	10	0	18	25	27	34	28	20
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Bryopsidaceae|g__Lambia|s__Lambia_antarctica	25	47	21	18	46	14	83	66	16	30	0	99
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Bryopsidaceae|g__Bryopsis|s__Bryopsis_plumosa	0	0	26	24	0	0	64	16	15	26	0	51
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Bryopsidaceae|g__Bryopsis|s__Bryopsis_sp._HV04063	0	80	61	44	119	0	35	16	88	56	37	45
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Bryopsidaceae|g__Bryopsis|s__Bryopsis_hypnoides	62	49	38	17	29	12	91	59	45	49	16	94
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Codiaceae|g__Codium|s__Codium_arenicola	0	0	0	0	22	0	14	14	0	0	30	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Codiaceae|g__Codium|s__Codium_simulans	20	27	0	23	29	0	0	0	18	0	0	31
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Codiaceae|g__Codium|s__Codium_arabicum	26	18	0	0	0	0	44	18	35	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Codiaceae|g__Codium|s__Codium_fragile	91	54	25	37	102	0	54	32	53	56	32	284
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Oltmansiellopsidales|g__Neodangemannia|s__Neodangemannia_microcystis	62	34	49	47	46	34	136	99	49	59	25	113
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulvales|f__Ulvaceae|g__Blidingia|s__Blidingia_minima	0	16	29	58	0	17	81	16	32	16	14	49
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulvales|f__Ulvaceae|g__Pseudoneochloris|s__Pseudoneochloris_marina	33	74	46	42	55	0	77	50	78	59	19	201
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulvales|f__Ulvaceae|g__Ulva|s__Ulva_flexuosa	0	0	0	0	0	0	0	0	0	26	0	28
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulvales|f__Ulvaceae|g__Ulva|s__Ulva_expansa	0	0	0	0	0	0	0	0	16	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulvales|f__Ulvaceae|g__Ulva|s__Ulva_mutabilis	0	0	107	82	0	0	0	0	0	130	0	101
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulvales|f__Ulvaceae|g__Ulva|s__Ulva_gigantea	0	34	0	32	60	0	26	0	29	0	0	66
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulvales|f__Ulvaceae|g__Ulva|s__Ulva_fenestrata	0	53	57	38	86	0	0	0	54	29	41	59
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulvales|f__Ulvaceae|g__Ulva|s__Ulva_sp._TM637	12	0	0	0	0	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulvales|f__Ulvaceae|g__Ulva|s__Ulva_australis	93	105	0	0	0	0	129	0	83	0	71	127
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulvales|f__Ulvaceae|g__Ulva|s__Ulva_rigida	41	49	17	19	0	43	58	203	16	0	18	24
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulotrichales|f__Hazeniaceae|g__Hazenia|s__Hazenia_capsulata	26	53	45	53	33	30	77	55	34	72	37	80
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulotrichales|f__Sarcinofilaceae|g__Sarcinofilum|s__Sarcinofilum_mucosum	58	36	31	68	19	29	95	133	65	15	19	100
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulotrichales|f__Ulotrichaceae|g__Capsosiphon|s__Capsosiphon_fulvescens	34	69	38	17	31	0	40	29	59	84	0	93
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulotrichales|f__Ulotrichaceae|g__Gloeotilopsis|s__Gloeotilopsis_sterilis	210	0	78	58	159	0	189	160	0	0	76	237
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Ulotrichales|f__Tupiellaceae|g__Tupiella|s__Tupiella_akineta	363	170	175	244	129	23	101	293	224	689	150	144
k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae|o__Dolichomastigales|g__Microrhizoidea|s__Microrhizoidea_pickettheapsiorum	30	50	11	15	36	15	28	50	33	15	23	61
k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae|o__Monomastigales|f__Monomastigaceae|g__Monomastix|s__Monomastix_sp._OKE-1	66	197	138	97	92	76	215	130	183	125	83	206
k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae|o__Mamiellales|f__Bathycoccaceae|g__Bathycoccus|s__Bathycoccus_prasinos	413	543	310	369	374	199	506	510	429	402	298	464
