Classification	EW27	EW28	EW29	EW30	EW31	EW32	EW33	EW34	EW35	EW36	EW37	EW38
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Bracteacoccaceae|g__Bracteacoccus|s__Bracteacoccus_minor	77	132	105	100	42	86	140	110	125	106	49	52
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Neochloridaceae|g__Neochloris|s__Neochloris_aquatica	52	66	64	76	42	41	100	103	53	70	54	88
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Neochloridaceae|g__Chlorotetraedron|s__Chlorotetraedron_incus	81	184	99	136	91	54	65	149	151	160	41	132
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Scenedesmaceae|g__Pectinodesmus|s__Pectinodesmus_pectinatus	16	44	23	54	21	30	55	74	39	46	33	85
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Scenedesmaceae|g__Coelastrella|s__Coelastrella_saipanensis	103	170	126	119	69	49	105	114	221	138	87	106
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Scenedesmaceae|g__Tetradesmus|s__Tetradesmus_obliquus	124	343	230	155	105	97	236	176	196	232	89	295
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Hydrodictyaceae|g__Lacunastrum|s__Lacunastrum_gracillimum	0	37	34	29	38	29	60	45	26	0	21	30
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Hydrodictyaceae|g__Hydrodictyon|s__Hydrodictyon_reticulatum	35	31	0	25	105	0	29	85	55	679	45	124
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Hydrodictyaceae|g__Stauridium|s__Stauridium_tetras	39	63	55	59	68	0	65	43	50	55	45	80
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Hydrodictyaceae|g__Pseudopediastrum|s__Pseudopediastrum_boryanum	0	36	37	0	26	40	84	55	40	52	0	77
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Hydrodictyaceae|g__Pseudopediastrum|s__Pseudopediastrum_sp._CL0201VA	26	101	71	60	44	20	25	28	68	83	17	54
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Hydrodictyaceae|g__Pseudopediastrum|s__Pseudopediastrum_integrum	78	93	0	45	25	0	46	56	54	73	36	72
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Hydrodictyaceae|g__Pediastrum|s__Pediastrum_angulosum	17	78	48	41	41	34	38	45	43	69	23	50
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Hydrodictyaceae|g__Pediastrum|s__Pediastrum_duplex	117	179	147	91	40	23	61	34	108	98	38	128
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Pleurastraceae|g__Pleurastrum|s__Pleurastrum_terricola	31	44	40	30	46	51	109	32	35	71	24	71
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Characiochloridaceae|g__Characiochloris|s__Characiochloris_acuminata	90	220	197	273	78	107	231	213	168	177	81	179
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Phacotaceae|g__Phacotus|s__Phacotus_lenticularis	97	179	97	151	60	95	188	178	100	128	65	113
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Haematococcaceae|g__Haematococcus|s__Haematococcus_lacustris	145	306	232	188	260	179	169	372	271	180	90	232
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Dunaliellaceae|g__Hafniomonas|s__Hafniomonas_laevis	42	113	66	32	74	68	123	167	94	121	24	110
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Dunaliellaceae|g__Dunaliella|s__Dunaliella_salina	48	101	75	129	72	155	171	238	146	98	83	92
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Dunaliellaceae|g__Spermatozopsis|s__Spermatozopsis_similis	156	293	245	149	108	59	210	232	262	261	64	296
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Chlorococcaceae|g__Chlorococcum|s__Chlorococcum_tatrense	295	534	300	497	193	536	493	1021	740	379	204	422
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Volvocaceae|g__Pleodorina|s__Pleodorina_starrii	63	65	66	78	52	104	230	102	80	151	80	142
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Volvocaceae|g__Colemanosphaera|s__Colemanosphaera_angeleri	86	257	156	153	85	67	105	89	168	192	65	257
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Volvocaceae|g__Yamagishiella|s__Yamagishiella_unicocca	110	224	342	78	150	199	90	233	392	194	73	258
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Volvocaceae|g__Gonium|s__Gonium_pectorale	220	694	453	351	215	141	231	271	382	406	157	337
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Volvocaceae|g__Volvox|s__Volvox_africanus	104	282	256	149	75	60	170	115	182	157	110	160
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Volvocaceae|g__Volvox|s__Volvox_carteri	2496	4374	3457	2854	1313	1559	3042	2656	4552	4631	1686	1990
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Chlamydomonadaceae|g__Polytomella|s__Polytomella_parva	0	12	0	0	0	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Chlamydomonadaceae|g__Polytoma|s__Polytoma_uvella	0	28	26	0	19	24	42	23	32	33	12	11
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Chlamydomonadaceae|g__Carteria|s__Carteria_cerasiformis	111	279	228	175	62	27	93	81	195	218	46	189
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Chlamydomonadaceae|g__Oogamochlamys|s__Oogamochlamys_gigantea	132	305	198	145	68	63	125	102	212	269	53	148
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Chlamydomonadaceae|g__Chlamydomonas|s__Chlamydomonas_moewusii	0	0	0	23	0	0	0	45	17	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Chlamydomonadaceae|g__Chlamydomonas|s__Chlamydomonas_leiostraca	205	260	99	171	194	317	190	673	326	221	172	145
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Chlamydomonadaceae|g__Chlamydomonas|s__Chlamydomonas_reinhardtii	16327	30478	26493	18275	9594	11680	18138	23411	33202	33805	10638	15855
k__Viridiplantae|p__Streptophyta|c__Klebsormidiophyceae|o__Klebsormidiales|f__Klebsormidiaceae|g__Klebsormidium|s__Klebsormidium_flaccidum	0	17	0	0	0	0	0	0	19	0	0	14
k__Viridiplantae|p__Streptophyta|c__Klebsormidiophyceae|o__Klebsormidiales|f__Klebsormidiaceae|g__Entransia|s__Entransia_fimbriata	24	121	69	36	65	61	130	78	74	79	50	101
k__Viridiplantae|p__Streptophyta|c__Klebsormidiophyceae|o__Klebsormidiales|f__Klebsormidiaceae|g__Interfilum|s__Interfilum_terricola	30	151	121	93	113	0	102	37	68	109	0	63
k__Viridiplantae|p__Streptophyta|c__Chlorokybophyceae|o__Chlorokybales|f__Chlorokybaceae|g__Chlorokybus|s__Chlorokybus_atmophyticus	77	230	212	154	159	46	198	132	177	233	81	161
k__Viridiplantae|p__Streptophyta|c__Mesostigmatophyceae|o__Mesostigmatales|f__Mesostigmataceae|g__Mesostigma|s__Mesostigma_viride	134	237	187	199	135	105	384	191	293	288	127	253
k__Viridiplantae|p__Streptophyta|c__Charophyceae|o__Charales|f__Characeae|g__Chara|s__Chara_vulgaris	35	85	67	31	62	0	45	34	62	50	0	25
k__Viridiplantae|p__Streptophyta|c__Coleochaetophyceae|o__Coleochaetales|f__Chaetosphaeridiaceae|g__Chaetosphaeridium|s__Chaetosphaeridium_globosum	18	66	37	52	64	25	73	76	68	96	23	50
k__Viridiplantae|p__Streptophyta|c__Coleochaetophyceae|o__Coleochaetales|f__Coleochaetaceae|g__Coleochaete|s__Coleochaete_scutata	112	124	175	80	106	86	301	166	149	153	66	97
k__Viridiplantae|p__Streptophyta|c__Zygnematophyceae|o__Desmidiales|f__Desmidiaceae|g__Staurastrum|s__Staurastrum_punctulatum	0	24	16	0	43	0	25	21	49	27	0	34
k__Viridiplantae|p__Streptophyta|c__Zygnematophyceae|o__Desmidiales|f__Desmidiaceae|g__Cosmarium|s__Cosmarium_botrytis	59	78	28	39	111	25	59	87	114	38	25	80
k__Viridiplantae|p__Streptophyta|c__Zygnematophyceae|o__Desmidiales|f__Closteriaceae|g__Closterium|s__Closterium_baillyanum	60	126	41	91	939	0	69	165	63	57	35	1968
k__Viridiplantae|p__Streptophyta|c__Zygnematophyceae|o__Zygnematales|f__Zygnemataceae|g__Spirogyra|s__Spirogyra_maxima	0	24	13	13	17	0	13	0	22	36	0	19
k__Viridiplantae|p__Streptophyta|c__Zygnematophyceae|o__Zygnematales|f__Zygnemataceae|g__Zygnema|s__Zygnema_circumcarinatum	11	29	11	0	57	0	18	33	26	39	0	24
k__Viridiplantae|p__Streptophyta|c__Zygnematophyceae|o__Zygnematales|f__Zygnemataceae|g__Netrium|s__Netrium_digitus	18	45	45	23	26	0	12	50	47	26	11	51
k__Viridiplantae|p__Streptophyta|c__Zygnematophyceae|o__Zygnematales|f__Mesotaeniaceae|g__Cylindrocystis|s__Cylindrocystis_brebissonii	0	22	22	0	34	0	48	23	20	21	0	26
k__Viridiplantae|p__Streptophyta|c__Zygnematophyceae|o__Zygnematales|f__Mesotaeniaceae|g__Roya|s__Roya_obtusa	121	247	122	165	171	53	151	142	158	309	88	253
k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales|f__Funariaceae|g__Physcomitrium|s__Physcomitrium_patens	2758	3980	2568	2457	3204	1481	3661	5344	2874	2783	3183	11703
k__Viridiplantae|p__Streptophyta|c__Pinopsida|o__Cupressales|f__Cupressaceae|g__Cryptomeria|s__Cryptomeria_japonica	24786	32772	21356	21672	26306	13360	32745	46941	26247	22077	29225	87775
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Nymphaeales|f__Nymphaeaceae|g__Nymphaea|s__Nymphaea_colorata	3654	12041	3284	3524	8308	2093	4866	6654	2802	4743	3067	26101
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Ranunculales|f__Papaveraceae|g__Papaver|s__Papaver_somniferum	7393	9806	6153	5953	7191	3597	8378	11146	7536	6648	8347	23388
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Magnoliales|f__Magnoliaceae|g__Magnolia|s__Magnolia_sinica	8659	14274	7256	7086	6989	4985	9636	11510	9047	7843	7977	18727
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Proteales|f__Proteaceae|g__Macadamia|s__Macadamia_integrifolia	5860	8768	5615	4734	5758	3584	8166	9090	6677	6655	5308	12390
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Proteales|f__Proteaceae|g__Telopea|s__Telopea_speciosissima	6435	8830	5892	5429	5540	4088	8712	8739	7568	7140	5776	13185
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Dioscoreales|f__Dioscoreaceae|g__Dioscorea|s__Dioscorea_cayenensis	4623	5429	3671	3633	4400	2094	4777	7404	4206	3696	4648	14493
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Asparagales|f__Asparagaceae|g__Asparagus|s__Asparagus_officinalis	4965	6491	4538	4368	4686	2564	5928	8066	5198	5073	5223	14186
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Arecales|f__Arecaceae|g__Phoenix|s__Phoenix_dactylifera	5630	6664	5002	4934	4473	3943	6485	7121	6076	5525	5321	10715
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Arecales|f__Arecaceae|g__Elaeis|s__Elaeis_guineensis	11184	13316	10491	9024	12045	9158	10933	22572	12578	11077	9560	24809
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Zingiberales|f__Zingiberaceae|g__Zingiber|s__Zingiber_officinale	10012	13403	9557	8604	10712	5502	11597	18104	10899	10145	11367	32074
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Zingiberales|f__Musaceae|g__Musa|s__Musa_acuminata	22023	26773	21400	19643	18341	15778	24605	29393	25992	24133	20269	41894
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Bromeliaceae|g__Ananas|s__Ananas_comosus	6215	8057	6427	5546	5289	4357	7855	8852	7380	7097	6139	11510
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Phragmites|s__Phragmites_australis	6364	7725	6357	5243	5145	4489	7346	9573	8209	7625	5916	10188
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Setaria|s__Setaria_viridis	2192	3223	3025	2236	1936	1877	3077	3218	3615	3397	1984	3169
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Setaria|s__Setaria_italica	2388	3170	2598	2027	1718	1579	2437	3053	2941	2784	1855	3063
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Panicum|s__Panicum_hallii	3332	4879	3866	3027	2509	2309	4215	4677	4856	4958	2584	4488
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Panicum|s__Panicum_virgatum	7747	11138	9186	7228	5891	5881	10047	10786	11765	10987	6277	11257
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Sorghum|s__Sorghum_bicolor	4925	6681	5883	4434	3687	2950	5336	6434	6720	6374	3883	7304
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Zea|s__Zea_mays	7722	11080	9330	7401	6449	6261	9657	10295	11362	11194	6575	12409
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Miscanthus|s__Miscanthus_floridulus	9553	12720	10336	8597	8096	7221	12587	13947	12926	12795	8004	14912
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Oryza|s__Oryza_glaberrima	3667	4923	4457	3283	2717	3016	4678	4898	5039	5336	3227	5196
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Oryza|s__Oryza_sativa	6079	8797	7295	5677	4446	4632	8121	7553	9290	8706	4919	8333
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Oryza|s__Oryza_brachyantha	3866	5258	4495	3641	3298	3044	4399	5608	5323	5485	3608	6809
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Brachypodium|s__Brachypodium_distachyon	2907	3740	3269	2501	2448	2384	3266	3671	3841	3775	2440	3487
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Lolium|s__Lolium_perenne	5907	8601	6998	5492	4429	3728	7242	7898	8222	7872	4729	8894
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Lolium|s__Lolium_rigidum	6511	8781	7366	5801	5639	4900	8869	9724	9158	8771	5885	11172
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Hordeum|s__Hordeum_vulgare	33213	43184	23655	24557	16007	14939	35263	33556	36511	31435	21840	34989
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Aegilops|s__Aegilops_tauschii	8127	10971	9766	7095	5823	5843	9648	10721	11252	11047	6179	11066
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Triticum|s__Triticum_urartu	7869	12894	10225	7472	6406	6135	11324	11930	12565	11776	6555	12991
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Triticum|s__Triticum_dicoccoides	13688	18038	16731	11978	10847	8555	18046	19585	17814	16764	11332	20986
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Poaceae|g__Triticum|s__Triticum_aestivum	22428	32665	35120	20275	18096	15827	31430	30662	32198	30279	19247	33777
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Santalales|f__Ximeniaceae|g__Malania|s__Malania_oleifera	13371	17513	12185	11384	11779	6861	15831	19803	13930	12343	13597	36535
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Caryophyllales|f__Amaranthaceae|g__Amaranthus|s__Amaranthus_tricolor	19533	25891	17703	17250	17482	10232	22961	37204	19650	17541	20926	66888
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Caryophyllales|f__Chenopodiaceae|g__Beta|s__Beta_vulgaris	5829	7389	4999	4531	5052	3102	7803	9003	5743	5857	5322	15388
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Caryophyllales|f__Chenopodiaceae|g__Spinacia|s__Spinacia_oleracea	20152	27380	18215	17957	18782	10992	23541	36442	21354	20480	21545	66276
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Ericales|f__Ericaceae|g__Rhododendron|s__Rhododendron_vialii	4546	5496	3891	3878	3899	2795	5269	6277	5237	4489	4612	9864
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Ericales|f__Ebenaceae|g__Diospyros|s__Diospyros_lotus	6505	8887	6668	6279	5849	3877	7841	10554	7118	6535	6890	19352
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Ericales|f__Actinidiaceae|g__Actinidia|s__Actinidia_eriantha	7111	9765	6611	6569	7088	4434	8523	11479	7299	6964	7909	21888
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Ericales|f__Balsaminaceae|g__Impatiens|s__Impatiens_glandulifera	8842	11395	8949	8603	9712	4506	10268	18281	7904	7393	10097	36452
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Apiales|f__Apiaceae|g__Daucus|s__Daucus_carota	3627	4726	3077	3108	3598	2030	4184	6321	3352	3078	3791	12745
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Asterales|f__Asteraceae|g__Cynara|s__Cynara_cardunculus	4537	7137	4321	4173	5463	2357	5832	8486	4752	4645	5430	21162
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Asterales|f__Asteraceae|g__Lactuca|s__Lactuca_sativa	12461	15529	10289	10262	12754	6301	14716	21106	12073	11786	12971	42024
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Asterales|f__Asteraceae|g__Erigeron|s__Erigeron_canadensis	3703	4431	3339	3280	3904	2124	4911	6447	3401	3128	3963	13432
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Asterales|f__Asteraceae|g__Helianthus|s__Helianthus_annuus	11712	14311	9967	9910	11101	5837	13681	21684	12217	10468	12156	34466
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Asterales|f__Asteraceae|g__Rutidosis|s__Rutidosis_leptorrhynchoides	21096	24776	16778	17646	19063	11066	23418	38650	18634	17607	20412	77525
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Gentianales|f__Rubiaceae|g__Coffea|s__Coffea_eugenioides	2500	4095	2144	2022	2023	1351	3390	4031	2791	2640	2612	7231
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Gentianales|f__Rubiaceae|g__Coffea|s__Coffea_arabica	4312	5749	4126	3784	4440	2160	5051	7337	4584	4134	5052	11505
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Lamiales|f__Pedaliaceae|g__Sesamum|s__Sesamum_indicum	3488	4629	3305	3319	3597	1851	4323	6270	3554	3349	3453	12269
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Lamiales|f__Oleaceae|g__Olea|s__Olea_europaea	6985	9947	6876	6143	7342	3937	8294	13043	7035	6687	8267	24994
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Lamiales|f__Lamiaceae|g__Salvia|s__Salvia_splendens	5561	6730	4935	4509	5404	3128	6398	9166	5471	5439	5778	16317
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Lamiales|f__Lamiaceae|g__Salvia|s__Salvia_hispanica	3165	3965	2831	2628	2936	1709	3450	5328	3124	2691	3395	8802
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Lamiales|f__Lamiaceae|g__Salvia|s__Salvia_miltiorrhiza	4605	5740	4171	4066	4090	2427	5120	7370	4731	4328	4878	14152
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales|f__Convolvulaceae|g__Ipomoea|s__Ipomoea_triloba	5269	6645	4560	4757	4963	2905	6253	8709	4964	4846	5613	16618
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales|f__Solanaceae|g__Nicotiana|s__Nicotiana_tomentosiformis	6483	8513	5608	5544	6189	3569	8105	11272	6298	6102	7169	21646
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales|f__Solanaceae|g__Nicotiana|s__Nicotiana_attenuata	8717	11005	7351	6997	8307	4472	10720	14348	8698	8691	8658	24832
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales|f__Solanaceae|g__Nicotiana|s__Nicotiana_sylvestris	8423	10181	6868	6886	7383	4340	10432	13826	7870	7423	8977	25596
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales|f__Solanaceae|g__Lycium|s__Lycium_ferocissimum	7645	9541	6014	5575	6681	3914	9625	11673	7513	6692	7910	20522
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales|f__Solanaceae|g__Lycium|s__Lycium_barbarum	7910	9137	5961	5660	6364	3672	8535	11070	7188	7034	6710	19709
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales|f__Solanaceae|g__Capsicum|s__Capsicum_annuum	16821	22123	14550	14267	17284	8437	21168	31408	16408	15391	18840	62807
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales|f__Solanaceae|g__Solanum|s__Solanum_stenotomum	5171	6971	4426	4341	5216	2495	6336	9193	4558	4289	5972	18710
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales|f__Solanaceae|g__Solanum|s__Solanum_dulcamara	9474	12665	7679	7476	8544	4176	10081	16161	8215	7345	9758	30612
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales|f__Solanaceae|g__Solanum|s__Solanum_pennellii	5934	7839	5191	5386	6363	2810	6755	10611	5316	4570	6694	22621
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales|f__Solanaceae|g__Solanum|s__Solanum_lycopersicum	14953	24570	13914	12586	14933	7191	19309	26583	15287	12662	16766	58096
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Vitales|f__Vitaceae|g__Vitis|s__Vitis_vinifera	5937	7338	5136	5613	6140	3076	7265	11336	5745	5160	6880	22080
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Vitales|f__Vitaceae|g__Vitis|s__Vitis_riparia	5773	7181	5341	5196	6311	3212	7162	11047	5820	4993	7302	22325
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Sapindales|f__Rutaceae|g__Citrus|s__Citrus_sinensis	4294	5025	3721	3734	3993	1980	4888	7443	3927	3705	4601	13620
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Sapindales|f__Anacardiaceae|g__Mangifera|s__Mangifera_indica	5076	6548	4879	4794	5263	2448	5907	9962	5004	4526	5929	20402
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Myrtales|f__Lythraceae|g__Punica|s__Punica_granatum	3983	4824	3627	3321	3652	2586	4281	5848	4245	3853	4172	9949
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Myrtales|f__Myrtaceae|g__Rhodamnia|s__Rhodamnia_argentea	3509	4353	3180	2925	3253	2078	3814	4917	3610	3557	3814	9087
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Myrtales|f__Myrtaceae|g__Eucalyptus|s__Eucalyptus_grandis	8771	10953	8834	8108	7815	5829	11439	13819	10076	8794	9521	21291
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malvales|f__Malvaceae|g__Theobroma|s__Theobroma_cacao	2627	3518	2449	2507	2812	1420	3426	5012	2559	2302	3443	10706
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malvales|f__Malvaceae|g__Gossypium|s__Gossypium_raimondii	4924	6013	4491	4276	5009	2066	5937	10481	4509	3936	6167	22402
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malvales|f__Malvaceae|g__Gossypium|s__Gossypium_arboreum	5957	7881	5688	5579	6781	2876	7339	12488	5675	5015	7630	26845
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malvales|f__Malvaceae|g__Gossypium|s__Gossypium_hirsutum	17960	19053	16579	13062	15854	6814	16099	27535	11820	10223	16597	52225
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Brassicales|f__Brassicaceae|g__Arabidopsis|s__Arabidopsis_thaliana	1076	1773	1055	1023	1209	614	1503	1992	1219	1192	1484	4668
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Brassicales|f__Brassicaceae|g__Camelina|s__Camelina_sativa	6019	7149	5258	5010	5588	3276	6705	10535	6161	5487	5867	16378
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Brassicales|f__Brassicaceae|g__Raphanus|s__Raphanus_sativus	14298	16566	12366	12815	13894	7076	16891	27290	13186	11484	16725	51894
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Brassicales|f__Brassicaceae|g__Brassica|s__Brassica_rapa	3096	3817	3001	2738	2913	1874	4306	5301	3382	2788	4097	9754
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Brassicales|f__Brassicaceae|g__Brassica|s__Brassica_oleracea	3166	5922	2581	2707	3133	1492	3610	5682	2647	2321	3328	10443
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Brassicales|f__Brassicaceae|g__Brassica|s__Brassica_napus	14273	17954	13842	13302	13723	7691	18452	25278	14659	13238	16158	48383
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Celastrales|f__Celastraceae|g__Tripterygium|s__Tripterygium_wilfordii	3551	4709	3096	3142	3246	1751	5021	5642	3494	3479	3863	10669
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Cucurbitales|f__Cucurbitaceae|g__Cucurbita|s__Cucurbita_pepo	3447	4068	3245	3256	3345	1798	4045	5881	3412	3143	3585	11544
