sample_ID	year	genotype_treatment	genotype	pond	block	treatmentpond	Treatment	direct_herbivory	indirect_herbivory	mesh	timepoint	fitness	L_Alanine	L_Arginine	L_Asparagine	L_Aspartic_Acid	L_Glutamic_acid	L_Glutamine	L_Isoleucine_1	L_Leucine_2	L_Phenylalanine	L_Proline	L_Serine	L_Threonine	L_Tryptophane	L_Valine	Ornithine	Chlorogenic_acid	putative_Chlorogenic_acid_Isomer	Cyanidine_3_Glc	Luteoline_8_C_Glc	Apigenine_8_C_Glc	Luteoline_7_O_Glc	Apigenine_7_O_Glc	Glycine	L_Histidine	L_Methionine	L_Tyrosine	Tyramine	Tryptamine	Shikimic_acid	Apigenine	Luteoline	ABA	SA	JA	JA-Ile	OPDA	IP	IPR	tZ	tZR	cZ	cZR	IAA 	Coumaric_acid_p	Caffeic_acid	Ferulic_acid	Sinapic_acid	Cyanidin_Mal_Glc
"4A, G1+"	2023	G+	G	4A	1	herbivory	direct	1	1	0	w11	-0.088348594	4.587425952	0.578677383	24.765563020	15.031480890	24.391891058	6.166794155	1.190131654	1.197023399	0.911590379	0.839355910	3.554163194	2.880943057	1.035785173	2.399165573	0.836424126	1.891296844	2.765272597	33.851427980	41.176591451	16.213442335	59.187666247	7.669529814	1.638844016	0.696345500	0.094097339	0.547850766	0.306649286	0.032745074	3.127958505	NA	0.096131944	9.388687712	1349.541377	59.23031551	NA	17933.54968	NA	11.05332463	8.736930786	19.1148255	5.67302684	169.8093759	78.09778712	2449.835883	833.2622414	231.1612414	2494.522099	24.141835
"4A, G1-"	2023	G-	G	4A	1	herbivory	indirect	0	1	1	w11	-0.050181248	2.027843903	0.806712595	1.353731157	3.703105429	9.511605948	2.263712127	0.446837431	0.439090909	0.564660171	0.445986931	1.226560774	1.003496967	0.546210874	0.950571743	0.215198067	1.242173410	0.749800902	25.482225800	20.804408956	5.865231556	37.030610041	2.593583816	0.864808034	0.384776972	0.110381505	0.597695544	0.015517821	0.008612625	0.563363829	NA	NA	46.59223447	883.1270747	NA	NA	NA	NA	5.999741235	3.114393453	4.591252698	0.598443955	76.26691932	18.09818389	589.1863164	32.42558038	37.02806709	1459.592197	14.05477572
"4A, H1-"	2023	H-	H	4A	1	herbivory	indirect	0	1	1	w11	0.000000000	2.967275942	1.186155415	2.554648903	3.170846561	7.530122349	2.388182490	0.739500008	0.661763105	0.674557737	0.614865628	2.782598220	1.916663037	0.671528050	1.361478630	1.093624803	1.043093504	0.646784441	13.731684717	12.752407522	3.716293181	25.160695098	1.838683825	3.624030704	0.860697872	0.099033457	0.395102460	NA	0.016098896	NA	NA	0.013445405	95.59336701	759.9997568	NA	NA	NA	NA	2.926511586	NA	5.751431511	NA	67.76618921	12.29231252	459.3122629	74.14829883	9.416265698	1419.325129	7.6057049
"4A, I1-"	2023	I-	I	4A	1	herbivory	indirect	0	1	1	w11	-0.020548719	1.882560118	1.832030301	7.070185672	4.046598490	7.237083636	2.610557731	0.481948213	0.242833602	0.533287760	0.358255696	1.589964377	1.401892498	0.781222225	1.425717137	0.493607853	1.023531527	0.647133194	11.195132679	11.320504427	3.583037290	24.403640842	1.800341925	1.216030713	0.584609211	0.028047769	0.185852925	NA	0.009065404	NA	NA	0.036484595	NA	3930.680276	NA	NA	NA	NA	78.08133077	NA	28.29440127	NA	205.497017	34.23050547	1242.857724	525.345419	113.3610398	3685.726021	9.336454767
"4A, J1-"	2023	J-	J	4A	1	herbivory	indirect	0	1	1	w11	0.020173759	5.047678337	0.621979805	5.939314454	5.586176033	15.122476867	5.205416328	0.393418529	0.296051190	0.386970485	0.633583043	1.663446171	2.116027816	NA	1.196010327	0.752847162	1.377771753	0.727069701	NA	9.456845467	2.821445595	19.834355322	1.547816594	5.757771314	1.490755781	0.129537865	0.599937529	NA	0.003766796	NA	NA	0.065152452	NA	6892.867897	NA	5.72722771	NA	NA	168.2599704	NA	20.64130422	NA	273.0511418	63.6030489	3438.155603	1173.158622	479.5392908	6255.087111	5.304144952
"4A, K1+"	2023	K+	K	4A	1	herbivory	direct	1	1	0	w11	-0.128987201	2.251514832	0.282214605	31.556870133	10.038416698	17.776189796	4.015581889	0.791515113	0.670260270	0.762988658	0.624325936	3.364091471	1.952593320	0.898429583	1.616737653	0.884637243	18.345687360	4.046004806	39.912453563	35.764818260	38.135316091	45.875797202	6.569299654	0.589024903	0.306534461	0.036011079	0.304473171	0.231521023	0.006337893	2.439293229	NA	0.056340551	NA	1264.070198	58.46163323	23.77796913	6030.227447	NA	7.632027198	9.661639345	10.18663097	3.996050991	130.6888368	39.17925934	1862.758619	827.7398363	37.58181489	NA	24.01416083
"4A, K1-"	2023	K-	K	4A	1	herbivory	indirect	0	1	1	w11	-0.009820432	1.456321941	0.179504866	0.858261533	2.960368637	8.728133629	1.542961900	0.224453698	0.146061924	0.252706026	0.147997229	0.859968744	0.986294642	0.384280953	0.505242280	0.154879471	6.134260789	1.631257625	41.598672858	21.822945576	16.827352324	31.073831534	2.865656134	0.530219584	0.192735801	0.029686747	0.101826128	0.010386885	0.003306213	0.923215793	NA	NA	22.27153732	720.943451	14.36333171	NA	5192.62177	NA	4.191348127	3.926819158	8.581264779	1.360185534	164.5212153	17.75283331	907.1869081	40.6961635	41.79279318	NA	23.36222967
"4A, L1+"	2023	L+	L	4A	1	herbivory	direct	1	1	0	w11	-0.106199743	3.684171455	0.699302396	23.614953634	11.728997303	21.261977035	5.951024017	0.950999754	0.879847462	0.735532192	0.768131399	3.778206141	2.340248170	1.018475023	2.011363647	0.811261699	2.990949440	3.864310446	31.172867551	38.064776052	19.953845378	57.887403798	8.969757023	1.026310131	0.514285160	0.082591529	0.509025091	0.431368075	0.008898315	4.401919785	NA	0.072721162	13.37203764	1534.694707	NA	NA	20132.50817	NA	9.469424823	24.39275519	45.29205304	8.674720127	387.2371377	57.43700689	2419.10006	1007.023651	NA	2095.58197	17.87841959
"4A, L1-"	2023	L-	L	4A	1	herbivory	indirect	0	1	1	w11	-0.026686229	1.402334018	0.536496841	2.187544817	2.780697887	7.395152200	1.724749772	0.332092426	0.240820623	0.381265814	0.385981172	0.971472317	0.885473335	0.410357532	0.757873817	0.155356566	1.671355117	0.907082742	20.345456039	17.036495430	5.546010497	29.222499947	2.498004065	0.721760766	0.194156489	0.046416140	0.107541173	0.010827992	0.004983791	0.698503067	NA	0.033954759	111.949867	944.0765897	4.980910652	NA	NA	NA	5.758240752	NA	31.7588663	NA	362.46649	21.2294894	944.5455536	183.6179414	10.66538254	2230.586412	12.16172481
"4A, M1+"	2023	M+	M	4A	1	herbivory	direct	1	1	0	w11	-0.085366931	3.549503257	0.763660998	38.369827271	14.498913081	19.443321553	5.811097551	0.872029630	0.831417053	0.592617501	0.745913553	3.442324935	2.192281875	0.855780242	1.807193908	1.074410871	1.495754604	1.962422688	23.769217114	28.201795523	13.464813645	42.727671292	6.375271090	1.093203406	0.476418731	0.049130293	0.294770082	0.313895514	0.010585647	3.421693701	NA	0.064720673	3.598039586	1576.379716	NA	NA	9309.960461	NA	7.424680405	4.771134469	12.10350398	3.783486585	89.59476016	59.94534669	2514.376087	1257.481333	75.41731644	2687.835915	15.01323024
