sample_ID	year	genotype_treatment	genotype	pond	block	treatmentpond	Treatment	direct_herbivory	indirect_herbivory	mesh	timepoint	fitness	L-Alanine	L-Arginine	L-Asparagine	L-Aspartic Acid	L-Glutamic acid	L-Glutamine	L-Isoleucine_1	L-Leucine_2	L-Phenylalanine	L-Proline	L-Serine	L-Threonine	L-Tryptophane	L-Valine	Ornithine	Chlorogenic acid	putative Chlorogenic acid Isomer	Cyanidine_3_Glc	Luteoline 8-C-Glc	Apigenine 8-C-Glc	Luteoline 7-O-Glc	Apigenine 7-O-Glc	Glycine	L-Histidine	L-Methionine	L-Tyrosine	Kynurenine	Kynurenic acid	Serotonin_1	Tyramine	Tryptamine	Shikimic acid	Apigenine	Luteoline	Folic acid	Tetrahydrofolic acid	Lactic acid	Malate	Succinic acid	Dopamin	L-DOPA	GABA	Melatonine	Cyanidin_Mal_Glc
"5C, J1+"	2024	J+	J	5C	2	control	nodirect	0	0	0	w12	0.01786745	1.093959809	0.49060029	8.851134951	4.70239356	7.627710847	5.192566205	0.307492252	0.157031068	0.256441209	0.132031397	0.85279396	1.166401596	0.355197172	0.709769368	0.345888356	2.967657933	1.08556274	52.51302775	19.23416981	11.95376177	27.60855277	3.819802918	0.672189302	0.231534768	0.03257432	0.15421946	2.62E-03	2.16E-03	4.40E-02	4.61E-02	3.93E-03	1.511441366	2.97E-03	0.090850814	4.04E-04	5.70E-03	0.003987368	0.887031917	0.067178865	0.885672416	1.20E-03	0.250197207	NA	34.3786408
"5C, K1-"	2024	K-	K	5C	2	control	noindirect	0	0	1	w12	0.00289339	0.857928651	0.194866958	2.904636885	2.802557123	5.511632136	1.266025917	0.231089175	0.103563149	0.196065256	0.108933548	0.956596717	1.151192854	0.28129732	0.440509077	0.216312147	4.188230112	1.129507061	42.96813053	16.28027348	14.92855025	19.52405129	2.834870851	0.311901613	0.164661475	0.017960841	0.088890405	1.52E-03	1.25E-03	1.89E-02	1.95E-02	2.65E-03	0.906175179	1.34E-03	0.028499962	1.62E-04	2.28E-03	0.003768676	0.449534504	0.03859386	1.02405636	2.42E-03	0.162170529	4.67E-04	22.12347451
"5C, K1+"	2024	K+	K	5C	2	control	nodirect	0	0	0	w12	-0.008689677	0.792449441	0.346722385	3.991422499	2.558135222	4.450951046	1.747550446	0.208886413	0.125536885	0.183179642	0.112986253	0.687825758	1.08050541	0.235385553	0.450596738	0.246693449	2.73403928	0.849650581	39.3127418	13.80126821	11.20608469	17.71293498	2.536928709	0.382492489	0.120342742	0.02377117	0.080550449	1.94E-03	1.15E-03	2.45E-02	2.10E-02	2.69E-03	0.873932919	1.83E-03	0.037092397	NA	1.99E-03	0.002432374	0.356094438	0.034070736	0.856619008	2.72E-03	0.263599604	NA	22.03040967
"5C, L1-"	2024	L-	L	5C	2	control	noindirect	0	0	1	w12	-0.032971761	1.377026179	0.682814415	6.802833773	6.842969973	7.926453137	5.254926602	0.313362377	0.196398821	0.280807436	0.331227743	2.32395022	1.318158007	0.312728022	0.779767501	0.483847327	1.918768734	0.793713626	50.51958944	18.42834609	7.799982172	32.32564336	4.179393105	0.624681874	0.139313942	0.020665243	0.086356474	5.78E-03	1.14E-02	2.87E-02	2.61E-02	5.32E-03	2.125428689	1.56E-03	0.037028637	NA	4.76E-03	0.008957718	1.199072602	0.055001065	0.856899115	NA	0.365658335	NA	34.61824811
"5C, L1+"	2024	L+	L	5C	2	control	nodirect	0	0	0	w12	-0.004175069	1.458956043	1.128467769	10.90438394	6.454732057	9.02822667	5.775105643	0.402724935	0.238724941	0.279423975	0.189528805	1.396179852	1.757178541	0.362273963	0.805074823	0.59411536	2.567191131	1.132382533	45.35983831	20.28127118	12.33153482	28.51285058	3.623028586	0.560641816	0.247008369	0.044866975	0.158251873	3.10E-03	3.92E-03	1.96E-02	2.26E-02	3.10E-03	1.477449842	3.15E-03	0.068016572	3.10E-04	6.45E-03	0.003775869	0.859152423	0.084026742	1.406150984	3.08E-03	0.401023444	NA	36.52472746
"5C, M1-"	2024	M-	M	5C	2	control	noindirect	0	0	1	w12	0.016872652	2.229582131	0.964151705	45.12911059	6.76537857	9.165018337	9.611494602	1.097139005	0.47536272	0.470484166	0.222169907	2.662241996	3.008621856	0.749651532	1.89743075	1.654832693	2.296974152	1.010402176	67.22716362	22.84638647	11.12044104	39.52959022	6.181837504	0.825838445	0.434671571	0.037436737	0.185828979	6.36E-03	4.93E-03	9.26E-02	0.120201748	1.66E-02	2.866319185	6.69E-03	0.169056759	NA	6.80E-03	0.006582727	1.728488199	0.077635998	4.800591715	8.74E-03	0.657652022	NA	41.46800076
"5C, M1+"	2024	M+	M	5C	2	control	nodirect	0	0	0	w12	0.028050649	1.352875993	0.668282578	10.85699005	4.867485034	7.302504753	5.123154551	0.409849062	0.238463943	0.281247295	0.217035258	1.534752254	1.825588555	0.382918596	0.880723523	0.781750429	2.387615331	1.001001053	49.90446644	18.60169455	11.3714535	26.02621861	3.336735663	0.906509348	0.22790901	0.039091257	0.233264538	1.88E-03	3.17E-03	1.82E-02	2.34E-02	2.45E-03	1.519868109	1.98E-03	0.061757309	5.88E-05	5.03E-03	0.001879675	0.730419238	0.060810416	1.73171216	2.74E-03	0.279051517	NA	32.23813723
"5C, N1-"	2024	N-	N	5C	2	control	noindirect	0	0	1	w12	-0.014179281	1.806192606	4.631641273	33.52890085	6.749809232	8.009014243	6.629459468	0.955092311	0.433996653	0.455371165	0.269076574	1.992918592	2.493176277	0.650510264	1.619861543	1.407462419	2.152052887	0.884551782	41.71923448	21.02767012	9.439508444	35.17842436	5.094645375	0.758358574	0.390280029	0.035567752	0.228948612	5.31E-03	4.91E-03	0.126101033	0.119970781	1.65E-02	1.67451571	4.49E-03	0.103538107	NA	7.80E-03	0.009619209	1.440781541	0.081040225	1.730946941	8.62E-03	0.910155947	2.38E-02	28.50867488
"5C, N1+"	2024	N+	N	5C	2	control	nodirect	0	0	0	w12	0.009196736	1.215774302	0.370090435	3.279815254	5.510743828	7.911854386	6.267760805	0.364152772	0.163292628	0.220878579	0.165671348	1.185291283	1.423294734	0.334694538	0.770639969	0.255682536	1.981942145	1.058573473	47.69844253	18.5909499	9.998022338	27.38597662	4.081088239	0.689127549	0.158992183	0.030974487	0.113411755	3.32E-03	2.57E-03	2.30E-02	2.24E-02	3.27E-03	1.571518006	3.03E-03	0.089245261	NA	5.29E-03	0.002868949	0.963896332	0.063129105	0.820938865	2.80E-03	0.37163679	NA	37.19007171
"5C, O1-"	2024	O-	O	5C	2	control	noindirect	0	0	1	w12	-0.018772794	1.020124063	0.440424955	8.349692379	3.695631104	5.302141306	3.670390602	0.349533414	0.147577195	0.23727527	0.129340856	1.333025374	1.072373426	0.397042773	0.914907415	0.418047899	2.158421829	0.782669295	33.32972308	17.44990605	8.977263578	29.60321729	4.240230057	0.517135794	0.210332237	0.022584175	0.120837269	4.20E-03	7.06E-03	3.99E-02	4.03E-02	5.61E-03	1.311367735	1.79E-03	0.040728976	NA	4.26E-03	0.006709115	0.941942235	0.059562657	1.355070355	3.36E-03	0.349363277	NA	22.35836761
"5C, O1+"	2024	O+	O	5C	2	control	nodirect	0	0	0	w12	-0.006849573	1.050722912	0.718428713	7.956194487	4.186162596	6.322644471	3.351569588	0.357507861	0.198186702	0.200803516	0.155486963	0.878972326	1.493749884	0.35680037	0.816702394	0.547879258	1.976958972	0.648177091	40.21725995	15.64612657	7.61380043	23.81652199	3.187561789	0.684974171	0.230780713	0.026974649	0.152699843	2.91E-03	1.86E-03	3.09E-02	3.79E-02	3.45E-03	1.103706854	2.93E-03	0.069547309	NA	2.80E-03	0.00473952	0.816502688	0.054326814	1.081254769	2.42E-03	0.338165222	NA	23.95759099
"5C, P1+"	2024	P+	P	5C	2	control	nodirect	0	0	0	w12	-0.025634128	1.154266516	0.785165332	6.342020709	2.323157998	3.941545377	1.852584416	0.388132366	0.206794502	0.266717041	0.196112994	1.012016492	1.185153193	0.386003766	0.735317324	0.401758249	1.531685651	0.594401995	27.23565597	12.03637628	4.063049062	19.402544	2.350796397	0.396023344	0.175645543	0.032694885	0.100295786	2.03E-03	1.97E-03	3.10E-02	7.67E-02	3.35E-03	0.422545517	1.51E-03	0.052610866	NA	1.84E-03	0.002509328	0.370923636	0.03875852	2.182708519	2.89E-03	0.419974473	NA	16.14385586
"5C, Q1-"	2024	Q-	Q	5C	2	control	noindirect	0	0	1	w12	0.011462539	1.42336732	2.388085788	17.41646666	4.059834134	6.429569106	5.771989488	0.537372364	0.258862686	0.701271546	0.16537856	1.707810584	2.045586817	0.703164529	1.12600416	3.426298172	2.041575379	0.693195891	46.12430637	17.52352823	10.15594774	28.10248195	3.231669425	0.412344922	0.780582294	0.027450273	0.194063861	3.54E-03	4.22E-03	6.93E-02	4.16E-02	6.54E-03	1.394785912	1.92E-03	0.058057583	NA	4.25E-03	0.003591704	0.786510315	0.05719139	2.069492465	6.21E-03	0.35152862	NA	20.1379331
