year	calendar_week	timepoint	pond	block	treatment	TP	PO4	NH4	TOC	pH	Temp	O2pourcentage	Cond	light_weekly_mean
2023	KW34	13	5D	2	Herbivory	321	291	5.5	7.3	7.85	24.8	63.6	326	2553.352976
2023	KW34	13	7A	3	Control	202	163	29.1	8.2	8.13	22.3	37.8	306	710.9984226
2023	KW34	13	7B	3	Herbivory	365	318	5.9	6.2	8.13	24.9	77.9	334	3337.426295
2023	KW34	13	7C	3	Herbivory	291	253	30.6	6.5	8.08	23.1	60.3	317	1529.871548
2023	KW34	13	7D	3	Control	327	316	5.3	7.1	8.06	22.6	81.1	325	1348.561012
2023	KW34	13	8B	4	Control	148	115	22	6.7	8.27	23.4	68.3	318	1205.806905
2023	KW34	13	8D	4	Herbivory	126	86.9	18.1	7.1	7.81	22.2	62	301	1162.034345
2024	KW20	51	4A	1	Herbivory	26	1.0	41.8	7.8	9.48	16.1	152.4	29.2	738.4339192
2024	KW20	51	4B	1	Control	17	1.9	33.4	6.3	10.04	14.6	180.4	116.6	619.9499798
2024	KW20	51	4C	1	Control	39	1.0	25.2	7.8	9.28	16.2	109.2	130.4	1127.276869
2024	KW20	51	4D	1	Herbivory	18	1.0	7.1	6.2	10.05	13.3	188.7	111.6	650.5572525
2024	KW20	51	5A	2	Herbivory	81	25.3	21.0	5.0	7.72	18.6	95.6	188.9	3952.466242
2024	KW20	51	5B	2	Control	29	1.0	47.4	6.3	8.76	18.3	113	159.3	3421.27372
2024	KW20	51	5C	2	Control	11	1.0	47.4	6.8	10.11	14.7	178.1	121.6	726.2912727
2024	KW20	51	7B	3	Herbivory	37	3.3	11.6	6.5	9.08	17.1	128.6	142.8	1062.704114
2024	KW20	51	7C	3	Herbivory	23	1.8	5.8	7.5	9.8	14.6	141.5	125.4	2185.034684
2024	KW20	51	7D	3	Control	31	1.0	7.8	7.0	8.18	17.9	98.1	154.5	7189.508462
2024	KW20	51	8B	4	Control	23	1.0	15.3	5.8	8.84	17.7	130.3	156.7	2305.459337
2024	KW20	51	8D	4	Herbivory	28	1.0	13.8	7.2	9.6	16.7	182.8	126.3	928.7323645
2024	KW23	54	4A	1	Herbivory	17.0	1.0	11.0	6.7	9.12	16.7	103.6	117.3	680.78375
2024	KW23	54	4B	1	Control	24.3	1.0	6.7	5.6	9.19	16.4	90.8	114.2	NA
2024	KW23	54	4C	1	Control	35.8	1.0	8.4	5.3	7.58	16.7	61.6	150.2	NA
2024	KW23	54	4D	1	Herbivory	40.9	6.6	2.5	7.2	8.16	16.7	63.4	124.1	2184.106931
2024	KW23	54	5A	2	Herbivory	75.7	13.6	8.2	4.9	8.89	17.7	137.3	159.3	3424.19061
2024	KW23	54	5B	2	Control	31.0	2.4	7.0	6.2	9.16	17.3	113.3	138.9	761.7612798
2024	KW23	54	5C	2	Control	13.2	1.0	31.5	6.4	9.39	16	100.9	118.1	357.1486756
2024	KW23	54	7B	3	Herbivory	38.0	7.0	14.2	6.2	9.4	16.7	112.5	113.7	NA
2024	KW23	54	7C	3	Herbivory	20.5	1.5	6.5	6.9	8.7	16.1	22.3	140.1	1015.564673
2024	KW23	54	7D	3	Control	40.7	8.3	13.8	6.4	7.06	16.4	18.1	181	NA
2024	KW23	54	8B	4	Control	19.4	9.3	19.4	5.3	9.05	16.7	105.6	124.1	697.1458929
2024	KW23	54	8D	4	Herbivory	22.2	10.1	5.3	7.2	9.83	16.6	148.6	117.4	808.6552679
2024	KW28	59	4A	1	Herbivory	19.7	1.1	13.8	6.1	7.96	20.4	73.1	138.6	914.3546726
2024	KW28	59	4B	1	Control	39.2	1.5	10.6	6.2	6.84	19.6	1.6	162.4	NA
2024	KW28	59	4C	1	Control	48.7	1.0	13.8	6.9	7.52	19.4	0.6	159.1	NA
2024	KW28	59	4D	1	Herbivory	49.0	1.0	18.0	8.2	7.21	19.4	4.5	165.7	NA
2024	KW28	59	5A	2	Herbivory	31.4	1.0	6.0	6.9	9.08	21.7	117.5	118.9	4056.804807
2024	KW28	59	5B	2	Control	12.8	1.0	5.0	6.1	10.05	19.9	121.3	116.7	139.7026339
2024	KW28	59	5C	2	Control	16.9	1.0	5.9	5.6	7.46	19.2	3	184.7	243.0098512
2024	KW28	59	7B	3	Herbivory	27.1	1.0	5.0	5.8	9.11	20.8	94.4	119.1	NA
2024	KW28	59	7C	3	Herbivory	16.8	1.0	7.1	6.8	7.84	19.3	18.8	144.4	384.5275595
2024	KW28	59	7D	3	Control	26.5	1.0	6.2	6.8	7.26	19.7	37.9	175.1	NA
2024	KW28	59	8B	4	Control	15.3	1.0	5.0	4.9	9.56	19.6	105.9	110.2	666.9832887
2024	KW28	59	8D	4	Herbivory	36.8	1.0	5.0	7.9	7.46	21.3	56	131.5	3066.204182
2024	KW30	61	4A	1	Herbivory	13.9	1.6	8.4	6.4	8.5	24.7	108.4	147.7	1741.21723
2024	KW30	61	4B	1	Control	34.9	2.3	14.7	6.6	7.3	23.1	2.6	173.1	NA
2024	KW30	61	4C	1	Control	50.4	2.4	7.1	6.7	7.1	20.9	0.5	202	NA
2024	KW30	61	4D	1	Herbivory	45.8	2.0	9.1	7.0	6.9	21.2	0.5	194.1	NA
2024	KW30	61	5A	2	Herbivory	23.4	1.4	5.0	4.9	8.5	24.6	96.1	123.4	2850.212485
2024	KW30	61	5B	2	Control	31.9	1.5	5.5	6.5	8.8	21.3	16.5	125.8	130.4193006
2024	KW30	61	5C	2	Control	22.9	1.3	5.0	5.8	7.1	22.9	15.4	194.1	1325.253512
2024	KW30	61	7B	3	Herbivory	43.9	1.1	7.1	6.0	7.4	24.6	70	131.3	NA
2024	KW30	61	7C	3	Herbivory	17.1	3.3	23.3	6.6	7.1	22	9.5	161.1	319.0545982
2024	KW30	61	7D	3	Control	20.6	1.1	23.5	7.3	7.2	21.7	15.6	167.1	NA
2024	KW30	61	8B	4	Control	13.4	1.6	5.0	5.3	9.1	23	82.6	114.9	925.7366369
