name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna radiata	157791	S	2850	630	3480	0.01571
Vigna unguiculata	3917	S	556	288	844	0.00381
Vigna angularis	3914	S	427	127	554	0.00250
Glycine soja	3848	S	338	795	1133	0.00511
Glycine max	3847	S	290	829	1119	0.00505
Cajanus cajan	3821	S	852	155	1007	0.00454
Phaseolus vulgaris	3885	S	739	143	882	0.00398
Pisum sativum	3888	S	1726	286	2012	0.00908
Vicia villosa	3911	S	1466	212	1678	0.00757
Trifolium pratense	57577	S	591	550	1141	0.00515
Medicago truncatula	3880	S	286	41	327	0.00148
Cicer arietinum	3827	S	729	279	1008	0.00455
Lotus japonicus	34305	S	735	128	863	0.00389
Arachis hypogaea	3818	S	877	1526	2403	0.01084
Arachis stenosperma	217475	S	640	238	878	0.00396
Arachis duranensis	130453	S	271	271	542	0.00245
Arachis ipaensis	130454	S	90	649	739	0.00334
Lupinus angustifolius	3871	S	1090	317	1407	0.00635
Malus sylvestris	3752	S	335	530	865	0.00390
Malus domestica	3750	S	223	280	503	0.00227
Pyrus communis	23211	S	691	273	964	0.00435
Prunus mume	102107	S	294	158	452	0.00204
Prunus persica	3760	S	235	190	425	0.00192
Prunus dulcis	3755	S	173	137	310	0.00140
Rosa chinensis	74649	S	484	98	582	0.00263
Rosa rugosa	74645	S	453	137	590	0.00266
Argentina anserina	57926	S	480	280	760	0.00343
Fragaria vesca	57918	S	370	160	530	0.00239
Humulus lupulus	3486	S	1853	846	2699	0.01218
Cannabis sativa	3483	S	636	93	729	0.00329
Ziziphus jujuba	326968	S	986	639	1625	0.00733
Juglans microcarpa x Juglans regia	2249226	S	930	361	1291	0.00583
Juglans regia	51240	S	729	472	1201	0.00542
Carya illinoinensis	32201	S	1022	463	1485	0.00670
Quercus lobata	97700	S	1004	593	1597	0.00721
Quercus robur	38942	S	884	1060	1944	0.00877
Alnus glutinosa	3517	S	901	977	1878	0.00848
Corylus avellana	13451	S	772	143	915	0.00413
Hevea brasiliensis	3981	S	1794	360	2154	0.00972
Manihot esculenta	3983	S	806	391	1197	0.00540
Euphorbia lathyris	212925	S	1069	165	1234	0.00557
Ricinus communis	3988	S	574	193	767	0.00346
Mercurialis annua	3986	S	287	264	551	0.00249
Populus nigra	3691	S	641	2013	2654	0.01198
Populus trichocarpa	3694	S	551	233	784	0.00354
Benincasa hispida	102211	S	1306	81	1387	0.00626
Cucumis melo	3656	S	612	3065	3677	0.01659
Cucumis sativus	3659	S	461	83	544	0.00246
Cucurbita pepo	3663	S	472	130	602	0.00272
Tripterygium wilfordii	458696	S	305	206	511	0.00231
Eucalyptus grandis	71139	S	1627	960	2587	0.01168
Rhodamnia argentea	178133	S	669	190	859	0.00388
Punica granatum	22663	S	1020	300	1320	0.00596
Brassica napus	3708	S	449	1687	2136	0.00964
Brassica oleracea	3712	S	242	254	496	0.00224
Brassica rapa	3711	S	193	377	570	0.00257
Raphanus sativus	3726	S	517	1261	1778	0.00802
Camelina sativa	90675	S	854	66	920	0.00415
Arabidopsis thaliana	3702	S	111	24	135	0.00061
Gossypium hirsutum	3635	S	831	631	1462	0.00660
Gossypium arboreum	29729	S	359	269	628	0.00283
Gossypium raimondii	29730	S	334	219	553	0.00250
Theobroma cacao	3641	S	463	36	499	0.00225
Mangifera indica	29780	S	572	210	782	0.00353
Citrus sinensis	2711	S	428	172	600	0.00271
Vitis riparia	96939	S	553	536	1089	0.00491
Vitis vinifera	29760	S	445	498	943	0.00426
Solanum lycopersicum	4081	S	7429	11653	19082	0.08612
Solanum pennellii	28526	S	6747	1322	8069	0.03642
Solanum stenotomum	172797	S	730	69	799	0.00361
Solanum dulcamara	45834	S	676	342	1018	0.00459
Lycium ferocissimum	112874	S	1077	226	1303	0.00588
Lycium barbarum	112863	S	910	135	1045	0.00472
Capsicum annuum	4072	S	2133	92	2225	0.01004
Nicotiana sylvestris	4096	S	1026	151	1177	0.00531
Nicotiana attenuata	49451	S	1012	258	1270	0.00573
Nicotiana tomentosiformis	4098	S	685	94	779	0.00352
Ipomoea triloba	35885	S	823	275	1098	0.00496
Salvia miltiorrhiza	226208	S	856	102	958	0.00432
Salvia hispanica	49212	S	539	256	795	0.00359
Salvia splendens	180675	S	1036	225	1261	0.00569
Olea europaea	4146	S	1259	73	1332	0.00601
Sesamum indicum	4182	S	569	76	645	0.00291
Coffea arabica	13443	S	605	251	856	0.00386
Coffea eugenioides	49369	S	178	173	351	0.00158
Rutidosis leptorrhynchoides	125765	S	1642	535	2177	0.00982
Helianthus annuus	4232	S	1640	115	1755	0.00792
Erigeron canadensis	72917	S	546	66	612	0.00276
Lactuca sativa	4236	S	1423	292	1715	0.00774
Cynara cardunculus	4265	S	553	52	605	0.00273
Daucus carota	4039	S	567	97	664	0.00300
Actinidia eriantha	165200	S	1711	176	1887	0.00852
Diospyros lotus	55363	S	1357	139	1496	0.00675
Rhododendron vialii	182163	S	1137	194	1331	0.00601
Impatiens glandulifera	253017	S	1018	234	1252	0.00565
Malania oleifera	397392	S	2122	334	2456	0.01108
Beta vulgaris	161934	S	790	249	1039	0.00469
Spinacia oleracea	3562	S	542	1980	2522	0.01138
Amaranthus tricolor	29722	S	641	2189	2830	0.01277
Triticum aestivum	4565	S	2225	2835	5060	0.02284
Triticum dicoccoides	85692	S	1281	1454	2735	0.01234
Triticum urartu	4572	S	1065	756	1821	0.00822
Aegilops tauschii	37682	S	864	1234	2098	0.00947
Hordeum vulgare	4513	S	2833	1479	4312	0.01946
Lolium rigidum	89674	S	1386	529	1915	0.00864
Lolium perenne	4522	S	690	556	1246	0.00562
Brachypodium distachyon	15368	S	1084	172	1256	0.00567
Oryza sativa	4530	S	1795	3961	5756	0.02598
Oryza brachyantha	4533	S	1246	245	1491	0.00673
Oryza glaberrima	4538	S	994	859	1853	0.00836
Miscanthus floridulus	154761	S	1970	555	2525	0.01140
Zea mays	4577	S	1716	822	2538	0.01145
Sorghum bicolor	4558	S	728	523	1251	0.00565
Panicum virgatum	38727	S	1406	371	1777	0.00802
Panicum hallii	206008	S	738	229	967	0.00436
Setaria italica	4555	S	196	532	728	0.00329
Setaria viridis	4556	S	175	466	641	0.00289
Phragmites australis	29695	S	1587	526	2113	0.00954
Ananas comosus	4615	S	1735	540	2275	0.01027
Musa acuminata	4641	S	2705	6328	9033	0.04077
Zingiber officinale	94328	S	2444	95	2539	0.01146
Elaeis guineensis	51953	S	1859	353	2212	0.00998
Phoenix dactylifera	42345	S	1654	648	2302	0.01039
Asparagus officinalis	4686	S	937	97	1034	0.00467
Dioscorea cayenensis	29710	S	749	79	828	0.00374
Telopea speciosissima	54955	S	1431	187	1618	0.00730
Macadamia integrifolia	60698	S	883	154	1037	0.00468
Magnolia sinica	86752	S	2132	88	2220	0.01002
Papaver somniferum	3469	S	1104	35	1139	0.00514
Nymphaea colorata	210225	S	647	89	736	0.00332
Cryptomeria japonica	3369	S	4235	473	4708	0.02125
Physcomitrium patens	3218	S	422	2	424	0.00191
Coleochaete scutata	3125	S	40	1	41	0.00019
Chlamydomonas reinhardtii	3055	S	1820	110	1930	0.00871
Polytomella capuana	351368	S	38	0	38	0.00017
Volvox carteri	3067	S	132	7	139	0.00063
Neocystis brevis	1065496	S	33	28	61	0.00028
Chlorella variabilis	554065	S	16	49	65	0.00029
Stichococcus bacillaris	37433	S	32	41	73	0.00033
Xylochloris irregularis	480381	S	26	15	41	0.00019
Micromonas commoda	296587	S	678	76	754	0.00340
Micromonas pusilla	38833	S	510	31	541	0.00244
Ostreococcus tauri	70448	S	176	8	184	0.00083
Ostreococcus sp. 'lucimarinus'	242159	S	99	3	102	0.00046
Bathycoccus prasinos	41875	S	60	1	61	0.00028
Microrhizoidea pickettheapsiorum	2604950	S	11	0	11	0.00005
Chloroparvula pacifica	1883388	S	24	13	37	0.00017
Picocystis salinarum	88271	S	12	28	40	0.00018
Cyanidioschyzon merolae	45157	S	18	0	18	0.00008
