name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna radiata	157791	S	9281	2273	11554	0.00787
Vigna unguiculata	3917	S	7684	4434	12118	0.00825
Vigna angularis	3914	S	5540	1897	7437	0.00506
Glycine soja	3848	S	2343	6357	8700	0.00592
Glycine max	3847	S	2112	6909	9021	0.00614
Cajanus cajan	3821	S	8980	1886	10866	0.00740
Phaseolus vulgaris	3885	S	6610	1382	7992	0.00544
Pisum sativum	3888	S	15637	3046	18683	0.01272
Vicia villosa	3911	S	12373	2212	14585	0.00993
Medicago truncatula	3880	S	4520	792	5312	0.00362
Trifolium pratense	57577	S	4388	4598	8986	0.00612
Cicer arietinum	3827	S	6572	3145	9717	0.00662
Lotus japonicus	34305	S	4426	897	5323	0.00362
Arachis stenosperma	217475	S	6444	2914	9358	0.00637
Arachis hypogaea	3818	S	6413	13843	20256	0.01379
Arachis duranensis	130453	S	2427	2967	5394	0.00367
Arachis ipaensis	130454	S	657	5919	6576	0.00448
Lupinus angustifolius	3871	S	7093	2379	9472	0.00645
Malus domestica	3750	S	2052	2064	4116	0.00280
Malus sylvestris	3752	S	1952	2600	4552	0.00310
Pyrus communis	23211	S	3965	1215	5180	0.00353
Prunus mume	102107	S	2177	1029	3206	0.00218
Prunus persica	3760	S	1593	1124	2717	0.00185
Prunus dulcis	3755	S	1331	908	2239	0.00152
Rosa chinensis	74649	S	2838	649	3487	0.00237
Rosa rugosa	74645	S	2485	841	3326	0.00226
Fragaria vesca	57918	S	1847	824	2671	0.00182
Argentina anserina	57926	S	1826	1092	2918	0.00199
Humulus lupulus	3486	S	15478	7609	23087	0.01572
Cannabis sativa	3483	S	7071	1187	8258	0.00562
Ziziphus jujuba	326968	S	6534	4605	11139	0.00758
Hevea brasiliensis	3981	S	13330	2308	15638	0.01065
Manihot esculenta	3983	S	7478	3404	10882	0.00741
Ricinus communis	3988	S	4394	1595	5989	0.00408
Mercurialis annua	3986	S	4366	4313	8679	0.00591
Euphorbia lathyris	212925	S	7220	1225	8445	0.00575
Populus trichocarpa	3694	S	5343	2164	7507	0.00511
Populus nigra	3691	S	5025	16657	21682	0.01476
Juglans regia	51240	S	4902	3364	8266	0.00563
Juglans microcarpa x Juglans regia	2249226	S	4882	2023	6905	0.00470
Carya illinoinensis	32201	S	6440	3248	9688	0.00660
Quercus lobata	97700	S	6992	4202	11194	0.00762
Quercus robur	38942	S	6756	8434	15190	0.01034
Alnus glutinosa	3517	S	6035	6803	12838	0.00874
Corylus avellana	13451	S	4792	879	5671	0.00386
Benincasa hispida	102211	S	9058	606	9664	0.00658
Cucumis melo	3656	S	4952	26431	31383	0.02137
Cucumis sativus	3659	S	3744	714	4458	0.00304
Cucurbita pepo	3663	S	3436	1038	4474	0.00305
Tripterygium wilfordii	458696	S	2604	1918	4522	0.00308
Gossypium hirsutum	3635	S	9692	6345	16037	0.01092
Gossypium arboreum	29729	S	4872	3196	8068	0.00549
Gossypium raimondii	29730	S	4227	2509	6736	0.00459
Theobroma cacao	3641	S	3416	309	3725	0.00254
Brassica napus	3708	S	3778	15112	18890	0.01286
Brassica oleracea	3712	S	1630	1801	3431	0.00234
Brassica rapa	3711	S	1146	2340	3486	0.00237
Raphanus sativus	3726	S	3856	12032	15888	0.01082
Camelina sativa	90675	S	7297	655	7952	0.00541
Arabidopsis thaliana	3702	S	1198	284	1482	0.00101
Eucalyptus grandis	71139	S	6268	4368	10636	0.00724
Rhodamnia argentea	178133	S	3519	884	4403	0.00300
Punica granatum	22663	S	3688	1166	4854	0.00330
Mangifera indica	29780	S	4631	1909	6540	0.00445
Citrus sinensis	2711	S	3442	1408	4850	0.00330
Vitis vinifera	29760	S	4055	4221	8276	0.00563
Vitis riparia	96939	S	3992	3443	7435	0.00506
Solanum lycopersicum	4081	S	12441	26964	39405	0.02683
Solanum pennellii	28526	S	11623	3563	15186	0.01034
Solanum dulcamara	45834	S	6147	4113	10260	0.00699
Solanum stenotomum	172797	S	5876	948	6824	0.00465
Capsicum annuum	4072	S	20560	1343	21903	0.01491
Lycium barbarum	112863	S	7893	1845	9738	0.00663
Lycium ferocissimum	112874	S	7341	2307	9648	0.00657
Nicotiana sylvestris	4096	S	8745	1842	10587	0.00721
Nicotiana attenuata	49451	S	8392	2956	11348	0.00773
Nicotiana tomentosiformis	4098	S	7277	1438	8715	0.00593
Ipomoea triloba	35885	S	4172	1909	6081	0.00414
Salvia miltiorrhiza	226208	S	5109	757	5866	0.00399
Salvia hispanica	49212	S	2861	818	3679	0.00250
Salvia splendens	180675	S	5654	1073	6727	0.00458
Olea europaea	4146	S	8844	726	9570	0.00652
Sesamum indicum	4182	S	3905	693	4598	0.00313
Coffea arabica	13443	S	3812	1634	5446	0.00371
Coffea eugenioides	49369	S	1592	1660	3252	0.00221
Rutidosis leptorrhynchoides	125765	S	16974	7548	24522	0.01669
Helianthus annuus	4232	S	14154	1516	15670	0.01067
Erigeron canadensis	72917	S	4018	710	4728	0.00322
Lactuca sativa	4236	S	12241	3372	15613	0.01063
Cynara cardunculus	4265	S	5468	709	6177	0.00421
Daucus carota	4039	S	3477	809	4286	0.00292
Impatiens glandulifera	253017	S	9330	2655	11985	0.00816
Actinidia eriantha	165200	S	9015	940	9955	0.00678
Diospyros lotus	55363	S	7711	964	8675	0.00591
Rhododendron vialii	182163	S	4709	884	5593	0.00381
Beta vulgaris	161934	S	5415	1915	7330	0.00499
Spinacia oleracea	3562	S	4851	22939	27790	0.01892
Amaranthus tricolor	29722	S	4571	18203	22774	0.01550
Malania oleifera	397392	S	13833	2616	16449	0.01120
Triticum aestivum	4565	S	17066	18685	35751	0.02434
Triticum dicoccoides	85692	S	9876	9782	19658	0.01338
Triticum urartu	4572	S	8915	5488	14403	0.00981
Aegilops tauschii	37682	S	5791	6613	12404	0.00844
Hordeum vulgare	4513	S	20372	10624	30996	0.02110
Lolium rigidum	89674	S	8168	2279	10447	0.00711
Lolium perenne	4522	S	5357	3259	8616	0.00587
Brachypodium distachyon	15368	S	3613	609	4222	0.00287
Oryza brachyantha	4533	S	4764	1053	5817	0.00396
Oryza sativa	4530	S	3727	9351	13078	0.00890
Oryza glaberrima	4538	S	2859	2906	5765	0.00392
Miscanthus floridulus	154761	S	12376	2371	14747	0.01004
Zea mays	4577	S	8170	3711	11881	0.00809
Sorghum bicolor	4558	S	4834	2852	7686	0.00523
Panicum virgatum	38727	S	10525	2136	12661	0.00862
Panicum hallii	206008	S	4708	1044	5752	0.00392
Setaria italica	4555	S	1445	2329	3774	0.00257
Setaria viridis	4556	S	1318	2081	3399	0.00231
Phragmites australis	29695	S	6209	1714	7923	0.00539
Ananas comosus	4615	S	5560	1849	7409	0.00504
Zingiber officinale	94328	S	13475	558	14033	0.00955
Musa acuminata	4641	S	7090	17351	24441	0.01664
Elaeis guineensis	51953	S	12282	1755	14037	0.00956
Phoenix dactylifera	42345	S	5221	1273	6494	0.00442
Asparagus officinalis	4686	S	6509	734	7243	0.00493
Dioscorea cayenensis	29710	S	5215	591	5806	0.00395
Telopea speciosissima	54955	S	8142	1091	9233	0.00629
Macadamia integrifolia	60698	S	7325	1310	8635	0.00588
Papaver somniferum	3469	S	9654	331	9985	0.00680
Magnolia sinica	86752	S	8782	393	9175	0.00625
Nymphaea colorata	210225	S	4594	520	5114	0.00348
Cryptomeria japonica	3369	S	28964	3239	32203	0.02192
Physcomitrium patens	3218	S	4013	40	4053	0.00276
Roya obtusa	104537	S	124	88	212	0.00014
Cylindrocystis brebissonii	102167	S	26	5	31	0.00002
Zygnema circumcarinatum	35869	S	68	13	81	0.00006
Netrium digitus	43946	S	41	8	49	0.00003
Spirogyra maxima	3180	S	11	2	13	0.00001
Closterium baillyanum	1416941	S	86	24	110	0.00007
Cosmarium botrytis	33101	S	30	21	51	0.00003
Coleochaete scutata	3125	S	120	10	130	0.00009
Chaetosphaeridium globosum	96477	S	75	18	93	0.00006
Chara vulgaris	55564	S	75	32	107	0.00007
Chlorokybus atmophyticus	3144	S	282	118	400	0.00027
Mesostigma viride	41882	S	219	152	371	0.00025
Entransia fimbriata	130991	S	67	7	74	0.00005
Interfilum terricola	163310	S	43	99	142	0.00010
Chlamydomonas reinhardtii	3055	S	29963	3324	33287	0.02266
Chlamydomonas leiostraca	1034604	S	657	438	1095	0.00075
Chlamydomonas moewusii	3054	S	50	0	50	0.00003
Carteria cerasiformis	69401	S	241	14	255	0.00017
Oogamochlamys gigantea	158507	S	225	43	268	0.00018
Polytomella magna	353565	S	16	0	16	0.00001
Volvox carteri	3067	S	3861	410	4271	0.00291
Volvox africanus	51714	S	119	143	262	0.00018
Yamagishiella unicocca	51707	S	263	312	575	0.00039
Gonium pectorale	33097	S	260	384	644	0.00044
Colemanosphaera angeleri	1454018	S	128	176	304	0.00021
Pleodorina starrii	330485	S	83	83	166	0.00011
Chlorococcum tatrense	915274	S	1712	533	2245	0.00153
Dunaliella salina	3046	S	371	61	432	0.00029
Spermatozopsis similis	3192	S	256	133	389	0.00026
Hafniomonas laevis	436124	S	197	9	206	0.00014
Haematococcus lacustris	44745	S	719	15	734	0.00050
Characiochloris acuminata	167768	S	330	174	504	0.00034
Phacotus lenticularis	52965	S	318	80	398	0.00027
Pleurastrum terricola	34116	S	101	10	111	0.00008
Pseudopediastrum sp. CL0201VA	2184484	S	63	76	139	0.00009
Pseudopediastrum integrum	271402	S	25	50	75	0.00005
Pseudopediastrum boryanum	55410	S	22	40	62	0.00004
Pediastrum duplex	3105	S	116	84	200	0.00014
Pediastrum angulosum	271408	S	64	56	120	0.00008
Lacunastrum gracillimum	427913	S	92	53	145	0.00010
Hydrodictyon reticulatum	3107	S	81	126	207	0.00014
Stauridium tetras	271398	S	75	41	116	0.00008
Coelastrella saipanensis	152631	S	163	51	214	0.00015
Pectinodesmus pectinatus	91197	S	163	60	223	0.00015
Tetradesmus obliquus	3088	S	159	87	246	0.00017
Chlorotetraedron incus	162317	S	262	93	355	0.00024
Neochloris aquatica	3099	S	177	18	195	0.00013
Kirchneriella aperta	117505	S	200	56	256	0.00017
Monoraphidium neglectum	145388	S	179	152	331	0.00023
Ankistrodesmus falcatus	52960	S	35	0	35	0.00002
Bracteacoccus aerius	50041	S	146	71	217	0.00015
Bracteacoccus minor	50037	S	102	47	149	0.00010
Bracteacoccus giganteus	50039	S	77	32	109	0.00007
Ankyra judayi	52688	S	225	160	385	0.00026
Parallela transversalis	163324	S	136	1	137	0.00009
Chromochloris zofingiensis	31302	S	276	80	356	0.00024
Pseudomuriella schumacherensis	889459	S	225	93	318	0.00022
Mychonastes homosphaera	31300	S	75	72	147	0.00010
Mychonastes jurisii	797708	S	54	71	125	0.00009
Neocystis brevis	1065496	S	170	79	249	0.00017
Aphanochaete confervicola	764104	S	4702	918	5620	0.00383
Aphanochaete elegans	764105	S	1388	309	1697	0.00116
Uronema confervicola	764120	S	4110	508	4618	0.00314
Chaetophoropsis polyrhiza	2079440	S	1122	109	1231	0.00084
Stigeoclonium helveticum	55999	S	388	36	424	0.00029
Schizomeris leibleinii	104533	S	557	38	595	0.00041
Oedocladium carolinianum	55992	S	5099	1345	6444	0.00439
Oedogonium cardiacum	55995	S	3855	1188	5043	0.00343
Floydiella terrestris	51328	S	113	1	114	0.00008
Chlorosarcinopsis eremi	332213	S	693	119	812	0.00055
Jenufa perforata	993091	S	174	6	180	0.00012
Jenufa minuta	993092	S	57	12	69	0.00005
Treubaria triappendiculata	1755147	S	125	16	141	0.00010
Microspora stagnorum	163317	S	38	0	38	0.00003
Chlorella variabilis	554065	S	842	289	1131	0.00077
Chlorella vulgaris	3077	S	168	40	208	0.00014
Chlorella sorokiniana	3076	S	75	30	105	0.00007
Chlorella heliozoae	554066	S	56	30	86	0.00006
Micractinium conductrix	554055	S	538	256	794	0.00054
Micractinium variabile	2726146	S	28	0	28	0.00002
Prototheca cutis	575411	S	68	16	84	0.00006
Prototheca wickerhamii	3111	S	56	10	66	0.00004
Prototheca stagnorum	215448	S	28	0	28	0.00002
Prototheca ciferrii	1973153	S	18	21	39	0.00003
Prototheca bovis	2509265	S	18	20	38	0.00003
Auxenochlorella protothecoides	3075	S	124	27	151	0.00010
Pseudochlorella signiensis	173497	S	88	101	189	0.00013
Pseudochloris wilhelmii	1418016	S	85	67	152	0.00010
Parachlorella kessleri	3074	S	73	99	172	0.00012
Dicloster acuatus	91190	S	64	45	109	0.00007
Helicosporidium sp. ex Simulium jonesi	145475	S	51	0	51	0.00003
Marvania geminata	97105	S	39	23	62	0.00004
Geminella minor	163309	S	34	154	188	0.00013
Binuclearia lauterbornii	3087189	S	75	98	173	0.00012
Lobosphaera incisa	312850	S	195	46	241	0.00016
Myrmecia israelensis	3171	S	123	57	180	0.00012
Trebouxia lynnae	1825957	S	107	16	123	0.00008
Symbiochloris handae	1853882	S	94	3	97	0.00007
Parietochloris pseudoalveolaris	3102	S	56	46	102	0.00007
Koliella corcontica	155904	S	134	69	203	0.00014
Koliella longiseta	33092	S	90	99	189	0.00013
Edaphochlorella mirabilis	3083	S	206	215	421	0.00029
Stichococcus bacillaris	37433	S	110	23	133	0.00009
Botryococcus braunii	38881	S	128	20	148	0.00010
Coccomyxa subellipsoidea	248742	S	92	28	120	0.00008
Choricystis parasitica	41300	S	110	33	143	0.00010
Xylochloris irregularis	480381	S	99	18	117	0.00008
Paradoxia multiseta	249350	S	14	4	18	0.00001
Microthamnion kuetzingianum	34148	S	124	62	186	0.00013
Fusochloris perforata	106203	S	60	30	90	0.00006
Trebouxiophyceae sp. MX-AZ01	1208065	S	111	11	122	0.00008
Watanabea reniformis	191674	S	58	9	67	0.00005
Jaagichlorella roystonensis	1052852	S	31	0	31	0.00002
Scherffelia dubia	3190	S	154	63	217	0.00015
Micromonas commoda	296587	S	6824	552	7376	0.00502
Micromonas pusilla	38833	S	4716	231	4947	0.00337
Ostreococcus sp. 'lucimarinus'	242159	S	1312	157	1469	0.00100
Ostreococcus tauri	70448	S	1258	140	1398	0.00095
Bathycoccus prasinos	41875	S	619	23	642	0.00044
Monomastix sp. OKE-1	141716	S	164	15	179	0.00012
Microrhizoidea pickettheapsiorum	2604950	S	70	2	72	0.00005
Tupiella akineta	160070	S	6933	785	7718	0.00525
Sarcinofilum mucosum	141643	S	227	32	259	0.00018
Hazenia capsulata	2202518	S	216	44	260	0.00018
Capsosiphon fulvescens	205396	S	89	35	124	0.00008
Gloeotilopsis sterilis	160069	S	14	53	67	0.00005
Ulva fenestrata	83795	S	18	196	214	0.00015
Ulva rigida	75689	S	17	87	104	0.00007
Pseudoneochloris marina	44573	S	116	88	204	0.00014
Blidingia minima	63414	S	36	1	37	0.00003
Neodangemannia microcystis	173495	S	147	17	164	0.00011
Codium fragile	3133	S	447	0	447	0.00030
Codium arabicum	221038	S	34	5	39	0.00003
Codium simulans	589376	S	26	8	34	0.00002
Bryopsis sp. HV04063	1979421	S	116	32	148	0.00010
Bryopsis hypnoides	222885	S	77	29	106	0.00007
Bryopsis plumosa	3130	S	17	7	24	0.00002
Lambia antarctica	101717	S	92	19	111	0.00008
Pedobesia claviformis	2364088	S	41	5	46	0.00003
Derbesia sp. WEST4838	1847751	S	19	1	20	0.00001
Boodleopsis sp. H.0758	2320802	S	46	6	52	0.00004
Boodleopsis pusilla	381415	S	38	6	44	0.00003
Rhipilia penicilloides	1979422	S	21	2	23	0.00002
Callipsygma wilsonis	2320807	S	47	3	50	0.00003
Rhipiliopsis peltata	2320810	S	15	1	16	0.00001
Udotea flabellum	170437	S	19	3	22	0.00001
Tydemania expeditionis	325645	S	16	2	18	0.00001
Glaukea argentea	2894057	S	14	1	15	0.00001
Pseudocodium devriesii	453070	S	17	3	20	0.00001
Caulerpa lentillifera	148947	S	48	3	51	0.00003
Caulerpa verticillata	177082	S	39	3	42	0.00003
Caulerpa racemosa	76317	S	33	17	50	0.00003
Caulerpa ashmeadii	177078	S	17	2	19	0.00001
Caulerpa manorensis	717648	S	15	11	26	0.00002
Ostreobium quekettii	121088	S	154	3	157	0.00011
Trentepohlia odorata	2576626	S	10	0	10	0.00001
Oltmannsiellopsis viridis	51324	S	105	41	146	0.00010
Chloropicon sieburthii	1764286	S	98	87	185	0.00013
Chloropicon maureeniae	1461542	S	96	33	129	0.00009
Chloropicon roscoffensis	1461544	S	84	68	152	0.00010
Chloropicon laureae	464258	S	74	55	129	0.00009
Chloropicon mariensis	1606511	S	44	30	74	0.00005
Chloropicon primus	1764295	S	40	15	55	0.00004
Chloroparvula japonica	1411623	S	109	52	161	0.00011
Chloroparvula pacifica	1883388	S	33	39	72	0.00005
Cymbomonas tetramitiformis	36881	S	191	101	292	0.00020
Pyramimonas parkeae	36894	S	146	121	267	0.00018
Picocystis salinarum	88271	S	221	136	357	0.00024
Pedinomonas tuberculata	160064	S	105	75	180	0.00012
Pedinomonas minor	3159	S	76	86	162	0.00011
Nephroselmis olivacea	31312	S	70	17	87	0.00006
Nephroselmis astigmatica	259378	S	27	15	42	0.00003
Nephroselmis pyriformis	156128	S	17	14	31	0.00002
Pycnococcus provasolii	41880	S	94	13	107	0.00007
Palmophyllum crassum	1615899	S	27	7	34	0.00002
Prasinoderma coloniale	156133	S	269	58	327	0.00022
Cyanidioschyzon merolae	45157	S	634	0	634	0.00043
