name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna radiata	157791	S	11731	3047	14778	0.00923
Vigna unguiculata	3917	S	10556	6204	16760	0.01047
Vigna angularis	3914	S	7984	2754	10738	0.00671
Glycine soja	3848	S	2775	9098	11873	0.00742
Glycine max	3847	S	2708	10491	13199	0.00824
Cajanus cajan	3821	S	13177	2915	16092	0.01005
Phaseolus vulgaris	3885	S	9803	2239	12042	0.00752
Pisum sativum	3888	S	19856	3750	23606	0.01475
Vicia villosa	3911	S	18267	3152	21419	0.01338
Medicago truncatula	3880	S	6186	1108	7294	0.00456
Trifolium pratense	57577	S	5808	6036	11844	0.00740
Cicer arietinum	3827	S	10417	5056	15473	0.00967
Lotus japonicus	34305	S	5476	1089	6565	0.00410
Arachis stenosperma	217475	S	8467	3954	12421	0.00776
Arachis hypogaea	3818	S	8256	18403	26659	0.01665
Arachis duranensis	130453	S	3386	4311	7697	0.00481
Arachis ipaensis	130454	S	780	7253	8033	0.00502
Lupinus angustifolius	3871	S	9436	3116	12552	0.00784
Hevea brasiliensis	3981	S	17679	3277	20956	0.01309
Manihot esculenta	3983	S	10967	4905	15872	0.00991
Ricinus communis	3988	S	6808	2635	9443	0.00590
Mercurialis annua	3986	S	6194	6006	12200	0.00762
Euphorbia lathyris	212925	S	9391	1593	10984	0.00686
Populus nigra	3691	S	6700	21417	28117	0.01756
Populus trichocarpa	3694	S	6142	2622	8764	0.00547
Humulus lupulus	3486	S	19280	9102	28382	0.01773
Cannabis sativa	3483	S	9543	1583	11126	0.00695
Malus sylvestris	3752	S	1911	2947	4858	0.00303
Malus domestica	3750	S	1875	2280	4155	0.00260
Pyrus communis	23211	S	3914	1322	5236	0.00327
Prunus mume	102107	S	1865	961	2826	0.00177
Prunus persica	3760	S	1364	1080	2444	0.00153
Prunus dulcis	3755	S	1308	1018	2326	0.00145
Rosa chinensis	74649	S	2802	626	3428	0.00214
Rosa rugosa	74645	S	2300	755	3055	0.00191
Argentina anserina	57926	S	1846	1056	2902	0.00181
Fragaria vesca	57918	S	1744	793	2537	0.00158
Ziziphus jujuba	326968	S	8221	5686	13907	0.00869
Juglans regia	51240	S	5921	4237	10158	0.00635
Juglans microcarpa x Juglans regia	2249226	S	5812	2541	8353	0.00522
Carya illinoinensis	32201	S	8131	4114	12245	0.00765
Quercus lobata	97700	S	7292	5217	12509	0.00781
Quercus robur	38942	S	6242	8337	14579	0.00911
Alnus glutinosa	3517	S	6156	6830	12986	0.00811
Corylus avellana	13451	S	4820	899	5719	0.00357
Benincasa hispida	102211	S	12040	854	12894	0.00805
Cucumis melo	3656	S	5748	31537	37285	0.02329
Cucumis sativus	3659	S	4562	914	5476	0.00342
Cucurbita pepo	3663	S	3961	1201	5162	0.00322
Tripterygium wilfordii	458696	S	2628	1872	4500	0.00281
Gossypium hirsutum	3635	S	13381	9446	22827	0.01426
Gossypium arboreum	29729	S	6915	4905	11820	0.00738
Gossypium raimondii	29730	S	6277	4012	10289	0.00643
Theobroma cacao	3641	S	4538	432	4970	0.00310
Brassica napus	3708	S	4200	17425	21625	0.01351
Brassica oleracea	3712	S	1935	2362	4297	0.00268
Brassica rapa	3711	S	1385	3038	4423	0.00276
Raphanus sativus	3726	S	5196	17168	22364	0.01397
Camelina sativa	90675	S	7425	655	8080	0.00505
Arabidopsis thaliana	3702	S	1499	385	1884	0.00118
Eucalyptus grandis	71139	S	6217	4560	10777	0.00673
Rhodamnia argentea	178133	S	3156	809	3965	0.00248
Punica granatum	22663	S	4028	1311	5339	0.00334
Mangifera indica	29780	S	6403	2480	8883	0.00555
Citrus sinensis	2711	S	4281	1884	6165	0.00385
Vitis riparia	96939	S	4886	4741	9627	0.00601
Vitis vinifera	29760	S	4540	5170	9710	0.00607
Solanum lycopersicum	4081	S	14960	31307	46267	0.02890
Solanum pennellii	28526	S	13397	4098	17495	0.01093
Solanum dulcamara	45834	S	8012	5133	13145	0.00821
Solanum stenotomum	172797	S	7614	1210	8824	0.00551
Capsicum annuum	4072	S	27054	1712	28766	0.01797
Lycium barbarum	112863	S	7517	2084	9601	0.00600
Lycium ferocissimum	112874	S	6880	2556	9436	0.00589
Nicotiana sylvestris	4096	S	9958	2113	12071	0.00754
Nicotiana attenuata	49451	S	9054	3205	12259	0.00766
Nicotiana tomentosiformis	4098	S	8412	1629	10041	0.00627
Ipomoea triloba	35885	S	5088	2232	7320	0.00457
Salvia miltiorrhiza	226208	S	5836	838	6674	0.00417
Salvia hispanica	49212	S	3451	870	4321	0.00270
Salvia splendens	180675	S	6920	1194	8114	0.00507
Olea europaea	4146	S	10858	869	11727	0.00733
Sesamum indicum	4182	S	4816	856	5672	0.00354
Coffea arabica	13443	S	4155	1881	6036	0.00377
Coffea eugenioides	49369	S	1656	1814	3470	0.00217
Rutidosis leptorrhynchoides	125765	S	23698	9890	33588	0.02098
Helianthus annuus	4232	S	14625	1470	16095	0.01005
Erigeron canadensis	72917	S	5212	878	6090	0.00380
Lactuca sativa	4236	S	15005	3768	18773	0.01173
Cynara cardunculus	4265	S	7173	858	8031	0.00502
Daucus carota	4039	S	4743	1055	5798	0.00362
Impatiens glandulifera	253017	S	12648	3416	16064	0.01003
Actinidia eriantha	165200	S	9205	1042	10247	0.00640
Diospyros lotus	55363	S	8043	913	8956	0.00559
Rhododendron vialii	182163	S	4456	774	5230	0.00327
Beta vulgaris	161934	S	5761	1912	7673	0.00479
Spinacia oleracea	3562	S	5099	25565	30664	0.01915
Amaranthus tricolor	29722	S	6212	23403	29615	0.01850
Malania oleifera	397392	S	15111	2842	17953	0.01121
Triticum aestivum	4565	S	11534	12805	24339	0.01520
Triticum dicoccoides	85692	S	6832	6921	13753	0.00859
Triticum urartu	4572	S	6149	3868	10017	0.00626
Aegilops tauschii	37682	S	3946	4570	8516	0.00532
Hordeum vulgare	4513	S	14507	6469	20976	0.01310
Lolium rigidum	89674	S	5759	1561	7320	0.00457
Lolium perenne	4522	S	3783	2206	5989	0.00374
Brachypodium distachyon	15368	S	2416	343	2759	0.00172
Oryza brachyantha	4533	S	4051	751	4802	0.00300
Oryza sativa	4530	S	3333	7201	10534	0.00658
Oryza glaberrima	4538	S	2315	2106	4421	0.00276
Miscanthus floridulus	154761	S	9273	1500	10773	0.00673
Zea mays	4577	S	6025	2304	8329	0.00520
Sorghum bicolor	4558	S	3269	1611	4880	0.00305
Panicum virgatum	38727	S	7018	1243	8261	0.00516
Panicum hallii	206008	S	2942	570	3512	0.00219
Setaria italica	4555	S	1010	1579	2589	0.00162
Setaria viridis	4556	S	896	1376	2272	0.00142
Phragmites australis	29695	S	5110	1267	6377	0.00398
Ananas comosus	4615	S	5659	1592	7251	0.00453
Zingiber officinale	94328	S	15101	532	15633	0.00977
Musa acuminata	4641	S	7604	16195	23799	0.01487
Elaeis guineensis	51953	S	12548	1597	14145	0.00884
Phoenix dactylifera	42345	S	4932	1108	6040	0.00377
Asparagus officinalis	4686	S	6927	667	7594	0.00474
Dioscorea cayenensis	29710	S	6267	604	6871	0.00429
Telopea speciosissima	54955	S	6954	776	7730	0.00483
Macadamia integrifolia	60698	S	6229	942	7171	0.00448
Papaver somniferum	3469	S	10675	309	10984	0.00686
Magnolia sinica	86752	S	8717	332	9049	0.00565
Nymphaea colorata	210225	S	5919	613	6532	0.00408
Cryptomeria japonica	3369	S	35446	3921	39367	0.02459
Physcomitrium patens	3218	S	5712	47	5759	0.00360
Roya obtusa	104537	S	68	68	136	0.00008
Cylindrocystis brebissonii	102167	S	67	14	81	0.00005
Zygnema circumcarinatum	35869	S	25	9	34	0.00002
Netrium digitus	43946	S	20	9	29	0.00002
Spirogyra maxima	3180	S	12	3	15	0.00001
Closterium baillyanum	1416941	S	90	26	116	0.00007
Cosmarium botrytis	33101	S	46	54	100	0.00006
Coleochaete scutata	3125	S	101	6	107	0.00007
Chaetosphaeridium globosum	96477	S	85	14	99	0.00006
Chara vulgaris	55564	S	98	21	119	0.00007
Entransia fimbriata	130991	S	82	7	89	0.00006
Interfilum terricola	163310	S	69	95	164	0.00010
Mesostigma viride	41882	S	152	87	239	0.00015
Chlorokybus atmophyticus	3144	S	104	34	138	0.00009
Chlamydomonas reinhardtii	3055	S	16606	1121	17727	0.01107
Chlamydomonas leiostraca	1034604	S	728	413	1141	0.00071
Chlamydomonas moewusii	3054	S	55	0	55	0.00003
Oogamochlamys gigantea	158507	S	143	19	162	0.00010
Carteria cerasiformis	69401	S	106	5	111	0.00007
Volvox carteri	3067	S	1695	109	1804	0.00113
Volvox africanus	51714	S	103	106	209	0.00013
Gonium pectorale	33097	S	341	396	737	0.00046
Yamagishiella unicocca	51707	S	315	301	616	0.00038
Colemanosphaera angeleri	1454018	S	143	153	296	0.00018
Pleodorina starrii	330485	S	122	105	227	0.00014
Chlorococcum tatrense	915274	S	2185	564	2749	0.00172
Dunaliella salina	3046	S	484	66	550	0.00034
Hafniomonas laevis	436124	S	280	10	290	0.00018
Spermatozopsis similis	3192	S	245	138	383	0.00024
Haematococcus lacustris	44745	S	924	14	938	0.00059
Phacotus lenticularis	52965	S	370	78	448	0.00028
Characiochloris acuminata	167768	S	305	133	438	0.00027
Pleurastrum terricola	34116	S	87	6	93	0.00006
Edaphochlamys debaryana	47281	S	12	0	12	0.00001
Pseudopediastrum sp. CL0201VA	2184484	S	123	142	265	0.00017
Pseudopediastrum boryanum	55410	S	24	43	67	0.00004
Pseudopediastrum integrum	271402	S	12	23	35	0.00002
Lacunastrum gracillimum	427913	S	168	87	255	0.00016
Pediastrum duplex	3105	S	79	53	132	0.00008
Pediastrum angulosum	271408	S	71	59	130	0.00008
Hydrodictyon reticulatum	3107	S	89	113	202	0.00013
Stauridium tetras	271398	S	83	38	121	0.00008
Pectinodesmus pectinatus	91197	S	204	70	274	0.00017
Coelastrella saipanensis	152631	S	173	52	225	0.00014
Tetradesmus obliquus	3088	S	164	84	248	0.00015
Chlorotetraedron incus	162317	S	332	98	430	0.00027
Neochloris aquatica	3099	S	216	19	235	0.00015
Bracteacoccus aerius	50041	S	229	125	354	0.00022
Bracteacoccus minor	50037	S	119	62	181	0.00011
Bracteacoccus giganteus	50039	S	98	46	144	0.00009
Monoraphidium neglectum	145388	S	213	148	361	0.00023
Kirchneriella aperta	117505	S	179	44	223	0.00014
Ankyra judayi	52688	S	263	186	449	0.00028
Parallela transversalis	163324	S	122	1	123	0.00008
Mychonastes homosphaera	31300	S	137	151	288	0.00018
Mychonastes jurisii	797708	S	30	44	74	0.00005
Chromochloris zofingiensis	31302	S	261	65	326	0.00020
Pseudomuriella schumacherensis	889459	S	228	91	319	0.00020
Neocystis brevis	1065496	S	58	25	83	0.00005
Aphanochaete confervicola	764104	S	4916	915	5831	0.00364
Aphanochaete elegans	764105	S	1474	289	1763	0.00110
Chaetophoropsis polyrhiza	2079440	S	2929	272	3201	0.00200
Stigeoclonium helveticum	55999	S	375	31	406	0.00025
Schizomeris leibleinii	104533	S	637	47	684	0.00043
Uronema confervicola	764120	S	493	57	550	0.00034
Oedogonium cardiacum	55995	S	122	25	147	0.00009
Oedocladium carolinianum	55992	S	42	7	49	0.00003
Floydiella terrestris	51328	S	137	1	138	0.00009
Chlorosarcinopsis eremi	332213	S	897	143	1040	0.00065
Jenufa perforata	993091	S	98	4	102	0.00006
Jenufa minuta	993092	S	60	13	73	0.00005
Treubaria triappendiculata	1755147	S	159	20	179	0.00011
Microspora stagnorum	163317	S	34	0	34	0.00002
Chlorella variabilis	554065	S	192	56	248	0.00015
Chlorella vulgaris	3077	S	182	37	219	0.00014
Chlorella sorokiniana	3076	S	140	49	189	0.00012
Chlorella heliozoae	554066	S	115	53	168	0.00010
Micractinium conductrix	554055	S	438	176	614	0.00038
Micractinium variabile	2726146	S	53	1	54	0.00003
Prototheca wickerhamii	3111	S	121	16	137	0.00009
Prototheca cutis	575411	S	115	19	134	0.00008
Prototheca ciferrii	1973153	S	32	63	95	0.00006
Auxenochlorella protothecoides	3075	S	192	37	229	0.00014
Pseudochloris wilhelmii	1418016	S	113	72	185	0.00012
Pseudochlorella signiensis	173497	S	98	122	220	0.00014
Parachlorella kessleri	3074	S	89	102	191	0.00012
Marvania geminata	97105	S	56	28	84	0.00005
Geminella minor	163309	S	38	119	157	0.00010
Dicloster acuatus	91190	S	26	15	41	0.00003
Helicosporidium sp. ex Simulium jonesi	145475	S	25	0	25	0.00002
Binuclearia lauterbornii	3087189	S	51	56	107	0.00007
Edaphochlorella mirabilis	3083	S	239	219	458	0.00029
Koliella longiseta	33092	S	106	127	233	0.00015
Koliella corcontica	155904	S	70	30	100	0.00006
Stichococcus bacillaris	37433	S	92	18	110	0.00007
Trebouxia lynnae	1825957	S	211	26	237	0.00015
Myrmecia israelensis	3171	S	96	32	128	0.00008
Lobosphaera incisa	312850	S	66	12	78	0.00005
Parietochloris pseudoalveolaris	3102	S	60	43	103	0.00006
Symbiochloris handae	1853882	S	34	1	35	0.00002
Choricystis parasitica	41300	S	148	41	189	0.00012
Botryococcus braunii	38881	S	62	7	69	0.00004
Coccomyxa subellipsoidea	248742	S	43	18	61	0.00004
Xylochloris irregularis	480381	S	89	14	103	0.00006
Microthamnion kuetzingianum	34148	S	201	59	260	0.00016
Fusochloris perforata	106203	S	89	25	114	0.00007
Watanabea reniformis	191674	S	72	11	83	0.00005
Jaagichlorella roystonensis	1052852	S	32	0	32	0.00002
Jaagichlorella hainangensis	445995	S	11	0	11	0.00001
Trebouxiophyceae sp. MX-AZ01	1208065	S	109	11	120	0.00007
Scherffelia dubia	3190	S	106	40	146	0.00009
Tupiella akineta	160070	S	10777	950	11727	0.00733
Sarcinofilum mucosum	141643	S	605	68	673	0.00042
Hazenia capsulata	2202518	S	306	50	356	0.00022
Capsosiphon fulvescens	205396	S	119	38	157	0.00010
Gloeotilopsis sterilis	160069	S	94	241	335	0.00021
Ulva flexuosa	83791	S	32	87	119	0.00007
Ulva australis	111616	S	24	224	248	0.00015
Ulva rigida	75689	S	15	15	30	0.00002
Pseudoneochloris marina	44573	S	144	90	234	0.00015
Blidingia minima	63414	S	53	1	54	0.00003
Neodangemannia microcystis	173495	S	185	19	204	0.00013
Codium fragile	3133	S	455	0	455	0.00028
Codium simulans	589376	S	65	8	73	0.00005
Codium arabicum	221038	S	54	4	58	0.00004
