name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna radiata	157791	S	12434	3327	15761	0.00894
Vigna unguiculata	3917	S	11928	7312	19240	0.01091
Vigna angularis	3914	S	8735	3101	11836	0.00671
Glycine soja	3848	S	3438	10544	13982	0.00793
Glycine max	3847	S	3037	11134	14171	0.00804
Cajanus cajan	3821	S	14025	3250	17275	0.00980
Phaseolus vulgaris	3885	S	10999	2648	13647	0.00774
Pisum sativum	3888	S	22630	4409	27039	0.01533
Vicia villosa	3911	S	19617	3518	23135	0.01312
Medicago truncatula	3880	S	7043	1301	8344	0.00473
Trifolium pratense	57577	S	6277	6809	13086	0.00742
Cicer arietinum	3827	S	11311	5808	17119	0.00971
Lotus japonicus	34305	S	5714	1198	6912	0.00392
Arachis hypogaea	3818	S	9918	20817	30735	0.01743
Arachis stenosperma	217475	S	9181	4160	13341	0.00757
Arachis duranensis	130453	S	3997	4896	8893	0.00504
Arachis ipaensis	130454	S	1075	9302	10377	0.00589
Lupinus angustifolius	3871	S	10078	3464	13542	0.00768
Hevea brasiliensis	3981	S	19959	3856	23815	0.01351
Manihot esculenta	3983	S	11651	5445	17096	0.00970
Ricinus communis	3988	S	7317	2958	10275	0.00583
Mercurialis annua	3986	S	6838	6915	13753	0.00780
Euphorbia lathyris	212925	S	9659	1721	11380	0.00645
Populus nigra	3691	S	7570	24911	32481	0.01842
Populus trichocarpa	3694	S	7226	2845	10071	0.00571
Malus domestica	3750	S	3878	3548	7426	0.00421
Malus sylvestris	3752	S	2198	2741	4939	0.00280
Pyrus communis	23211	S	4575	1410	5985	0.00339
Prunus mume	102107	S	2278	1124	3402	0.00193
Prunus persica	3760	S	1761	1233	2994	0.00170
Prunus dulcis	3755	S	1480	1010	2490	0.00141
Rosa chinensis	74649	S	3326	684	4010	0.00227
Rosa rugosa	74645	S	2633	796	3429	0.00194
Argentina anserina	57926	S	1957	1151	3108	0.00176
Fragaria vesca	57918	S	1896	880	2776	0.00157
Humulus lupulus	3486	S	21089	10467	31556	0.01790
Cannabis sativa	3483	S	10152	1823	11975	0.00679
Ziziphus jujuba	326968	S	8975	6493	15468	0.00877
Juglans regia	51240	S	6860	5071	11931	0.00677
Juglans microcarpa x Juglans regia	2249226	S	6845	3053	9898	0.00561
Carya illinoinensis	32201	S	8775	4624	13399	0.00760
Quercus lobata	97700	S	8777	5813	14590	0.00827
Quercus robur	38942	S	7995	10428	18423	0.01045
Alnus glutinosa	3517	S	7152	8374	15526	0.00881
Corylus avellana	13451	S	6069	1192	7261	0.00412
Benincasa hispida	102211	S	14405	1067	15472	0.00877
Cucumis melo	3656	S	6364	36501	42865	0.02431
Cucumis sativus	3659	S	4864	991	5855	0.00332
Cucurbita pepo	3663	S	4714	1497	6211	0.00352
Tripterygium wilfordii	458696	S	4518	3370	7888	0.00447
Gossypium hirsutum	3635	S	14355	10013	24368	0.01382
Gossypium arboreum	29729	S	7565	5304	12869	0.00730
Gossypium raimondii	29730	S	6701	4255	10956	0.00621
Theobroma cacao	3641	S	4643	442	5085	0.00288
Brassica napus	3708	S	4916	20479	25395	0.01440
Brassica oleracea	3712	S	2239	2549	4788	0.00272
Brassica rapa	3711	S	1759	3709	5468	0.00310
Raphanus sativus	3726	S	5326	18694	24020	0.01362
Camelina sativa	90675	S	9270	806	10076	0.00571
Arabidopsis thaliana	3702	S	1529	388	1917	0.00109
Eucalyptus grandis	71139	S	7029	5426	12455	0.00706
Rhodamnia argentea	178133	S	3427	878	4305	0.00244
Punica granatum	22663	S	4132	1405	5537	0.00314
Mangifera indica	29780	S	6805	2734	9539	0.00541
Citrus sinensis	2711	S	4890	2228	7118	0.00404
Vitis riparia	96939	S	5722	5328	11050	0.00627
Vitis vinifera	29760	S	5720	6333	12053	0.00684
Solanum lycopersicum	4081	S	16190	35362	51552	0.02924
Solanum pennellii	28526	S	15374	4718	20092	0.01139
Solanum dulcamara	45834	S	8239	5550	13789	0.00782
Solanum stenotomum	172797	S	7744	1296	9040	0.00513
Capsicum annuum	4072	S	29514	1969	31483	0.01785
Lycium barbarum	112863	S	10306	2601	12907	0.00732
Lycium ferocissimum	112874	S	8293	2834	11127	0.00631
Nicotiana sylvestris	4096	S	10039	2208	12247	0.00695
Nicotiana attenuata	49451	S	9590	3541	13131	0.00745
Nicotiana tomentosiformis	4098	S	8647	1737	10384	0.00589
Ipomoea triloba	35885	S	5492	2511	8003	0.00454
Salvia miltiorrhiza	226208	S	6250	927	7177	0.00407
Salvia hispanica	49212	S	5291	1187	6478	0.00367
Salvia splendens	180675	S	7281	1214	8495	0.00482
Olea europaea	4146	S	11699	976	12675	0.00719
Sesamum indicum	4182	S	5043	921	5964	0.00338
Coffea arabica	13443	S	4367	1901	6268	0.00355
Coffea eugenioides	49369	S	1918	2036	3954	0.00224
Rutidosis leptorrhynchoides	125765	S	23087	10116	33203	0.01883
Helianthus annuus	4232	S	17543	1869	19412	0.01101
Erigeron canadensis	72917	S	5274	956	6230	0.00353
Lactuca sativa	4236	S	17611	4755	22366	0.01268
Cynara cardunculus	4265	S	7205	936	8141	0.00462
Daucus carota	4039	S	4722	1129	5851	0.00332
Impatiens glandulifera	253017	S	13846	3898	17744	0.01006
Actinidia eriantha	165200	S	9889	1145	11034	0.00626
Diospyros lotus	55363	S	8548	997	9545	0.00541
Rhododendron vialii	182163	S	4720	844	5564	0.00316
Beta vulgaris	161934	S	6360	2228	8588	0.00487
Spinacia oleracea	3562	S	5310	28407	33717	0.01912
Amaranthus tricolor	29722	S	6448	25073	31521	0.01788
Malania oleifera	397392	S	17852	3560	21412	0.01214
Triticum aestivum	4565	S	12183	12395	24578	0.01394
Triticum dicoccoides	85692	S	7680	7278	14958	0.00848
Triticum urartu	4572	S	6788	3981	10769	0.00611
Aegilops tauschii	37682	S	6164	5982	12146	0.00689
Hordeum vulgare	4513	S	13436	6107	19543	0.01108
Lolium rigidum	89674	S	8280	1899	10179	0.00577
Lolium perenne	4522	S	4924	2484	7408	0.00420
Brachypodium distachyon	15368	S	2418	341	2759	0.00156
Oryza brachyantha	4533	S	3943	727	4670	0.00265
Oryza sativa	4530	S	3490	7377	10867	0.00616
Oryza glaberrima	4538	S	2408	2055	4463	0.00253
Miscanthus floridulus	154761	S	9071	1754	10825	0.00614
Zea mays	4577	S	6097	2468	8565	0.00486
Sorghum bicolor	4558	S	3465	2008	5473	0.00310
Panicum virgatum	38727	S	7106	1250	8356	0.00474
Panicum hallii	206008	S	3348	635	3983	0.00226
Setaria viridis	4556	S	941	1388	2329	0.00132
Setaria italica	4555	S	922	1385	2307	0.00131
Phragmites australis	29695	S	5513	1307	6820	0.00387
Ananas comosus	4615	S	5665	1699	7364	0.00418
Zingiber officinale	94328	S	16014	596	16610	0.00942
Musa acuminata	4641	S	7441	16677	24118	0.01368
Elaeis guineensis	51953	S	11557	1536	13093	0.00743
Phoenix dactylifera	42345	S	5179	1222	6401	0.00363
Dioscorea cayenensis	29710	S	11525	1218	12743	0.00723
Asparagus officinalis	4686	S	6476	666	7142	0.00405
Telopea speciosissima	54955	S	7373	903	8276	0.00469
Macadamia integrifolia	60698	S	6268	1024	7292	0.00414
Papaver somniferum	3469	S	9951	302	10253	0.00581
Magnolia sinica	86752	S	9373	373	9746	0.00553
Nymphaea colorata	210225	S	4234	384	4618	0.00262
Cryptomeria japonica	3369	S	37296	4072	41368	0.02346
Physcomitrium patens	3218	S	4841	39	4880	0.00277
Roya obtusa	104537	S	183	80	263	0.00015
Cylindrocystis brebissonii	102167	S	16	2	18	0.00001
Zygnema circumcarinatum	35869	S	31	4	35	0.00002
Spirogyra maxima	3180	S	11	1	12	0.00001
Netrium digitus	43946	S	11	1	12	0.00001
Cosmarium botrytis	33101	S	36	17	53	0.00003
Staurastrum punctulatum	102822	S	15	5	20	0.00001
Closterium baillyanum	1416941	S	26	3	29	0.00002
Coleochaete scutata	3125	S	71	3	74	0.00004
Chaetosphaeridium globosum	96477	S	44	6	50	0.00003
Chara vulgaris	55564	S	44	18	62	0.00004
Entransia fimbriata	130991	S	117	7	124	0.00007
Interfilum terricola	163310	S	55	79	134	0.00008
Chlorokybus atmophyticus	3144	S	95	24	119	0.00007
Mesostigma viride	41882	S	85	36	121	0.00007
Chlamydomonas reinhardtii	3055	S	17301	1233	18534	0.01051
Chlamydomonas leiostraca	1034604	S	842	448	1290	0.00073
Chlamydomonas moewusii	3054	S	75	0	75	0.00004
Oogamochlamys gigantea	158507	S	183	24	207	0.00012
Carteria cerasiformis	69401	S	81	3	84	0.00005
Polytoma uvella	40532	S	27	0	27	0.00002
Volvox carteri	3067	S	2330	160	2490	0.00141
Volvox africanus	51714	S	94	106	200	0.00011
Yamagishiella unicocca	51707	S	249	255	504	0.00029
Gonium pectorale	33097	S	238	299	537	0.00030
Pleodorina starrii	330485	S	135	127	262	0.00015
Colemanosphaera angeleri	1454018	S	84	99	183	0.00010
