name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna radiata	157791	S	9183	2530	11713	0.01028
Vigna unguiculata	3917	S	5922	3807	9729	0.00854
Vigna angularis	3914	S	4519	1667	6186	0.00543
Glycine soja	3848	S	1760	5659	7419	0.00651
Glycine max	3847	S	1540	5929	7469	0.00655
Cajanus cajan	3821	S	7843	1942	9785	0.00858
Phaseolus vulgaris	3885	S	5596	1470	7066	0.00620
Pisum sativum	3888	S	12669	2678	15347	0.01346
Vicia villosa	3911	S	11263	2088	13351	0.01171
Medicago truncatula	3880	S	3915	726	4641	0.00407
Trifolium pratense	57577	S	3555	3947	7502	0.00658
Cicer arietinum	3827	S	6079	3059	9138	0.00802
Lotus japonicus	34305	S	3635	783	4418	0.00388
Arachis stenosperma	217475	S	5903	2856	8759	0.00768
Arachis hypogaea	3818	S	5226	11874	17100	0.01500
Arachis duranensis	130453	S	2060	2726	4786	0.00420
Arachis ipaensis	130454	S	558	5248	5806	0.00509
Lupinus angustifolius	3871	S	6200	2380	8580	0.00753
Malus sylvestris	3752	S	5395	5425	10820	0.00949
Malus domestica	3750	S	2205	1467	3672	0.00322
Pyrus communis	23211	S	3202	914	4116	0.00361
Prunus dulcis	3755	S	1510	1105	2615	0.00229
Prunus mume	102107	S	1441	806	2247	0.00197
Prunus persica	3760	S	1205	902	2107	0.00185
Rosa chinensis	74649	S	2148	542	2690	0.00236
Rosa rugosa	74645	S	1863	679	2542	0.00223
Argentina anserina	57926	S	1543	957	2500	0.00219
Fragaria vesca	57918	S	1446	906	2352	0.00206
Humulus lupulus	3486	S	12088	6254	18342	0.01609
Cannabis sativa	3483	S	5604	1079	6683	0.00586
Ziziphus jujuba	326968	S	5374	4179	9553	0.00838
Hevea brasiliensis	3981	S	10750	2546	13296	0.01166
Manihot esculenta	3983	S	6481	3480	9961	0.00874
Ricinus communis	3988	S	3873	1829	5702	0.00500
Mercurialis annua	3986	S	3669	4051	7720	0.00677
Euphorbia lathyris	212925	S	6041	1220	7261	0.00637
Populus trichocarpa	3694	S	3979	1847	5826	0.00511
Populus nigra	3691	S	3962	14352	18314	0.01607
Juglans microcarpa x Juglans regia	2249226	S	3884	2052	5936	0.00521
Juglans regia	51240	S	3820	3304	7124	0.00625
Carya illinoinensis	32201	S	5238	3029	8267	0.00725
Quercus lobata	97700	S	5519	3659	9178	0.00805
Quercus robur	38942	S	5283	7021	12304	0.01079
Alnus glutinosa	3517	S	4397	5978	10375	0.00910
Corylus avellana	13451	S	3516	773	4289	0.00376
Benincasa hispida	102211	S	7637	700	8337	0.00731
Cucumis melo	3656	S	3770	25646	29416	0.02581
Cucumis sativus	3659	S	2807	653	3460	0.00304
Cucurbita pepo	3663	S	2563	959	3522	0.00309
Tripterygium wilfordii	458696	S	2206	1868	4074	0.00357
Gossypium hirsutum	3635	S	7626	5416	13042	0.01144
Gossypium arboreum	29729	S	4271	3016	7287	0.00639
Gossypium raimondii	29730	S	3341	2094	5435	0.00477
Theobroma cacao	3641	S	2927	253	3180	0.00279
Brassica napus	3708	S	3030	12062	15092	0.01324
Brassica oleracea	3712	S	1466	1668	3134	0.00275
Brassica rapa	3711	S	989	2049	3038	0.00267
Raphanus sativus	3726	S	3359	10502	13861	0.01216
Camelina sativa	90675	S	6223	511	6734	0.00591
Arabidopsis thaliana	3702	S	1097	256	1353	0.00119
Eucalyptus grandis	71139	S	4579	3142	7721	0.00677
Rhodamnia argentea	178133	S	2633	624	3257	0.00286
Punica granatum	22663	S	2866	861	3727	0.00327
Mangifera indica	29780	S	3882	1449	5331	0.00468
Citrus sinensis	2711	S	2995	1160	4155	0.00365
Vitis riparia	96939	S	3411	2919	6330	0.00555
Vitis vinifera	29760	S	2953	3003	5956	0.00523
Solanum lycopersicum	4081	S	12444	25641	38085	0.03341
Solanum pennellii	28526	S	11197	3408	14605	0.01281
Solanum dulcamara	45834	S	5390	3489	8879	0.00779
Solanum stenotomum	172797	S	5027	759	5786	0.00508
Capsicum annuum	4072	S	17822	1101	18923	0.01660
Lycium barbarum	112863	S	6002	1487	7489	0.00657
Lycium ferocissimum	112874	S	5880	1973	7853	0.00689
Nicotiana sylvestris	4096	S	6965	1364	8329	0.00731
Nicotiana attenuata	49451	S	6959	2278	9237	0.00810
Nicotiana tomentosiformis	4098	S	6016	1098	7114	0.00624
Ipomoea triloba	35885	S	3597	1573	5170	0.00454
Salvia miltiorrhiza	226208	S	4027	574	4601	0.00404
Salvia hispanica	49212	S	2278	698	2976	0.00261
Salvia splendens	180675	S	4765	925	5690	0.00499
Olea europaea	4146	S	7672	602	8274	0.00726
Sesamum indicum	4182	S	2909	497	3406	0.00299
Coffea arabica	13443	S	2924	1308	4232	0.00371
Coffea eugenioides	49369	S	1321	1422	2743	0.00241
Rutidosis leptorrhynchoides	125765	S	16488	6911	23399	0.02053
Helianthus annuus	4232	S	12577	1223	13800	0.01211
Erigeron canadensis	72917	S	3241	514	3755	0.00329
Lactuca sativa	4236	S	10166	2517	12683	0.01113
Cynara cardunculus	4265	S	5017	593	5610	0.00492
Daucus carota	4039	S	3109	666	3775	0.00331
Impatiens glandulifera	253017	S	7402	2043	9445	0.00829
Actinidia eriantha	165200	S	6434	675	7109	0.00624
Diospyros lotus	55363	S	5742	647	6389	0.00561
Rhododendron vialii	182163	S	3683	635	4318	0.00379
Beta vulgaris	161934	S	4563	1748	6311	0.00554
Spinacia oleracea	3562	S	3793	17982	21775	0.01910
Amaranthus tricolor	29722	S	3877	16387	20264	0.01778
Malania oleifera	397392	S	10411	1939	12350	0.01083
Triticum aestivum	4565	S	9740	10565	20305	0.01781
Triticum dicoccoides	85692	S	5947	5886	11833	0.01038
Triticum urartu	4572	S	5364	3294	8658	0.00760
Aegilops tauschii	37682	S	3593	4019	7612	0.00668
Hordeum vulgare	4513	S	14998	7011	22009	0.01931
Lolium rigidum	89674	S	5016	1367	6383	0.00560
Lolium perenne	4522	S	3079	1814	4893	0.00429
Brachypodium distachyon	15368	S	2300	332	2632	0.00231
Oryza brachyantha	4533	S	3020	573	3593	0.00315
Oryza sativa	4530	S	2437	5504	7941	0.00697
Oryza glaberrima	4538	S	1834	1763	3597	0.00316
Miscanthus floridulus	154761	S	7705	1091	8796	0.00772
Zea mays	4577	S	4926	1914	6840	0.00600
Sorghum bicolor	4558	S	2790	1276	4066	0.00357
Panicum virgatum	38727	S	5617	1063	6680	0.00586
Panicum hallii	206008	S	2388	496	2884	0.00253
Setaria italica	4555	S	853	1366	2219	0.00195
Setaria viridis	4556	S	775	1222	1997	0.00175
Phragmites australis	29695	S	4147	1046	5193	0.00456
Ananas comosus	4615	S	4309	1284	5593	0.00491
Zingiber officinale	94328	S	10799	406	11205	0.00983
Musa acuminata	4641	S	5823	13727	19550	0.01715
Elaeis guineensis	51953	S	11638	1661	13299	0.01167
Phoenix dactylifera	42345	S	3746	950	4696	0.00412
Asparagus officinalis	4686	S	4889	528	5417	0.00475
Dioscorea cayenensis	29710	S	3980	415	4395	0.00386
