name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna radiata	157791	S	3581	878	4459	0.01841
Vigna unguiculata	3917	S	672	347	1019	0.00421
Vigna angularis	3914	S	469	150	619	0.00256
Glycine soja	3848	S	398	1055	1453	0.00600
Glycine max	3847	S	335	1061	1396	0.00576
Cajanus cajan	3821	S	1085	200	1285	0.00530
Phaseolus vulgaris	3885	S	976	194	1170	0.00483
Pisum sativum	3888	S	2018	324	2342	0.00967
Vicia villosa	3911	S	1712	243	1955	0.00807
Trifolium pratense	57577	S	606	559	1165	0.00481
Medicago truncatula	3880	S	386	57	443	0.00183
Cicer arietinum	3827	S	812	309	1121	0.00463
Lotus japonicus	34305	S	868	152	1020	0.00421
Arachis hypogaea	3818	S	914	1735	2649	0.01094
Arachis stenosperma	217475	S	748	293	1041	0.00430
Arachis duranensis	130453	S	335	360	695	0.00287
Arachis ipaensis	130454	S	107	855	962	0.00397
Lupinus angustifolius	3871	S	1238	345	1583	0.00653
Malus sylvestris	3752	S	374	655	1029	0.00425
Malus domestica	3750	S	234	335	569	0.00235
Pyrus communis	23211	S	701	287	988	0.00408
Prunus mume	102107	S	344	182	526	0.00217
Prunus persica	3760	S	221	175	396	0.00163
Prunus dulcis	3755	S	176	137	313	0.00129
Rosa chinensis	74649	S	527	102	629	0.00260
Rosa rugosa	74645	S	441	127	568	0.00234
Argentina anserina	57926	S	455	258	713	0.00294
Fragaria vesca	57918	S	368	161	529	0.00218
Humulus lupulus	3486	S	2128	937	3065	0.01265
Cannabis sativa	3483	S	782	109	891	0.00368
Ziziphus jujuba	326968	S	1137	715	1852	0.00765
Juglans microcarpa x Juglans regia	2249226	S	1052	417	1469	0.00606
Juglans regia	51240	S	959	627	1586	0.00655
Carya illinoinensis	32201	S	1174	520	1694	0.00699
Quercus lobata	97700	S	1129	713	1842	0.00760
Quercus robur	38942	S	939	1142	2081	0.00859
Alnus glutinosa	3517	S	954	997	1951	0.00805
Corylus avellana	13451	S	830	149	979	0.00404
Hevea brasiliensis	3981	S	1960	411	2371	0.00979
Manihot esculenta	3983	S	964	469	1433	0.00592
Euphorbia lathyris	212925	S	1236	191	1427	0.00589
Ricinus communis	3988	S	685	238	923	0.00381
Mercurialis annua	3986	S	481	432	913	0.00377
Populus nigra	3691	S	725	2200	2925	0.01207
Populus trichocarpa	3694	S	614	258	872	0.00360
Benincasa hispida	102211	S	1527	95	1622	0.00670
Cucumis melo	3656	S	729	3655	4384	0.01810
Cucumis sativus	3659	S	479	84	563	0.00232
Cucurbita pepo	3663	S	521	143	664	0.00274
Tripterygium wilfordii	458696	S	319	209	528	0.00218
Eucalyptus grandis	71139	S	1637	945	2582	0.01066
Rhodamnia argentea	178133	S	758	213	971	0.00401
Punica granatum	22663	S	1091	321	1412	0.00583
Gossypium hirsutum	3635	S	1008	724	1732	0.00715
Gossypium arboreum	29729	S	447	319	766	0.00316
Gossypium raimondii	29730	S	371	233	604	0.00249
Theobroma cacao	3641	S	581	46	627	0.00259
Brassica napus	3708	S	541	2020	2561	0.01057
Brassica rapa	3711	S	208	414	622	0.00257
Brassica oleracea	3712	S	207	225	432	0.00178
Raphanus sativus	3726	S	508	1209	1717	0.00709
Camelina sativa	90675	S	795	72	867	0.00358
Arabidopsis thaliana	3702	S	99	26	125	0.00052
Mangifera indica	29780	S	611	213	824	0.00340
Citrus sinensis	2711	S	466	190	656	0.00271
Vitis riparia	96939	S	658	646	1304	0.00538
Vitis vinifera	29760	S	483	546	1029	0.00425
Solanum lycopersicum	4081	S	9701	14173	23874	0.09855
Solanum pennellii	28526	S	8353	1536	9889	0.04082
Solanum stenotomum	172797	S	795	67	862	0.00356
Solanum dulcamara	45834	S	791	370	1161	0.00479
Capsicum annuum	4072	S	2395	95	2490	0.01028
Lycium ferocissimum	112874	S	977	209	1186	0.00490
Lycium barbarum	112863	S	888	133	1021	0.00421
Nicotiana sylvestris	4096	S	1284	208	1492	0.00616
Nicotiana attenuata	49451	S	1090	302	1392	0.00575
Nicotiana tomentosiformis	4098	S	757	110	867	0.00358
Ipomoea triloba	35885	S	946	295	1241	0.00512
Salvia miltiorrhiza	226208	S	965	115	1080	0.00446
Salvia hispanica	49212	S	614	314	928	0.00383
Salvia splendens	180675	S	1085	251	1336	0.00552
Olea europaea	4146	S	1448	83	1531	0.00632
Sesamum indicum	4182	S	628	89	717	0.00296
Coffea arabica	13443	S	723	287	1010	0.00417
Coffea eugenioides	49369	S	181	168	349	0.00144
Rutidosis leptorrhynchoides	125765	S	1976	608	2584	0.01067
Helianthus annuus	4232	S	1827	126	1953	0.00806
Erigeron canadensis	72917	S	609	74	683	0.00282
Lactuca sativa	4236	S	1621	318	1939	0.00800
Cynara cardunculus	4265	S	681	62	743	0.00307
Daucus carota	4039	S	574	94	668	0.00276
Actinidia eriantha	165200	S	1824	172	1996	0.00824
Diospyros lotus	55363	S	1594	147	1741	0.00719
Rhododendron vialii	182163	S	1215	190	1405	0.00580
Impatiens glandulifera	253017	S	1152	245	1397	0.00577
Beta vulgaris	161934	S	917	272	1189	0.00491
Spinacia oleracea	3562	S	559	1982	2541	0.01049
Amaranthus tricolor	29722	S	718	2312	3030	0.01251
Malania oleifera	397392	S	2178	326	2504	0.01034
Triticum aestivum	4565	S	2176	2866	5042	0.02081
Triticum dicoccoides	85692	S	1250	1482	2732	0.01128
Triticum urartu	4572	S	1054	778	1832	0.00756
Aegilops tauschii	37682	S	787	1136	1923	0.00794
Hordeum vulgare	4513	S	2779	1379	4158	0.01716
Lolium rigidum	89674	S	1448	515	1963	0.00810
Lolium perenne	4522	S	813	613	1426	0.00589
Brachypodium distachyon	15368	S	1147	178	1325	0.00547
Oryza sativa	4530	S	1927	3972	5899	0.02435
Oryza brachyantha	4533	S	1225	231	1456	0.00601
Oryza glaberrima	4538	S	992	780	1772	0.00731
Miscanthus floridulus	154761	S	2074	567	2641	0.01090
Zea mays	4577	S	1598	733	2331	0.00962
Sorghum bicolor	4558	S	666	447	1113	0.00459
Panicum virgatum	38727	S	1359	363	1722	0.00711
Panicum hallii	206008	S	670	211	881	0.00364
Setaria viridis	4556	S	179	497	676	0.00279
Setaria italica	4555	S	176	498	674	0.00278
Phragmites australis	29695	S	1652	522	2174	0.00897
Ananas comosus	4615	S	1697	513	2210	0.00912
Musa acuminata	4641	S	2664	5897	8561	0.03534
Zingiber officinale	94328	S	2567	94	2661	0.01098
Elaeis guineensis	51953	S	1811	318	2129	0.00879
Phoenix dactylifera	42345	S	1604	583	2187	0.00903
Asparagus officinalis	4686	S	1085	104	1189	0.00491
Dioscorea cayenensis	29710	S	827	81	908	0.00375
Telopea speciosissima	54955	S	1520	196	1716	0.00708
Macadamia integrifolia	60698	S	953	160	1113	0.00459
Magnolia sinica	86752	S	1999	76	2075	0.00857
Papaver somniferum	3469	S	1257	37	1294	0.00534
Nymphaea colorata	210225	S	684	88	772	0.00319
Cryptomeria japonica	3369	S	4597	484	5081	0.02097
Physcomitrium patens	3218	S	356	1	357	0.00147
Coleochaete scutata	3125	S	63	2	65	0.00027
Chlamydomonas reinhardtii	3055	S	1691	109	1800	0.00743
Polytomella capuana	351368	S	34	0	34	0.00014
Volvox carteri	3067	S	168	11	179	0.00074
Neocystis brevis	1065496	S	39	21	60	0.00025
Auxenochlorella protothecoides	3075	S	12	14	26	0.00011
Xylochloris irregularis	480381	S	18	23	41	0.00017
Micromonas commoda	296587	S	636	47	683	0.00282
Micromonas pusilla	38833	S	514	21	535	0.00221
Ostreococcus tauri	70448	S	179	9	188	0.00078
Ostreococcus sp. 'lucimarinus'	242159	S	93	4	97	0.00040
Bathycoccus prasinos	41875	S	75	2	77	0.00032
Tupiella akineta	160070	S	13	4	17	0.00007
Chloroparvula pacifica	1883388	S	16	7	23	0.00009
Picocystis salinarum	88271	S	12	25	37	0.00015
Cyanidioschyzon merolae	45157	S	15	0	15	0.00006
