name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna radiata	157791	S	3930	875	4805	0.02054
Vigna unguiculata	3917	S	602	301	903	0.00386
Vigna angularis	3914	S	410	122	532	0.00227
Glycine soja	3848	S	357	814	1171	0.00501
Glycine max	3847	S	314	868	1182	0.00505
Cajanus cajan	3821	S	923	160	1083	0.00463
Phaseolus vulgaris	3885	S	767	143	910	0.00389
Pisum sativum	3888	S	1791	291	2082	0.00890
Vicia villosa	3911	S	1417	205	1622	0.00694
Trifolium pratense	57577	S	491	445	936	0.00400
Medicago truncatula	3880	S	315	44	359	0.00153
Cicer arietinum	3827	S	657	239	896	0.00383
Lotus japonicus	34305	S	756	127	883	0.00378
Arachis hypogaea	3818	S	851	1559	2410	0.01030
Arachis stenosperma	217475	S	659	252	911	0.00390
Arachis duranensis	130453	S	276	286	562	0.00240
Arachis ipaensis	130454	S	84	644	728	0.00311
Lupinus angustifolius	3871	S	1029	288	1317	0.00563
Malus sylvestris	3752	S	340	600	940	0.00402
Malus domestica	3750	S	253	365	618	0.00264
Pyrus communis	23211	S	656	281	937	0.00401
Prunus mume	102107	S	314	175	489	0.00209
Prunus persica	3760	S	236	200	436	0.00186
Prunus dulcis	3755	S	141	118	259	0.00111
Rosa chinensis	74649	S	507	106	613	0.00262
Rosa rugosa	74645	S	423	131	554	0.00237
Argentina anserina	57926	S	470	265	735	0.00314
Fragaria vesca	57918	S	369	156	525	0.00224
Humulus lupulus	3486	S	1865	826	2691	0.01151
Cannabis sativa	3483	S	635	91	726	0.00310
Ziziphus jujuba	326968	S	985	619	1604	0.00686
Juglans microcarpa x Juglans regia	2249226	S	986	390	1376	0.00588
Juglans regia	51240	S	895	581	1476	0.00631
Carya illinoinensis	32201	S	1015	459	1474	0.00630
Quercus lobata	97700	S	1061	599	1660	0.00710
Quercus robur	38942	S	857	983	1840	0.00787
Alnus glutinosa	3517	S	945	989	1934	0.00827
Corylus avellana	13451	S	731	133	864	0.00369
Hevea brasiliensis	3981	S	1786	360	2146	0.00918
Manihot esculenta	3983	S	879	421	1300	0.00556
Euphorbia lathyris	212925	S	1012	154	1166	0.00499
Ricinus communis	3988	S	539	182	721	0.00308
Mercurialis annua	3986	S	342	305	647	0.00277
Populus nigra	3691	S	644	1937	2581	0.01104
Populus trichocarpa	3694	S	567	225	792	0.00339
Benincasa hispida	102211	S	1315	81	1396	0.00597
Cucumis melo	3656	S	531	2633	3164	0.01353
Cucumis sativus	3659	S	461	88	549	0.00235
Cucurbita pepo	3663	S	423	114	537	0.00230
Tripterygium wilfordii	458696	S	270	176	446	0.00191
Eucalyptus grandis	71139	S	1634	894	2528	0.01081
Rhodamnia argentea	178133	S	745	202	947	0.00405
Punica granatum	22663	S	1032	301	1333	0.00570
Brassica napus	3708	S	496	1790	2286	0.00977
Brassica rapa	3711	S	244	452	696	0.00298
Brassica oleracea	3712	S	193	189	382	0.00163
Raphanus sativus	3726	S	546	1220	1766	0.00755
Camelina sativa	90675	S	822	67	889	0.00380
Arabidopsis thaliana	3702	S	139	32	171	0.00073
Gossypium hirsutum	3635	S	812	622	1434	0.00613
Gossypium arboreum	29729	S	349	264	613	0.00262
Gossypium raimondii	29730	S	311	205	516	0.00221
Theobroma cacao	3641	S	446	35	481	0.00206
Mangifera indica	29780	S	511	186	697	0.00298
Citrus sinensis	2711	S	483	202	685	0.00293
