name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna unguiculata	3917	S	18574	11370	29944	0.01071
Vigna radiata	157791	S	18172	4915	23087	0.00826
Vigna angularis	3914	S	14051	5055	19106	0.00683
Glycine soja	3848	S	5823	17023	22846	0.00817
Glycine max	3847	S	5112	17954	23066	0.00825
Cajanus cajan	3821	S	22743	5285	28028	0.01002
Phaseolus vulgaris	3885	S	16762	3994	20756	0.00742
Pisum sativum	3888	S	34145	6693	40838	0.01460
Vicia villosa	3911	S	30003	5428	35431	0.01267
Medicago truncatula	3880	S	11470	2121	13591	0.00486
Trifolium pratense	57577	S	10269	11126	21395	0.00765
Cicer arietinum	3827	S	17333	8998	26331	0.00942
Lotus japonicus	34305	S	9379	1985	11364	0.00406
Arachis stenosperma	217475	S	15924	7253	23177	0.00829
Arachis hypogaea	3818	S	15426	32545	47971	0.01716
Arachis duranensis	130453	S	6617	8156	14773	0.00528
Arachis ipaensis	130454	S	1683	14636	16319	0.00584
Lupinus angustifolius	3871	S	16151	5589	21740	0.00777
Hevea brasiliensis	3981	S	33098	6485	39583	0.01416
Manihot esculenta	3983	S	19446	9117	28563	0.01021
Mercurialis annua	3986	S	11184	11317	22501	0.00805
Ricinus communis	3988	S	11006	4500	15506	0.00555
Euphorbia lathyris	212925	S	15482	2775	18257	0.00653
Populus nigra	3691	S	13094	42898	55992	0.02002
Populus trichocarpa	3694	S	12594	4860	17454	0.00624
Malus domestica	3750	S	4152	4201	8353	0.00299
Malus sylvestris	3752	S	3852	5188	9040	0.00323
Pyrus communis	23211	S	7727	2387	10114	0.00362
Prunus mume	102107	S	3653	1824	5477	0.00196
Prunus persica	3760	S	2861	1992	4853	0.00174
Prunus dulcis	3755	S	2506	1701	4207	0.00150
Rosa chinensis	74649	S	5634	1233	6867	0.00246
Rosa rugosa	74645	S	4464	1437	5901	0.00211
Argentina anserina	57926	S	3312	1964	5276	0.00189
Fragaria vesca	57918	S	3202	1529	4731	0.00169
Humulus lupulus	3486	S	33771	16614	50385	0.01802
Cannabis sativa	3483	S	17776	3145	20921	0.00748
Ziziphus jujuba	326968	S	14640	10576	25216	0.00902
Juglans regia	51240	S	11264	8256	19520	0.00698
Juglans microcarpa x Juglans regia	2249226	S	10609	4657	15266	0.00546
Carya illinoinensis	32201	S	14109	7393	21502	0.00769
Quercus lobata	97700	S	14418	9647	24065	0.00861
Quercus robur	38942	S	13642	17859	31501	0.01127
Alnus glutinosa	3517	S	12031	14137	26168	0.00936
Corylus avellana	13451	S	10420	2034	12454	0.00445
Benincasa hispida	102211	S	21512	1607	23119	0.00827
Cucumis melo	3656	S	10314	59461	69775	0.02495
Cucumis sativus	3659	S	7491	1528	9019	0.00323
Cucurbita pepo	3663	S	7394	2364	9758	0.00349
Tripterygium wilfordii	458696	S	4863	3635	8498	0.00304
Gossypium hirsutum	3635	S	24194	15487	39681	0.01419
Gossypium arboreum	29729	S	12371	8013	20384	0.00729
Gossypium raimondii	29730	S	10560	6288	16848	0.00603
Theobroma cacao	3641	S	7825	756	8581	0.00307
Brassica napus	3708	S	7606	31707	39313	0.01406
Brassica oleracea	3712	S	3594	4120	7714	0.00276
Brassica rapa	3711	S	2761	5838	8599	0.00308
Raphanus sativus	3726	S	8845	31457	40302	0.01441
Camelina sativa	90675	S	12444	1088	13532	0.00484
Arabidopsis thaliana	3702	S	2594	660	3254	0.00116
Eucalyptus grandis	71139	S	10882	8506	19388	0.00693
Rhodamnia argentea	178133	S	6112	1576	7688	0.00275
Punica granatum	22663	S	7036	2397	9433	0.00337
Mangifera indica	29780	S	10762	4327	15089	0.00540
Citrus sinensis	2711	S	7852	3554	11406	0.00408
Vitis riparia	96939	S	9358	8644	18002	0.00644
Vitis vinifera	29760	S	8831	9717	18548	0.00663
Solanum lycopersicum	4081	S	21644	49177	70821	0.02533
Solanum pennellii	28526	S	20434	6594	27028	0.00967
Solanum dulcamara	45834	S	12871	8893	21764	0.00778
Solanum stenotomum	172797	S	12298	2147	14445	0.00517
Capsicum annuum	4072	S	42556	2964	45520	0.01628
Lycium barbarum	112863	S	13820	3588	17408	0.00623
Lycium ferocissimum	112874	S	12992	4567	17559	0.00628
Nicotiana sylvestris	4096	S	16911	3608	20519	0.00734
Nicotiana attenuata	49451	S	15475	5538	21013	0.00751
Nicotiana tomentosiformis	4098	S	14173	2812	16985	0.00607
Ipomoea triloba	35885	S	8935	4227	13162	0.00471
Salvia miltiorrhiza	226208	S	10787	1693	12480	0.00446
Salvia hispanica	49212	S	5861	1508	7369	0.00264
Salvia splendens	180675	S	10972	1979	12951	0.00463
Olea europaea	4146	S	18360	1618	19978	0.00714
Sesamum indicum	4182	S	7411	1447	8858	0.00317
Coffea arabica	13443	S	7459	3196	10655	0.00381
Coffea eugenioides	49369	S	3210	3388	6598	0.00236
Rutidosis leptorrhynchoides	125765	S	34140	15215	49355	0.01765
Helianthus annuus	4232	S	25581	2752	28333	0.01013
Erigeron canadensis	72917	S	7734	1374	9108	0.00326
Lactuca sativa	4236	S	24342	6519	30861	0.01104
Cynara cardunculus	4265	S	11334	1451	12785	0.00457
Daucus carota	4039	S	7148	1697	8845	0.00316
Impatiens glandulifera	253017	S	21842	6304	28146	0.01007
Actinidia eriantha	165200	S	16107	1919	18026	0.00645
Diospyros lotus	55363	S	14861	1790	16651	0.00595
Rhododendron vialii	182163	S	7858	1425	9283	0.00332
Beta vulgaris	161934	S	9518	3285	12803	0.00458
Spinacia oleracea	3562	S	8573	46496	55069	0.01969
Amaranthus tricolor	29722	S	9643	37404	47047	0.01682
Malania oleifera	397392	S	27663	5542	33205	0.01187
Triticum aestivum	4565	S	20227	22185	42412	0.01517
Triticum dicoccoides	85692	S	12400	12305	24705	0.00884
Triticum urartu	4572	S	10317	6392	16709	0.00598
Aegilops tauschii	37682	S	6115	7160	13275	0.00475
Hordeum vulgare	4513	S	25091	11307	36398	0.01302
Lolium rigidum	89674	S	10226	2391	12617	0.00451
Lolium perenne	4522	S	7585	3887	11472	0.00410
Brachypodium distachyon	15368	S	3908	555	4463	0.00160
Oryza brachyantha	4533	S	5949	1101	7050	0.00252
Oryza sativa	4530	S	4764	10227	14991	0.00536
Oryza glaberrima	4538	S	3491	3113	6604	0.00236
Miscanthus floridulus	154761	S	15230	2119	17349	0.00620
Zea mays	4577	S	10315	3964	14279	0.00511
Sorghum bicolor	4558	S	6448	2921	9369	0.00335
Panicum virgatum	38727	S	12582	2146	14728	0.00527
Panicum hallii	206008	S	5223	952	6175	0.00221
Setaria italica	4555	S	2125	2737	4862	0.00174
Setaria viridis	4556	S	1640	2069	3709	0.00133
Phragmites australis	29695	S	8446	1931	10377	0.00371
Ananas comosus	4615	S	8707	2660	11367	0.00407
Zingiber officinale	94328	S	24521	898	25419	0.00909
Musa acuminata	4641	S	11019	24419	35438	0.01267
Elaeis guineensis	51953	S	18028	2274	20302	0.00726
Phoenix dactylifera	42345	S	7748	1690	9438	0.00338
Asparagus officinalis	4686	S	10524	1065	11589	0.00414
Dioscorea cayenensis	29710	S	9771	1012	10783	0.00386
Telopea speciosissima	54955	S	11702	1356	13058	0.00467
Macadamia integrifolia	60698	S	11654	1821	13475	0.00482
Papaver somniferum	3469	S	17818	530	18348	0.00656
Magnolia sinica	86752	S	16183	633	16816	0.00601
Nymphaea colorata	210225	S	6749	615	7364	0.00263
Cryptomeria japonica	3369	S	53552	5792	59344	0.02122
Physcomitrium patens	3218	S	7459	61	7520	0.00269
Roya obtusa	104537	S	139	59	198	0.00007
Cylindrocystis brebissonii	102167	S	32	4	36	0.00001
Netrium digitus	43946	S	83	10	93	0.00003
Zygnema circumcarinatum	35869	S	53	7	60	0.00002
Spirogyra maxima	3180	S	24	4	28	0.00001
Closterium baillyanum	1416941	S	71	11	82	0.00003
Cosmarium botrytis	33101	S	26	14	40	0.00001
Coleochaete scutata	3125	S	133	8	141	0.00005
Chaetosphaeridium globosum	96477	S	66	10	76	0.00003
Chara vulgaris	55564	S	54	28	82	0.00003
