name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna radiata	157791	S	14794	3906	18700	0.01032
Vigna unguiculata	3917	S	12813	7556	20369	0.01124
Vigna angularis	3914	S	10124	3483	13607	0.00751
Glycine soja	3848	S	3367	11368	14735	0.00813
Glycine max	3847	S	3097	12334	15431	0.00851
Cajanus cajan	3821	S	16068	3585	19653	0.01084
Phaseolus vulgaris	3885	S	11909	2744	14653	0.00809
Pisum sativum	3888	S	23754	4394	28148	0.01553
Vicia villosa	3911	S	22034	3707	25741	0.01420
Medicago truncatula	3880	S	7311	1309	8620	0.00476
Trifolium pratense	57577	S	6820	7114	13934	0.00769
Cicer arietinum	3827	S	12626	6175	18801	0.01037
Lotus japonicus	34305	S	6576	1317	7893	0.00436
Arachis hypogaea	3818	S	10096	22519	32615	0.01800
Arachis stenosperma	217475	S	9775	4591	14366	0.00793
Arachis duranensis	130453	S	4111	5268	9379	0.00518
Arachis ipaensis	130454	S	1001	9293	10294	0.00568
Lupinus angustifolius	3871	S	11454	3782	15236	0.00841
Hevea brasiliensis	3981	S	22434	4247	26681	0.01472
Manihot esculenta	3983	S	13324	5953	19277	0.01064
Ricinus communis	3988	S	8116	3192	11308	0.00624
Mercurialis annua	3986	S	7950	7688	15638	0.00863
Euphorbia lathyris	212925	S	10879	1852	12731	0.00702
Populus nigra	3691	S	7885	24937	32822	0.01811
Populus trichocarpa	3694	S	7084	2944	10028	0.00553
Humulus lupulus	3486	S	22516	10599	33115	0.01827
Cannabis sativa	3483	S	11494	1921	13415	0.00740
Malus sylvestris	3752	S	2167	3540	5707	0.00315
Malus domestica	3750	S	1901	2483	4384	0.00242
Pyrus communis	23211	S	4543	1534	6077	0.00335
Prunus mume	102107	S	2350	1189	3539	0.00195
Prunus dulcis	3755	S	1660	1219	2879	0.00159
Prunus persica	3760	S	1627	1216	2843	0.00157
Rosa chinensis	74649	S	3298	797	4095	0.00226
Rosa rugosa	74645	S	2436	863	3299	0.00182
Argentina anserina	57926	S	2123	1212	3335	0.00184
Fragaria vesca	57918	S	2005	938	2943	0.00162
Ziziphus jujuba	326968	S	9601	6609	16210	0.00894
Juglans regia	51240	S	6739	4923	11662	0.00644
Juglans microcarpa x Juglans regia	2249226	S	6717	3007	9724	0.00537
Carya illinoinensis	32201	S	9637	4929	14566	0.00804
Quercus lobata	97700	S	8362	5931	14293	0.00789
