name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna radiata	157791	S	12939	3203	16142	0.01161
Vigna unguiculata	3917	S	9589	5463	15052	0.01082
Vigna angularis	3914	S	6768	2219	8987	0.00646
Glycine soja	3848	S	2638	8494	11132	0.00800
Glycine max	3847	S	2195	8354	10549	0.00759
Cajanus cajan	3821	S	10957	2328	13285	0.00955
Phaseolus vulgaris	3885	S	8664	1910	10574	0.00760
Pisum sativum	3888	S	18323	3284	21607	0.01554
Vicia villosa	3911	S	15889	2581	18470	0.01328
Medicago truncatula	3880	S	5657	956	6613	0.00476
Trifolium pratense	57577	S	4925	4983	9908	0.00712
Cicer arietinum	3827	S	8324	3903	12227	0.00879
Lotus japonicus	34305	S	4488	864	5352	0.00385
Arachis stenosperma	217475	S	7755	3478	11233	0.00808
Arachis hypogaea	3818	S	7466	15924	23390	0.01682
Arachis duranensis	130453	S	3028	3699	6727	0.00484
Arachis ipaensis	130454	S	746	6631	7377	0.00530
Lupinus angustifolius	3871	S	7959	2552	10511	0.00756
Humulus lupulus	3486	S	17300	8054	25354	0.01823
Cannabis sativa	3483	S	8539	1380	9919	0.00713
Malus domestica	3750	S	1971	2110	4081	0.00293
Malus sylvestris	3752	S	1862	2582	4444	0.00320
Pyrus communis	23211	S	3598	1103	4701	0.00338
Prunus mume	102107	S	1575	782	2357	0.00169
Prunus persica	3760	S	1312	1009	2321	0.00167
Prunus dulcis	3755	S	1029	776	1805	0.00130
Rosa chinensis	74649	S	2614	528	3142	0.00226
Rosa rugosa	74645	S	2207	655	2862	0.00206
Argentina anserina	57926	S	1866	1037	2903	0.00209
Fragaria vesca	57918	S	1519	665	2184	0.00157
Ziziphus jujuba	326968	S	7222	4876	12098	0.00870
Hevea brasiliensis	3981	S	15569	2806	18375	0.01321
Manihot esculenta	3983	S	9302	4082	13384	0.00962
Mercurialis annua	3986	S	5651	5365	11016	0.00792
Ricinus communis	3988	S	5487	2055	7542	0.00542
Euphorbia lathyris	212925	S	7850	1302	9152	0.00658
Populus nigra	3691	S	6111	19061	25172	0.01810
Populus trichocarpa	3694	S	5493	2139	7632	0.00549
Juglans microcarpa x Juglans regia	2249226	S	5185	2237	7422	0.00534
Juglans regia	51240	S	4925	3472	8397	0.00604
Carya illinoinensis	32201	S	7083	3486	10569	0.00760
Quercus lobata	97700	S	6339	4183	10522	0.00757
Quercus robur	38942	S	5716	7235	12951	0.00931
Alnus glutinosa	3517	S	5825	6317	12142	0.00873
Corylus avellana	13451	S	4330	785	5115	0.00368
Benincasa hispida	102211	S	11385	790	12175	0.00875
Cucumis melo	3656	S	5136	27575	32711	0.02352
Cucumis sativus	3659	S	4255	833	5088	0.00366
Cucurbita pepo	3663	S	3323	986	4309	0.00310
Tripterygium wilfordii	458696	S	2178	1523	3701	0.00266
Gossypium hirsutum	3635	S	11783	8120	19903	0.01431
Gossypium arboreum	29729	S	6358	4388	10746	0.00773
Gossypium raimondii	29730	S	5272	3269	8541	0.00614
Theobroma cacao	3641	S	3835	341	4176	0.00300
Brassica napus	3708	S	3953	15715	19668	0.01414
Brassica oleracea	3712	S	1783	2017	3800	0.00273
Brassica rapa	3711	S	1397	2886	4283	0.00308
Raphanus sativus	3726	S	4412	14032	18444	0.01326
Camelina sativa	90675	S	6837	549	7386	0.00531
Arabidopsis thaliana	3702	S	1208	285	1493	0.00107
Eucalyptus grandis	71139	S	5490	3881	9371	0.00674
Rhodamnia argentea	178133	S	2697	669	3366	0.00242
Punica granatum	22663	S	3370	1090	4460	0.00321
Mangifera indica	29780	S	5883	2197	8080	0.00581
Citrus sinensis	2711	S	3601	1541	5142	0.00370
Vitis riparia	96939	S	4473	4179	8652	0.00622
Vitis vinifera	29760	S	4177	4580	8757	0.00630
Solanum lycopersicum	4081	S	15337	30747	46084	0.03314
Solanum pennellii	28526	S	14444	4089	18533	0.01333
Solanum dulcamara	45834	S	6745	4198	10943	0.00787
Solanum stenotomum	172797	S	6422	988	7410	0.00533
Capsicum annuum	4072	S	24961	1515	26476	0.01904
Lycium ferocissimum	112874	S	6775	2248	9023	0.00649
Lycium barbarum	112863	S	6452	1589	8041	0.00578
Nicotiana sylvestris	4096	S	9359	1945	11304	0.00813
Nicotiana attenuata	49451	S	8128	2831	10959	0.00788
Nicotiana tomentosiformis	4098	S	7420	1396	8816	0.00634
Ipomoea triloba	35885	S	4918	2083	7001	0.00503
Salvia miltiorrhiza	226208	S	4773	651	5424	0.00390
Salvia hispanica	49212	S	3064	765	3829	0.00275
Salvia splendens	180675	S	6355	1070	7425	0.00534
Olea europaea	4146	S	10398	790	11188	0.00805
Sesamum indicum	4182	S	4220	701	4921	0.00354
Coffea arabica	13443	S	3683	1612	5295	0.00381
Coffea eugenioides	49369	S	1552	1641	3193	0.00230
Rutidosis leptorrhynchoides	125765	S	18573	7413	25986	0.01869
Helianthus annuus	4232	S	12930	1236	14166	0.01019
Erigeron canadensis	72917	S	4540	739	5279	0.00380
Lactuca sativa	4236	S	13429	3335	16764	0.01205
Cynara cardunculus	4265	S	6059	726	6785	0.00488
Daucus carota	4039	S	4042	853	4895	0.00352
Impatiens glandulifera	253017	S	12586	3263	15849	0.01140
Actinidia eriantha	165200	S	8170	847	9017	0.00648
Diospyros lotus	55363	S	7742	808	8550	0.00615
Rhododendron vialii	182163	S	4312	702	5014	0.00361
Beta vulgaris	161934	S	5186	1712	6898	0.00496
Spinacia oleracea	3562	S	4698	22669	27367	0.01968
Amaranthus tricolor	29722	S	5734	21243	26977	0.01940
Malania oleifera	397392	S	14166	2595	16761	0.01205
Triticum aestivum	4565	S	9462	11072	20534	0.01477
Triticum dicoccoides	85692	S	5809	6266	12075	0.00868
Triticum urartu	4572	S	5097	3425	8522	0.00613
Aegilops tauschii	37682	S	3268	3892	7160	0.00515
Hordeum vulgare	4513	S	12529	5500	18029	0.01296
Lolium rigidum	89674	S	5345	1472	6817	0.00490
Lolium perenne	4522	S	3005	1777	4782	0.00344
Brachypodium distachyon	15368	S	1956	264	2220	0.00160
Oryza brachyantha	4533	S	3250	568	3818	0.00275
Oryza sativa	4530	S	3053	6141	9194	0.00661
