name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna radiata	157791	S	12644	3318	15962	0.01065
Vigna unguiculata	3917	S	9387	5593	14980	0.00999
Vigna angularis	3914	S	6491	2291	8782	0.00586
Glycine soja	3848	S	2476	7929	10405	0.00694
Glycine max	3847	S	2215	8424	10639	0.00710
Cajanus cajan	3821	S	11484	2545	14029	0.00936
Phaseolus vulgaris	3885	S	8660	1965	10625	0.00709
Pisum sativum	3888	S	18638	3622	22260	0.01485
Vicia villosa	3911	S	15478	2751	18229	0.01216
Medicago truncatula	3880	S	5512	994	6506	0.00434
Trifolium pratense	57577	S	4784	5091	9875	0.00659
Cicer arietinum	3827	S	8685	4288	12973	0.00865
Lotus japonicus	34305	S	4718	976	5694	0.00380
Arachis stenosperma	217475	S	7436	3431	10867	0.00725
Arachis hypogaea	3818	S	7157	15650	22807	0.01521
Arachis duranensis	130453	S	3156	3954	7110	0.00474
Arachis ipaensis	130454	S	802	7296	8098	0.00540
Lupinus angustifolius	3871	S	8487	2879	11366	0.00758
Malus sylvestris	3752	S	2561	3292	5853	0.00390
Malus domestica	3750	S	2489	2384	4873	0.00325
Pyrus communis	23211	S	3822	1208	5030	0.00335
Prunus mume	102107	S	1960	958	2918	0.00195
Prunus persica	3760	S	1609	1145	2754	0.00184
Prunus dulcis	3755	S	1232	852	2084	0.00139
Rosa chinensis	74649	S	3150	632	3782	0.00252
Rosa rugosa	74645	S	2256	666	2922	0.00195
Fragaria vesca	57918	S	1713	788	2501	0.00167
Argentina anserina	57926	S	1687	990	2677	0.00179
Humulus lupulus	3486	S	17476	8583	26059	0.01738
Cannabis sativa	3483	S	8404	1478	9882	0.00659
Ziziphus jujuba	326968	S	7082	5032	12114	0.00808
Hevea brasiliensis	3981	S	15555	2914	18469	0.01232
Manihot esculenta	3983	S	9251	4300	13551	0.00904
Ricinus communis	3988	S	5598	2198	7796	0.00520
Mercurialis annua	3986	S	5246	5266	10512	0.00701
Euphorbia lathyris	212925	S	7937	1393	9330	0.00622
Populus nigra	3691	S	6223	20487	26710	0.01781
Populus trichocarpa	3694	S	5702	2292	7994	0.00533
Juglans regia	51240	S	5259	3812	9071	0.00605
Juglans microcarpa x Juglans regia	2249226	S	5253	2308	7561	0.00504
Carya illinoinensis	32201	S	7064	3656	10720	0.00715
Quercus lobata	97700	S	6737	4372	11109	0.00741
Quercus robur	38942	S	6521	8413	14934	0.00996
Alnus glutinosa	3517	S	5889	6821	12710	0.00848
Corylus avellana	13451	S	4552	872	5424	0.00362
Benincasa hispida	102211	S	10466	758	11224	0.00749
Cucumis melo	3656	S	5398	30307	35705	0.02381
Cucumis sativus	3659	S	3688	746	4434	0.00296
Cucurbita pepo	3663	S	3582	1116	4698	0.00313
Tripterygium wilfordii	458696	S	2662	1972	4634	0.00309
Gossypium hirsutum	3635	S	11143	7705	18848	0.01257
Gossypium arboreum	29729	S	5814	4028	9842	0.00656
Gossypium raimondii	29730	S	5111	3192	8303	0.00554
