name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna radiata	157791	S	3412	759	4171	0.01586
Vigna unguiculata	3917	S	641	326	967	0.00368
Vigna angularis	3914	S	491	146	637	0.00242
Glycine soja	3848	S	449	1056	1505	0.00572
Glycine max	3847	S	363	1033	1396	0.00531
Cajanus cajan	3821	S	1065	190	1255	0.00477
Phaseolus vulgaris	3885	S	890	171	1061	0.00404
Pisum sativum	3888	S	2084	332	2416	0.00919
Vicia villosa	3911	S	1777	250	2027	0.00771
Trifolium pratense	57577	S	576	532	1108	0.00421
Medicago truncatula	3880	S	334	49	383	0.00146
Cicer arietinum	3827	S	757	289	1046	0.00398
Lotus japonicus	34305	S	798	138	936	0.00356
Arachis hypogaea	3818	S	913	1664	2577	0.00980
Arachis stenosperma	217475	S	766	290	1056	0.00402
Arachis duranensis	130453	S	357	368	725	0.00276
Arachis ipaensis	130454	S	121	926	1047	0.00398
Lupinus angustifolius	3871	S	1191	332	1523	0.00579
Malus sylvestris	3752	S	418	704	1122	0.00427
Malus domestica	3750	S	268	366	634	0.00241
Pyrus communis	23211	S	858	344	1202	0.00457
Prunus mume	102107	S	369	190	559	0.00213
Prunus persica	3760	S	260	206	466	0.00177
Prunus dulcis	3755	S	215	167	382	0.00145
Rosa chinensis	74649	S	636	118	754	0.00287
Rosa rugosa	74645	S	514	142	656	0.00250
Argentina anserina	57926	S	613	351	964	0.00367
Fragaria vesca	57918	S	380	157	537	0.00204
Humulus lupulus	3486	S	2102	935	3037	0.01155
Cannabis sativa	3483	S	779	109	888	0.00338
Ziziphus jujuba	326968	S	1158	724	1882	0.00716
Juglans microcarpa x Juglans regia	2249226	S	1114	439	1553	0.00591
Juglans regia	51240	S	1053	681	1734	0.00660
Carya illinoinensis	32201	S	1330	585	1915	0.00728
Quercus lobata	97700	S	1244	700	1944	0.00739
Quercus robur	38942	S	1043	1204	2247	0.00855
Alnus glutinosa	3517	S	1118	1171	2289	0.00871
Corylus avellana	13451	S	887	160	1047	0.00398
Hevea brasiliensis	3981	S	1986	404	2390	0.00909
Manihot esculenta	3983	S	943	458	1401	0.00533
Ricinus communis	3988	S	679	224	903	0.00343
Mercurialis annua	3986	S	458	411	869	0.00331
Euphorbia lathyris	212925	S	1115	168	1283	0.00488
Populus nigra	3691	S	708	2151	2859	0.01087
Populus trichocarpa	3694	S	632	248	880	0.00335
Benincasa hispida	102211	S	1549	92	1641	0.00624
Cucumis melo	3656	S	760	3718	4478	0.01703
Cucumis sativus	3659	S	473	86	559	0.00213
Cucurbita pepo	3663	S	510	137	647	0.00246
Tripterygium wilfordii	458696	S	432	284	716	0.00272
Eucalyptus grandis	71139	S	1838	1081	2919	0.01110
Rhodamnia argentea	178133	S	874	259	1133	0.00431
Punica granatum	22663	S	1250	373	1623	0.00617
Brassica napus	3708	S	603	2216	2819	0.01072
Brassica rapa	3711	S	251	480	731	0.00278
Brassica oleracea	3712	S	230	235	465	0.00177
Raphanus sativus	3726	S	580	1384	1964	0.00747
Camelina sativa	90675	S	913	77	990	0.00377
Arabidopsis thaliana	3702	S	112	26	138	0.00052
Gossypium hirsutum	3635	S	985	784	1769	0.00673
Gossypium arboreum	29729	S	462	363	825	0.00314
Gossypium raimondii	29730	S	324	222	546	0.00208
Theobroma cacao	3641	S	486	39	525	0.00200
Citrus sinensis	2711	S	572	234	806	0.00307
Mangifera indica	29780	S	552	203	755	0.00287
Vitis riparia	96939	S	655	649	1304	0.00496
Vitis vinifera	29760	S	523	596	1119	0.00426
Solanum lycopersicum	4081	S	9212	14017	23229	0.08835
Solanum pennellii	28526	S	8312	1572	9884	0.03759
Solanum stenotomum	172797	S	822	75	897	0.00341
Solanum dulcamara	45834	S	806	395	1201	0.00457
Capsicum annuum	4072	S	2435	102	2537	0.00965
Lycium barbarum	112863	S	1075	183	1258	0.00478
Lycium ferocissimum	112874	S	1057	251	1308	0.00497
Nicotiana sylvestris	4096	S	1203	182	1385	0.00527
Nicotiana attenuata	49451	S	1137	297	1434	0.00545
Nicotiana tomentosiformis	4098	S	824	116	940	0.00358
Ipomoea triloba	35885	S	1068	350	1418	0.00539
Salvia miltiorrhiza	226208	S	1004	123	1127	0.00429
Salvia hispanica	49212	S	559	316	875	0.00333
Salvia splendens	180675	S	1241	306	1547	0.00588
Olea europaea	4146	S	1438	84	1522	0.00579
Sesamum indicum	4182	S	631	88	719	0.00273
Coffea arabica	13443	S	769	299	1068	0.00406
Coffea eugenioides	49369	S	199	181	380	0.00145
Rutidosis leptorrhynchoides	125765	S	1880	602	2482	0.00944
Helianthus annuus	4232	S	1820	130	1950	0.00742
Erigeron canadensis	72917	S	646	80	726	0.00276
Lactuca sativa	4236	S	1830	378	2208	0.00840
Cynara cardunculus	4265	S	694	67	761	0.00289
Daucus carota	4039	S	649	109	758	0.00288
Actinidia eriantha	165200	S	1984	185	2169	0.00825
Diospyros lotus	55363	S	1685	163	1848	0.00703
Rhododendron vialii	182163	S	1388	225	1613	0.00613
Impatiens glandulifera	253017	S	1130	249	1379	0.00524
Malania oleifera	397392	S	2450	375	2825	0.01074
Beta vulgaris	161934	S	1035	318	1353	0.00515
Spinacia oleracea	3562	S	609	2172	2781	0.01058
