name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna radiata	157791	S	3080	720	3800	0.01857
Vigna unguiculata	3917	S	586	303	889	0.00434
Vigna angularis	3914	S	407	126	533	0.00260
Glycine soja	3848	S	276	753	1029	0.00503
Glycine max	3847	S	257	835	1092	0.00534
Cajanus cajan	3821	S	908	167	1075	0.00525
Phaseolus vulgaris	3885	S	705	138	843	0.00412
Pisum sativum	3888	S	1644	273	1917	0.00937
Vicia villosa	3911	S	1384	204	1588	0.00776
Trifolium pratense	57577	S	453	419	872	0.00426
Medicago truncatula	3880	S	271	39	310	0.00151
Cicer arietinum	3827	S	615	236	851	0.00416
Lotus japonicus	34305	S	739	125	864	0.00422
Arachis hypogaea	3818	S	705	1323	2028	0.00991
Arachis stenosperma	217475	S	616	239	855	0.00418
Arachis duranensis	130453	S	289	307	596	0.00291
Arachis ipaensis	130454	S	70	553	623	0.00304
Lupinus angustifolius	3871	S	1073	302	1375	0.00672
Malus sylvestris	3752	S	306	511	817	0.00399
Malus domestica	3750	S	210	284	494	0.00241
Pyrus communis	23211	S	657	241	898	0.00439
Prunus persica	3760	S	221	181	402	0.00196
Prunus mume	102107	S	191	100	291	0.00142
Prunus dulcis	3755	S	155	125	280	0.00137
Rosa chinensis	74649	S	428	93	521	0.00255
Rosa rugosa	74645	S	377	122	499	0.00244
Argentina anserina	57926	S	409	232	641	0.00313
Fragaria vesca	57918	S	404	169	573	0.00280
Humulus lupulus	3486	S	1624	732	2356	0.01151
Cannabis sativa	3483	S	626	93	719	0.00351
Ziziphus jujuba	326968	S	954	610	1564	0.00764
Juglans microcarpa x Juglans regia	2249226	S	885	344	1229	0.00601
Juglans regia	51240	S	698	450	1148	0.00561
Carya illinoinensis	32201	S	938	415	1353	0.00661
Quercus lobata	97700	S	993	600	1593	0.00778
Quercus robur	38942	S	808	969	1777	0.00868
Alnus glutinosa	3517	S	821	870	1691	0.00826
Corylus avellana	13451	S	684	129	813	0.00397
Hevea brasiliensis	3981	S	1593	308	1901	0.00929
Manihot esculenta	3983	S	797	372	1169	0.00571
Ricinus communis	3988	S	604	200	804	0.00393
Mercurialis annua	3986	S	440	395	835	0.00408
Euphorbia lathyris	212925	S	933	142	1075	0.00525
Populus nigra	3691	S	659	2000	2659	0.01299
Populus trichocarpa	3694	S	463	178	641	0.00313
Benincasa hispida	102211	S	1316	80	1396	0.00682
Cucumis melo	3656	S	584	2896	3480	0.01701
Cucumis sativus	3659	S	394	69	463	0.00226
Cucurbita pepo	3663	S	381	104	485	0.00237
Tripterygium wilfordii	458696	S	278	184	462	0.00226
Eucalyptus grandis	71139	S	1375	800	2175	0.01063
Rhodamnia argentea	178133	S	653	172	825	0.00403
Punica granatum	22663	S	992	292	1284	0.00627
Brassica napus	3708	S	419	1593	2012	0.00983
Brassica rapa	3711	S	181	358	539	0.00263
Brassica oleracea	3712	S	157	167	324	0.00158
Raphanus sativus	3726	S	467	1148	1615	0.00789
Camelina sativa	90675	S	723	61	784	0.00383
Arabidopsis thaliana	3702	S	103	24	127	0.00062
Gossypium hirsutum	3635	S	800	622	1422	0.00695
Gossypium arboreum	29729	S	328	251	579	0.00283
Gossypium raimondii	29730	S	312	208	520	0.00254
Theobroma cacao	3641	S	445	34	479	0.00234
Mangifera indica	29780	S	465	167	632	0.00309
Citrus sinensis	2711	S	392	159	551	0.00269
Vitis riparia	96939	S	545	555	1100	0.00538
Vitis vinifera	29760	S	425	497	922	0.00451
Solanum lycopersicum	4081	S	7124	10898	18022	0.08806
Solanum pennellii	28526	S	6322	1233	7555	0.03692
Solanum dulcamara	45834	S	733	360	1093	0.00534
Solanum stenotomum	172797	S	671	62	733	0.00358
Capsicum annuum	4072	S	1981	83	2064	0.01009
Lycium ferocissimum	112874	S	888	214	1102	0.00538
Lycium barbarum	112863	S	851	147	998	0.00488
Nicotiana sylvestris	4096	S	1043	157	1200	0.00586
Nicotiana attenuata	49451	S	950	248	1198	0.00585
Nicotiana tomentosiformis	4098	S	612	85	697	0.00341
Ipomoea triloba	35885	S	678	222	900	0.00440
Salvia miltiorrhiza	226208	S	775	103	878	0.00429
Salvia hispanica	49212	S	433	225	658	0.00322
Salvia splendens	180675	S	980	221	1201	0.00587
Olea europaea	4146	S	1229	77	1306	0.00638
Sesamum indicum	4182	S	544	92	636	0.00311
Coffea arabica	13443	S	576	194	770	0.00376
Coffea eugenioides	49369	S	152	121	273	0.00133
Rutidosis leptorrhynchoides	125765	S	1543	495	2038	0.00996
Helianthus annuus	4232	S	1500	106	1606	0.00785
Erigeron canadensis	72917	S	442	54	496	0.00242
Lactuca sativa	4236	S	1321	279	1600	0.00782
Cynara cardunculus	4265	S	552	55	607	0.00297
Daucus carota	4039	S	452	73	525	0.00257
Actinidia eriantha	165200	S	1411	152	1563	0.00764
Diospyros lotus	55363	S	1343	140	1483	0.00725
Rhododendron vialii	182163	S	1081	187	1268	0.00620
Impatiens glandulifera	253017	S	898	203	1101	0.00538
Malania oleifera	397392	S	1876	290	2166	0.01058
Beta vulgaris	161934	S	739	227	966	0.00472
Spinacia oleracea	3562	S	454	1662	2116	0.01034
Amaranthus tricolor	29722	S	574	1926	2500	0.01222
Triticum aestivum	4565	S	1994	2524	4518	0.02208
Triticum dicoccoides	85692	S	1266	1433	2699	0.01319
Triticum urartu	4572	S	962	681	1643	0.00803
Aegilops tauschii	37682	S	824	1161	1985	0.00970
Hordeum vulgare	4513	S	2455	1245	3700	0.01808
