name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna radiata	157791	S	11090	2872	13962	0.00877
Vigna unguiculata	3917	S	9670	5546	15216	0.00956
Vigna angularis	3914	S	7422	2551	9973	0.00627
Glycine soja	3848	S	2634	8409	11043	0.00694
Glycine max	3847	S	2397	9051	11448	0.00719
Cajanus cajan	3821	S	12336	2611	14947	0.00939
Phaseolus vulgaris	3885	S	9194	2032	11226	0.00705
Pisum sativum	3888	S	18902	3487	22389	0.01407
Vicia villosa	3911	S	17199	2897	20096	0.01263
Medicago truncatula	3880	S	6314	1069	7383	0.00464
Trifolium pratense	57577	S	5554	5611	11165	0.00702
Cicer arietinum	3827	S	9397	4370	13767	0.00865
Lotus japonicus	34305	S	5419	1039	6458	0.00406
Arachis stenosperma	217475	S	8271	3797	12068	0.00758
Arachis hypogaea	3818	S	7817	17256	25073	0.01576
Arachis duranensis	130453	S	3325	4164	7489	0.00471
Arachis ipaensis	130454	S	764	7056	7820	0.00491
Lupinus angustifolius	3871	S	9178	2943	12121	0.00762
Malus sylvestris	3752	S	2268	3139	5407	0.00340
Malus domestica	3750	S	2103	2245	4348	0.00273
Pyrus communis	23211	S	4106	1338	5444	0.00342
Prunus mume	102107	S	1773	867	2640	0.00166
Prunus persica	3760	S	1438	1083	2521	0.00158
Prunus dulcis	3755	S	1179	868	2047	0.00129
Rosa chinensis	74649	S	3368	707	4075	0.00256
Rosa rugosa	74645	S	2560	792	3352	0.00211
Argentina anserina	57926	S	1998	1135	3133	0.00197
Fragaria vesca	57918	S	1828	811	2639	0.00166
Humulus lupulus	3486	S	18816	8727	27543	0.01731
Cannabis sativa	3483	S	9173	1467	10640	0.00669
Ziziphus jujuba	326968	S	8238	5559	13797	0.00867
Hevea brasiliensis	3981	S	17343	3065	20408	0.01282
Manihot esculenta	3983	S	10100	4413	14513	0.00912
Mercurialis annua	3986	S	6273	5983	12256	0.00770
Ricinus communis	3988	S	5986	2222	8208	0.00516
Euphorbia lathyris	212925	S	8696	1438	10134	0.00637
Populus nigra	3691	S	6329	19944	26273	0.01651
Populus trichocarpa	3694	S	6080	2458	8538	0.00537
Juglans microcarpa x Juglans regia	2249226	S	5748	2481	8229	0.00517
Juglans regia	51240	S	5693	3999	9692	0.00609
Carya illinoinensis	32201	S	7683	3771	11454	0.00720
Quercus lobata	97700	S	7406	4735	12141	0.00763
Quercus robur	38942	S	6984	8722	15706	0.00987
Alnus glutinosa	3517	S	6351	6928	13279	0.00834
Corylus avellana	13451	S	4950	891	5841	0.00367
Benincasa hispida	102211	S	12037	823	12860	0.00808
Cucumis melo	3656	S	6117	32537	38654	0.02429
Cucumis sativus	3659	S	4044	774	4818	0.00303
