name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna radiata	157791	S	16048	4523	20571	0.00884
Vigna unguiculata	3917	S	15325	9818	25143	0.01080
Vigna angularis	3914	S	11841	4334	16175	0.00695
Glycine soja	3848	S	4192	13357	17549	0.00754
Glycine max	3847	S	3913	14941	18854	0.00810
Cajanus cajan	3821	S	18872	4720	23592	0.01014
Phaseolus vulgaris	3885	S	14071	3766	17837	0.00766
Pisum sativum	3888	S	30876	6219	37095	0.01594
Vicia villosa	3911	S	26708	4824	31532	0.01355
Medicago truncatula	3880	S	9711	1832	11543	0.00496
Trifolium pratense	57577	S	8584	9551	18135	0.00779
Cicer arietinum	3827	S	15146	7742	22888	0.00983
Lotus japonicus	34305	S	7545	1633	9178	0.00394
Arachis stenosperma	217475	S	13052	6340	19392	0.00833
Arachis hypogaea	3818	S	12344	28050	40394	0.01735
Arachis duranensis	130453	S	5341	7120	12461	0.00535
Arachis ipaensis	130454	S	1409	13232	14641	0.00629
Lupinus angustifolius	3871	S	13765	5090	18855	0.00810
Malus sylvestris	3752	S	10718	10833	21551	0.00926
Malus domestica	3750	S	4745	3199	7944	0.00341
Pyrus communis	23211	S	6274	1769	8043	0.00346
Prunus dulcis	3755	S	3185	2244	5429	0.00233
Prunus mume	102107	S	2945	1619	4564	0.00196
Prunus persica	3760	S	2212	1587	3799	0.00163
Rosa chinensis	74649	S	4504	1121	5625	0.00242
Rosa rugosa	74645	S	3437	1236	4673	0.00201
Argentina anserina	57926	S	2995	1800	4795	0.00206
Fragaria vesca	57918	S	2579	1572	4151	0.00178
Humulus lupulus	3486	S	28498	14519	43017	0.01848
Cannabis sativa	3483	S	13780	2704	16484	0.00708
Ziziphus jujuba	326968	S	12572	9664	22236	0.00955
Hevea brasiliensis	3981	S	26584	6271	32855	0.01412
Manihot esculenta	3983	S	16169	8465	24634	0.01058
Ricinus communis	3988	S	9757	4665	14422	0.00620
Mercurialis annua	3986	S	9469	10261	19730	0.00848
Euphorbia lathyris	212925	S	13947	2791	16738	0.00719
Populus nigra	3691	S	9874	34674	44548	0.01914
Populus trichocarpa	3694	S	9374	4162	13536	0.00582
Juglans regia	51240	S	9115	7921	17036	0.00732
Juglans microcarpa x Juglans regia	2249226	S	8443	4481	12924	0.00555
Carya illinoinensis	32201	S	11674	6727	18401	0.00791
Quercus lobata	97700	S	11557	8161	19718	0.00847
Quercus robur	38942	S	10424	14185	24609	0.01057
Alnus glutinosa	3517	S	9797	13125	22922	0.00985
Corylus avellana	13451	S	7683	1683	9366	0.00402
Benincasa hispida	102211	S	18501	1690	20191	0.00867
Cucumis melo	3656	S	8732	59028	67760	0.02911
Cucumis sativus	3659	S	6613	1521	8134	0.00349
Cucurbita pepo	3663	S	5930	2187	8117	0.00349
Tripterygium wilfordii	458696	S	5132	4229	9361	0.00402
Gossypium hirsutum	3635	S	19934	13655	33589	0.01443
Gossypium arboreum	29729	S	10751	7385	18136	0.00779
Gossypium raimondii	29730	S	9015	5563	14578	0.00626
Theobroma cacao	3641	S	6629	598	7227	0.00310
Brassica napus	3708	S	6958	27961	34919	0.01500
Brassica oleracea	3712	S	3384	3879	7263	0.00312
Brassica rapa	3711	S	2036	4246	6282	0.00270
Raphanus sativus	3726	S	7959	26266	34225	0.01470
Camelina sativa	90675	S	11486	947	12433	0.00534
Arabidopsis thaliana	3702	S	2344	581	2925	0.00126
Eucalyptus grandis	71139	S	9743	7026	16769	0.00720
Rhodamnia argentea	178133	S	4683	1124	5807	0.00249
Punica granatum	22663	S	5615	1773	7388	0.00317
Mangifera indica	29780	S	9313	3395	12708	0.00546
Citrus sinensis	2711	S	6914	2898	9812	0.00422
Vitis riparia	96939	S	7980	7213	15193	0.00653
Vitis vinifera	29760	S	7309	7765	15074	0.00648
Solanum lycopersicum	4081	S	16691	36252	52943	0.02275
Solanum pennellii	28526	S	15680	5151	20831	0.00895
Solanum dulcamara	45834	S	11653	7755	19408	0.00834
Solanum stenotomum	172797	S	11175	1897	13072	0.00562
Capsicum annuum	4072	S	41114	2722	43836	0.01883
Lycium barbarum	112863	S	12390	3381	15771	0.00678
Lycium ferocissimum	112874	S	11455	4177	15632	0.00672
Nicotiana sylvestris	4096	S	15138	3073	18211	0.00782
Nicotiana attenuata	49451	S	14128	4803	18931	0.00813
Nicotiana tomentosiformis	4098	S	13142	2458	15600	0.00670
Ipomoea triloba	35885	S	7872	3509	11381	0.00489
Salvia miltiorrhiza	226208	S	8212	1222	9434	0.00405
Salvia hispanica	49212	S	5325	1374	6699	0.00288
Salvia splendens	180675	S	9950	1754	11704	0.00503
Olea europaea	4146	S	16058	1336	17394	0.00747
Sesamum indicum	4182	S	6120	1127	7247	0.00311
Coffea arabica	13443	S	6112	2887	8999	0.00387
Coffea eugenioides	49369	S	2588	2970	5558	0.00239
Rutidosis leptorrhynchoides	125765	S	36001	14963	50964	0.02189
Helianthus annuus	4232	S	24858	2436	27294	0.01173
Erigeron canadensis	72917	S	7615	1230	8845	0.00380
Lactuca sativa	4236	S	23468	5812	29280	0.01258
Cynara cardunculus	4265	S	11124	1329	12453	0.00535
Daucus carota	4039	S	7449	1673	9122	0.00392
Impatiens glandulifera	253017	S	18747	5181	23928	0.01028
Actinidia eriantha	165200	S	13625	1502	15127	0.00650
Diospyros lotus	55363	S	11700	1248	12948	0.00556
Rhododendron vialii	182163	S	6536	1070	7606	0.00327
Beta vulgaris	161934	S	8836	3090	11926	0.00512
Spinacia oleracea	3562	S	7797	39092	46889	0.02014
Amaranthus tricolor	29722	S	9119	35463	44582	0.01915
Malania oleifera	397392	S	22761	4292	27053	0.01162
Triticum aestivum	4565	S	14092	15337	29429	0.01264
Triticum dicoccoides	85692	S	8825	8931	17756	0.00763
Triticum urartu	4572	S	7107	4456	11563	0.00497
Aegilops tauschii	37682	S	5665	6088	11753	0.00505
Hordeum vulgare	4513	S	21585	8981	30566	0.01313
Lolium rigidum	89674	S	8070	1991	10061	0.00432
Lolium perenne	4522	S	5282	2818	8100	0.00348
Brachypodium distachyon	15368	S	2672	329	3001	0.00129
Oryza brachyantha	4533	S	4613	755	5368	0.00231
Oryza sativa	4530	S	3162	6480	9642	0.00414
Oryza glaberrima	4538	S	2662	2477	5139	0.00221
Miscanthus floridulus	154761	S	11656	1299	12955	0.00557
Zea mays	4577	S	7526	2569	10095	0.00434
Sorghum bicolor	4558	S	4382	1739	6121	0.00263
Panicum virgatum	38727	S	8129	1295	9424	0.00405
Panicum hallii	206008	S	3404	582	3986	0.00171
Setaria italica	4555	S	1145	1692	2837	0.00122
Setaria viridis	4556	S	1112	1624	2736	0.00118
Phragmites australis	29695	S	7101	1439	8540	0.00367
Ananas comosus	4615	S	7641	2061	9702	0.00417
Zingiber officinale	94328	S	22861	789	23650	0.01016
Musa acuminata	4641	S	10348	22063	32411	0.01392
Elaeis guineensis	51953	S	20483	2509	22992	0.00988
Phoenix dactylifera	42345	S	6970	1494	8464	0.00364
Dioscorea cayenensis	29710	S	10153	1009	11162	0.00480
Asparagus officinalis	4686	S	9618	951	10569	0.00454
Telopea speciosissima	54955	S	10235	1161	11396	0.00490
Macadamia integrifolia	60698	S	8959	1378	10337	0.00444
Papaver somniferum	3469	S	15694	447	16141	0.00693
Magnolia sinica	86752	S	13505	513	14018	0.00602
Nymphaea colorata	210225	S	8938	838	9776	0.00420
Cryptomeria japonica	3369	S	55960	7359	63319	0.02720
Physcomitrium patens	3218	S	7878	55	7933	0.00341
Roya obtusa	104537	S	90	55	145	0.00006
Cylindrocystis brebissonii	102167	S	68	8	76	0.00003
Netrium digitus	43946	S	51	4	55	0.00002
Zygnema circumcarinatum	35869	S	33	2	35	0.00002
Spirogyra maxima	3180	S	19	2	21	0.00001
Cosmarium botrytis	33101	S	39	20	59	0.00003
Staurastrum punctulatum	102822	S	11	4	15	0.00001
Closterium baillyanum	1416941	S	31	5	36	0.00002
Chaetosphaeridium globosum	96477	S	105	11	116	0.00005
Coleochaete scutata	3125	S	75	2	77	0.00003
Chara vulgaris	55564	S	79	40	119	0.00005
Mesostigma viride	41882	S	233	91	324	0.00014
Entransia fimbriata	130991	S	100	6	106	0.00005
Interfilum terricola	163310	S	48	40	88	0.00004
Klebsormidium flaccidum	3175	S	10	0	10	0.00000
Chlorokybus atmophyticus	3144	S	101	22	123	0.00005
Chlamydomonas reinhardtii	3055	S	12265	515	12780	0.00549
Chlamydomonas leiostraca	1034604	S	219	131	350	0.00015
Chlamydomonas moewusii	3054	S	11	0	11	0.00000
Oogamochlamys gigantea	158507	S	108	15	123	0.00005
Carteria cerasiformis	69401	S	63	2	65	0.00003
Volvox carteri	3067	S	1618	64	1682	0.00072
Volvox africanus	51714	S	57	56	113	0.00005
Yamagishiella unicocca	51707	S	231	212	443	0.00019
Colemanosphaera angeleri	1454018	S	182	183	365	0.00016
Gonium pectorale	33097	S	144	156	300	0.00013
Pleodorina starrii	330485	S	59	48	107	0.00005
Chlorococcum tatrense	915274	S	798	233	1031	0.00044
Spermatozopsis similis	3192	S	177	94	271	0.00012
Hafniomonas laevis	436124	S	160	4	164	0.00007
Dunaliella salina	3046	S	151	18	169	0.00007
Haematococcus lacustris	44745	S	418	4	422	0.00018
Characiochloris acuminata	167768	S	167	74	241	0.00010
Phacotus lenticularis	52965	S	148	32	180	0.00008
Pleurastrum terricola	34116	S	54	4	58	0.00002
Tetradesmus obliquus	3088	S	202	106	308	0.00013
Pectinodesmus pectinatus	91197	S	136	53	189	0.00008
Coelastrella saipanensis	152631	S	79	25	104	0.00004
Pseudopediastrum sp. CL0201VA	2184484	S	46	26	72	0.00003
Pseudopediastrum integrum	271402	S	21	19	40	0.00002
Pseudopediastrum boryanum	55410	S	16	12	28	0.00001
Pediastrum duplex	3105	S	52	20	72	0.00003
Pediastrum angulosum	271408	S	49	23	72	0.00003
Hydrodictyon reticulatum	3107	S	63	46	109	0.00005
Stauridium tetras	271398	S	53	16	69	0.00003
Lacunastrum gracillimum	427913	S	51	17	68	0.00003
Mychonastes homosphaera	31300	S	152	173	325	0.00014
Mychonastes jurisii	797708	S	20	31	51	0.00002
Bracteacoccus aerius	50041	S	171	67	238	0.00010
Bracteacoccus minor	50037	S	63	22	85	0.00004
Bracteacoccus giganteus	50039	S	41	12	53	0.00002
Monoraphidium neglectum	145388	S	160	115	275	0.00012
Kirchneriella aperta	117505	S	91	17	108	0.00005
Chlorotetraedron incus	162317	S	136	34	170	0.00007
Neochloris aquatica	3099	S	88	8	96	0.00004
Ankyra judayi	52688	S	123	101	224	0.00010
Parallela transversalis	163324	S	86	1	87	0.00004
Pseudomuriella schumacherensis	889459	S	162	70	232	0.00010
Chromochloris zofingiensis	31302	S	120	31	151	0.00006
Neocystis brevis	1065496	S	70	39	109	0.00005
Aphanochaete confervicola	764104	S	104	32	136	0.00006
Aphanochaete elegans	764105	S	104	34	138	0.00006
