name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna radiata	157791	S	11099	2854	13953	0.00890
Vigna unguiculata	3917	S	9228	5395	14623	0.00933
Vigna angularis	3914	S	6944	2405	9349	0.00596
Glycine soja	3848	S	2414	8059	10473	0.00668
Glycine max	3847	S	2250	8857	11107	0.00708
Cajanus cajan	3821	S	11362	2471	13833	0.00882
Phaseolus vulgaris	3885	S	8340	1872	10212	0.00651
Pisum sativum	3888	S	17217	3277	20494	0.01307
Vicia villosa	3911	S	16198	2802	19000	0.01212
Medicago truncatula	3880	S	6018	1052	7070	0.00451
Trifolium pratense	57577	S	5296	5461	10757	0.00686
Cicer arietinum	3827	S	8789	4203	12992	0.00828
Lotus japonicus	34305	S	5070	1011	6081	0.00388
Arachis stenosperma	217475	S	7486	3516	11002	0.00702
Arachis hypogaea	3818	S	7094	16023	23117	0.01474
Arachis duranensis	130453	S	3122	3995	7117	0.00454
Arachis ipaensis	130454	S	720	6801	7521	0.00480
Lupinus angustifolius	3871	S	8550	2851	11401	0.00727
Malus domestica	3750	S	2369	2656	5025	0.00320
Malus sylvestris	3752	S	1949	2819	4768	0.00304
Pyrus communis	23211	S	3932	1263	5195	0.00331
Prunus mume	102107	S	1976	989	2965	0.00189
Prunus persica	3760	S	1460	1090	2550	0.00163
Prunus dulcis	3755	S	1415	1034	2449	0.00156
Rosa chinensis	74649	S	3155	716	3871	0.00247
Rosa rugosa	74645	S	2317	772	3089	0.00197
Argentina anserina	57926	S	1953	1128	3081	0.00196
Fragaria vesca	57918	S	1866	846	2712	0.00173
Humulus lupulus	3486	S	17456	8317	25773	0.01644
Cannabis sativa	3483	S	8570	1456	10026	0.00639
Ziziphus jujuba	326968	S	7197	5019	12216	0.00779
Hevea brasiliensis	3981	S	15901	2874	18775	0.01197
Manihot esculenta	3983	S	9216	4138	13354	0.00852
Ricinus communis	3988	S	6070	2277	8347	0.00532
Mercurialis annua	3986	S	5479	5304	10783	0.00688
Euphorbia lathyris	212925	S	8058	1361	9419	0.00601
Populus nigra	3691	S	5908	18894	24802	0.01582
Populus trichocarpa	3694	S	5678	2268	7946	0.00507
Juglans microcarpa x Juglans regia	2249226	S	5448	2372	7820	0.00499
Juglans regia	51240	S	5212	3705	8917	0.00569
Carya illinoinensis	32201	S	7319	3682	11001	0.00702
Quercus lobata	97700	S	7008	4678	11686	0.00745
Quercus robur	38942	S	6335	8183	14518	0.00926
Alnus glutinosa	3517	S	5913	6600	12513	0.00798
Corylus avellana	13451	S	4472	818	5290	0.00337
