name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna radiata	157791	S	10778	2730	13508	0.00899
Vigna unguiculata	3917	S	9561	5375	14936	0.00994
Vigna angularis	3914	S	7153	2396	9549	0.00635
Glycine soja	3848	S	2587	8012	10599	0.00705
Glycine max	3847	S	2490	9135	11625	0.00773
Cajanus cajan	3821	S	11890	2477	14367	0.00956
Phaseolus vulgaris	3885	S	8541	1844	10385	0.00691
Pisum sativum	3888	S	17950	3227	21177	0.01409
Vicia villosa	3911	S	16104	2652	18756	0.01248
Medicago truncatula	3880	S	5718	980	6698	0.00446
Trifolium pratense	57577	S	5148	5161	10309	0.00686
Cicer arietinum	3827	S	9166	4278	13444	0.00894
Lotus japonicus	34305	S	5116	989	6105	0.00406
Arachis stenosperma	217475	S	7769	3431	11200	0.00745
Arachis hypogaea	3818	S	7767	16283	24050	0.01600
Arachis duranensis	130453	S	3124	3748	6872	0.00457
Arachis ipaensis	130454	S	826	7206	8032	0.00534
Lupinus angustifolius	3871	S	8952	2836	11788	0.00784
Malus sylvestris	3752	S	2626	3411	6037	0.00402
Malus domestica	3750	S	2039	2016	4055	0.00270
Pyrus communis	23211	S	4072	1188	5260	0.00350
Prunus mume	102107	S	2261	1051	3312	0.00220
Prunus persica	3760	S	1648	1114	2762	0.00184
Prunus dulcis	3755	S	1433	943	2376	0.00158
Rosa chinensis	74649	S	3267	640	3907	0.00260
Rosa rugosa	74645	S	2463	711	3174	0.00211
Argentina anserina	57926	S	1890	1044	2934	0.00195
Fragaria vesca	57918	S	1657	713	2370	0.00158
Humulus lupulus	3486	S	17899	8151	26050	0.01733
Cannabis sativa	3483	S	8681	1382	10063	0.00669
Ziziphus jujuba	326968	S	7732	5100	12832	0.00854
Hevea brasiliensis	3981	S	16480	2837	19317	0.01285
Manihot esculenta	3983	S	9716	4140	13856	0.00922
Mercurialis annua	3986	S	5818	5409	11227	0.00747
Ricinus communis	3988	S	5779	2095	7874	0.00524
Euphorbia lathyris	212925	S	8264	1337	9601	0.00639
Populus nigra	3691	S	6261	19262	25523	0.01698
Populus trichocarpa	3694	S	5489	2168	7657	0.00509
Juglans regia	51240	S	5845	3959	9804	0.00652
Juglans microcarpa x Juglans regia	2249226	S	5796	2376	8172	0.00544
Carya illinoinensis	32201	S	7635	3680	11315	0.00753
Quercus lobata	97700	S	7162	4466	11628	0.00774
Quercus robur	38942	S	7132	8707	15839	0.01054
Alnus glutinosa	3517	S	6213	6752	12965	0.00862
Corylus avellana	13451	S	5061	956	6017	0.00400
Cucumis melo	3656	S	6892	35911	42803	0.02847
Cucumis sativus	3659	S	4535	837	5372	0.00357
Benincasa hispida	102211	S	11071	747	11818	0.00786
Cucurbita pepo	3663	S	3387	979	4366	0.00290
Tripterygium wilfordii	458696	S	2676	1835	4511	0.00300
Gossypium hirsutum	3635	S	12056	8194	20250	0.01347
Gossypium arboreum	29729	S	6440	4374	10814	0.00719
Gossypium raimondii	29730	S	5204	3161	8365	0.00556
Theobroma cacao	3641	S	3767	321	4088	0.00272
Brassica napus	3708	S	4087	16039	20126	0.01339
Brassica oleracea	3712	S	1858	2127	3985	0.00265
Brassica rapa	3711	S	1295	2671	3966	0.00264
Raphanus sativus	3726	S	4665	14753	19418	0.01292
Camelina sativa	90675	S	7339	599	7938	0.00528
Arabidopsis thaliana	3702	S	1342	319	1661	0.00110
Eucalyptus grandis	71139	S	5763	4006	9769	0.00650
Rhodamnia argentea	178133	S	3319	777	4096	0.00272
Punica granatum	22663	S	3547	1082	4629	0.00308
Mangifera indica	29780	S	5842	2131	7973	0.00530
Citrus sinensis	2711	S	4290	1732	6022	0.00401
Vitis riparia	96939	S	5059	4437	9496	0.00632
Vitis vinifera	29760	S	4356	4509	8865	0.00590
Solanum lycopersicum	4081	S	14367	29439	43806	0.02914
Solanum pennellii	28526	S	13513	3991	17504	0.01164
Solanum dulcamara	45834	S	7469	4712	12181	0.00810
Solanum stenotomum	172797	S	7039	1121	8160	0.00543
Capsicum annuum	4072	S	25004	1566	26570	0.01768
Lycium barbarum	112863	S	8011	2070	10081	0.00671
Lycium ferocissimum	112874	S	7847	2702	10549	0.00702
Nicotiana sylvestris	4096	S	9341	1906	11247	0.00748
Nicotiana attenuata	49451	S	9147	3115	12262	0.00816
Nicotiana tomentosiformis	4098	S	8488	1585	10073	0.00670
Ipomoea triloba	35885	S	5046	2139	7185	0.00478
Salvia miltiorrhiza	226208	S	5537	772	6309	0.00420
Salvia hispanica	49212	S	3186	829	4015	0.00267
Salvia splendens	180675	S	6293	1095	7388	0.00491
Olea europaea	4146	S	10349	804	11153	0.00742
