name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna radiata	157791	S	8988	2298	11286	0.00960
Vigna unguiculata	3917	S	6754	3887	10641	0.00905
Vigna angularis	3914	S	5031	1755	6786	0.00577
Glycine soja	3848	S	2027	5914	7941	0.00676
Glycine max	3847	S	1789	6225	8014	0.00682
Cajanus cajan	3821	S	8335	1777	10112	0.00860
Phaseolus vulgaris	3885	S	6356	1368	7724	0.00657
Pisum sativum	3888	S	13119	2478	15597	0.01327
Vicia villosa	3911	S	11084	1902	12986	0.01105
Medicago truncatula	3880	S	3703	641	4344	0.00370
Trifolium pratense	57577	S	3684	3752	7436	0.00633
Cicer arietinum	3827	S	6289	2975	9264	0.00788
Lotus japonicus	34305	S	3576	708	4284	0.00364
Arachis stenosperma	217475	S	5416	2429	7845	0.00667
Arachis hypogaea	3818	S	5364	11403	16767	0.01426
Arachis duranensis	130453	S	2222	2696	4918	0.00418
Arachis ipaensis	130454	S	567	5011	5578	0.00474
Lupinus angustifolius	3871	S	6017	1993	8010	0.00681
Malus domestica	3750	S	1515	1676	3191	0.00271
Malus sylvestris	3752	S	1484	2119	3603	0.00306
Pyrus communis	23211	S	2868	953	3821	0.00325
Prunus mume	102107	S	1508	747	2255	0.00192
Prunus persica	3760	S	1123	849	1972	0.00168
Prunus dulcis	3755	S	990	730	1720	0.00146
Rosa chinensis	74649	S	2140	488	2628	0.00224
Rosa rugosa	74645	S	1617	544	2161	0.00184
Argentina anserina	57926	S	1437	836	2273	0.00193
Fragaria vesca	57918	S	1301	587	1888	0.00161
Humulus lupulus	3486	S	12455	5857	18312	0.01558
Cannabis sativa	3483	S	6155	1006	7161	0.00609
Ziziphus jujuba	326968	S	5471	3743	9214	0.00784
Hevea brasiliensis	3981	S	11395	2044	13439	0.01143
Manihot esculenta	3983	S	6749	3018	9767	0.00831
Ricinus communis	3988	S	3990	1479	5469	0.00465
Mercurialis annua	3986	S	3910	3753	7663	0.00652
Euphorbia lathyris	212925	S	5692	954	6646	0.00565
Populus nigra	3691	S	4564	14454	19018	0.01618
Populus trichocarpa	3694	S	4080	1608	5688	0.00484
Juglans microcarpa x Juglans regia	2249226	S	4088	1734	5822	0.00495
Juglans regia	51240	S	4037	2800	6837	0.00582
Carya illinoinensis	32201	S	5324	2651	7975	0.00678
Quercus lobata	97700	S	5127	3289	8416	0.00716
Quercus robur	38942	S	4946	6235	11181	0.00951
Alnus glutinosa	3517	S	4554	5003	9557	0.00813
Corylus avellana	13451	S	3710	682	4392	0.00374
Benincasa hispida	102211	S	7925	539	8464	0.00720
Cucumis melo	3656	S	4127	21904	26031	0.02214
Cucumis sativus	3659	S	3369	665	4034	0.00343
Cucurbita pepo	3663	S	2692	799	3491	0.00297
Tripterygium wilfordii	458696	S	2193	1556	3749	0.00319
Gossypium hirsutum	3635	S	8383	5686	14069	0.01197
Gossypium arboreum	29729	S	4327	2934	7261	0.00618
Gossypium raimondii	29730	S	3874	2363	6237	0.00531
Theobroma cacao	3641	S	2980	264	3244	0.00276
Brassica napus	3708	S	2902	11545	14447	0.01229
Brassica oleracea	3712	S	1301	1463	2764	0.00235
Brassica rapa	3711	S	1028	2113	3141	0.00267
Raphanus sativus	3726	S	3506	11071	14577	0.01240
Camelina sativa	90675	S	5804	500	6304	0.00536
Arabidopsis thaliana	3702	S	1005	237	1242	0.00106
Eucalyptus grandis	71139	S	4836	3405	8241	0.00701
Rhodamnia argentea	178133	S	2462	615	3077	0.00262
Punica granatum	22663	S	2814	887	3701	0.00315
Mangifera indica	29780	S	4191	1658	5849	0.00498
Citrus sinensis	2711	S	2984	1238	4222	0.00359
Vitis riparia	96939	S	3700	3258	6958	0.00592
Vitis vinifera	29760	S	3111	3276	6387	0.00543
Solanum lycopersicum	4081	S	12209	24786	36995	0.03147
Solanum pennellii	28526	S	10927	3194	14121	0.01201
Solanum dulcamara	45834	S	5207	3258	8465	0.00720
Solanum stenotomum	172797	S	5042	754	5796	0.00493
Capsicum annuum	4072	S	16940	1027	17967	0.01528
Lycium barbarum	112863	S	5890	1411	7301	0.00621
Lycium ferocissimum	112874	S	5473	1780	7253	0.00617
Nicotiana sylvestris	4096	S	6597	1338	7935	0.00675
Nicotiana attenuata	49451	S	6204	2113	8317	0.00707
Nicotiana tomentosiformis	4098	S	5615	1057	6672	0.00568
Ipomoea triloba	35885	S	3601	1550	5151	0.00438
Salvia miltiorrhiza	226208	S	4213	596	4809	0.00409
Salvia hispanica	49212	S	2449	707	3156	0.00268
Salvia splendens	180675	S	4597	841	5438	0.00463
Olea europaea	4146	S	7284	566	7850	0.00668
Sesamum indicum	4182	S	3315	567	3882	0.00330
Coffea arabica	13443	S	2734	1222	3956	0.00337
Coffea eugenioides	49369	S	1207	1298	2505	0.00213
Rutidosis leptorrhynchoides	125765	S	14971	6308	21279	0.01810
Helianthus annuus	4232	S	10821	1080	11901	0.01012
Erigeron canadensis	72917	S	3362	551	3913	0.00333
Lactuca sativa	4236	S	10322	2587	12909	0.01098
Cynara cardunculus	4265	S	4494	526	5020	0.00427
Daucus carota	4039	S	3097	682	3779	0.00321
Impatiens glandulifera	253017	S	8113	2194	10307	0.00877
Actinidia eriantha	165200	S	6623	723	7346	0.00625
Diospyros lotus	55363	S	5912	713	6625	0.00564
Rhododendron vialii	182163	S	3471	631	4102	0.00349
Beta vulgaris	161934	S	4110	1379	5489	0.00467
Spinacia oleracea	3562	S	3506	16792	20298	0.01727
Amaranthus tricolor	29722	S	4129	15679	19808	0.01685
Malania oleifera	397392	S	10612	1960	12572	0.01069
Triticum aestivum	4565	S	12465	13297	25762	0.02191
Triticum dicoccoides	85692	S	7460	7225	14685	0.01249
Triticum urartu	4572	S	6443	3875	10318	0.00878
Aegilops tauschii	37682	S	4313	4768	9081	0.00772
Hordeum vulgare	4513	S	13175	6467	19642	0.01671
Lolium rigidum	89674	S	5774	1627	7401	0.00630
Lolium perenne	4522	S	3763	2288	6051	0.00515
Brachypodium distachyon	15368	S	2595	426	3021	0.00257
Oryza brachyantha	4533	S	3708	799	4507	0.00383
