name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna radiata	157791	S	8048	2042	10090	0.00807
Vigna unguiculata	3917	S	6236	3659	9895	0.00791
Vigna angularis	3914	S	5020	1789	6809	0.00544
Glycine max	3847	S	1901	6699	8600	0.00688
Glycine soja	3848	S	1846	5450	7296	0.00583
Cajanus cajan	3821	S	7799	1683	9482	0.00758
Phaseolus vulgaris	3885	S	5505	1178	6683	0.00534
Pisum sativum	3888	S	12970	2566	15536	0.01242
Vicia villosa	3911	S	10676	1941	12617	0.01009
Medicago truncatula	3880	S	4055	728	4783	0.00382
Trifolium pratense	57577	S	3623	3824	7447	0.00595
Cicer arietinum	3827	S	6096	2963	9059	0.00724
Lotus japonicus	34305	S	3708	764	4472	0.00358
Arachis hypogaea	3818	S	5637	11597	17234	0.01378
Arachis stenosperma	217475	S	5538	2423	7961	0.00637
Arachis duranensis	130453	S	2228	2622	4850	0.00388
Arachis ipaensis	130454	S	620	5292	5912	0.00473
Lupinus angustifolius	3871	S	5822	1989	7811	0.00625
Malus sylvestris	3752	S	1557	2295	3852	0.00308
Malus domestica	3750	S	1526	1743	3269	0.00261
Pyrus communis	23211	S	2953	935	3888	0.00311
Prunus mume	102107	S	1324	653	1977	0.00158
Prunus persica	3760	S	1019	771	1790	0.00143
Prunus dulcis	3755	S	980	719	1699	0.00136
Rosa chinensis	74649	S	2390	479	2869	0.00229
Rosa rugosa	74645	S	1935	574	2509	0.00201
Argentina anserina	57926	S	1461	873	2334	0.00187
Fragaria vesca	57918	S	1300	580	1880	0.00150
Humulus lupulus	3486	S	12201	5972	18173	0.01453
Cannabis sativa	3483	S	5728	931	6659	0.00532
Ziziphus jujuba	326968	S	5742	4104	9846	0.00787
Hevea brasiliensis	3981	S	11314	2005	13319	0.01065
Manihot esculenta	3983	S	6484	2987	9471	0.00757
Ricinus communis	3988	S	3861	1421	5282	0.00422
Mercurialis annua	3986	S	3831	3802	7633	0.00610
Euphorbia lathyris	212925	S	5826	1001	6827	0.00546
Populus nigra	3691	S	4416	14676	19092	0.01527
Populus trichocarpa	3694	S	3881	1581	5462	0.00437
Juglans regia	51240	S	4155	2874	7029	0.00562
Juglans microcarpa x Juglans regia	2249226	S	4052	1692	5744	0.00459
Carya illinoinensis	32201	S	5143	2620	7763	0.00621
Quercus lobata	97700	S	5220	3265	8485	0.00678
Quercus robur	38942	S	5044	6440	11484	0.00918
Alnus glutinosa	3517	S	4819	5523	10342	0.00827
Corylus avellana	13451	S	3770	716	4486	0.00359
Benincasa hispida	102211	S	7626	515	8141	0.00651
Cucumis melo	3656	S	4002	21566	25568	0.02044
Cucumis sativus	3659	S	2835	551	3386	0.00271
Cucurbita pepo	3663	S	2505	766	3271	0.00262
Tripterygium wilfordii	458696	S	2043	1518	3561	0.00285
Gossypium hirsutum	3635	S	8303	5815	14118	0.01129
Gossypium arboreum	29729	S	4227	2946	7173	0.00574
Gossypium raimondii	29730	S	3768	2351	6119	0.00489
Theobroma cacao	3641	S	3001	265	3266	0.00261
Brassica napus	3708	S	3048	12285	15333	0.01226
Brassica oleracea	3712	S	1425	1582	3007	0.00240
Brassica rapa	3711	S	1073	2203	3276	0.00262
Raphanus sativus	3726	S	3328	10424	13752	0.01100
Camelina sativa	90675	S	5317	484	5801	0.00464
Arabidopsis thaliana	3702	S	921	218	1139	0.00091
