Classification	EW01	EW02	EW03	EW04	EW05	EW06	EW07	EW08	EW09	EW10	EW11	EW12	EW13	EW14	EW15	EW16	EW17	EW18	EW19	EW20	EW21	EW22	EW23	EW24	EW25	EW26
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Prototheca|s__Prototheca_bovis	65	73	94	0	48	0	65	0	0	27	0	20	17	23	75	0	0	38	21	21	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Prototheca|s__Prototheca_cutis	43	35	0	134	107	29	52	66	34	44	62	0	26	33	108	106	241	84	151	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Prototheca|s__Prototheca_wickerhamii	127	82	60	137	160	77	40	80	107	164	130	46	26	82	194	116	228	66	149	38	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Chlorella|s__Chlorella_heliozoae	134	109	83	168	87	48	31	74	45	55	73	173	53	103	340	147	130	86	119	96	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Chlorella|s__Chlorella_vulgaris	118	244	254	219	248	53	277	125	267	166	164	73	46	114	266	167	345	208	201	60	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Chlorella|s__Chlorella_sorokiniana	164	169	157	189	227	86	130	114	150	163	186	70	123	97	99	95	198	105	98	70	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Chlorella|s__Chlorella_variabilis	199	177	210	248	311	1116	1081	970	266	535	207	254	315	231	292	155	171	1131	248	173	45	0	34	95	54	65
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Micractinium|s__Micractinium_variabile	43	33	34	54	84	27	48	22	40	64	64	52	27	30	47	38	111	28	24	45	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Trebouxiophyceae|o__Chlorellales|f__Chlorellaceae|g__Micractinium|s__Micractinium_conductrix	1135	225	1302	614	1876	18	611	253	679	83	568	925	658	206	335	557	3458	794	139	944	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|f__Microsporaceae|g__Microspora|s__Microspora_stagnorum	23	45	22	34	67	23	19	40	41	48	19	42	27	10	68	34	45	38	34	35	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|f__Treubariaceae|g__Treubaria|s__Treubaria_triappendiculata	108	137	136	179	129	28	172	84	174	77	157	35	67	80	174	99	204	141	116	43	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|g__Jenufa|s__Jenufa_minuta	58	63	60	73	135	66	44	62	177	23	66	52	77	65	135	83	134	69	55	42	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|g__Jenufa|s__Jenufa_perforata	142	150	268	102	146	128	258	69	190	62	133	129	180	148	334	57	114	180	46	72	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlorosarcinales|f__Chlorosarcinaceae|g__Chlorosarcinopsis|s__Chlorosarcinopsis_eremi	1580	1229	603	1040	651	229	699	386	480	435	439	1997	529	1202	2875	718	524	812	418	1581	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chaetopeltidales|f__Chaetopeltidaceae|g__Floydiella|s__Floydiella_terrestris	137	157	93	138	165	47	147	146	87	95	203	105	85	120	295	94	246	114	132	70	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Oedogoniales|f__Oedogoniaceae|g__Oedocladium|s__Oedocladium_carolinianum	137	10967	15985	49	1026	56	23034	166	14626	32	79	37	61	51	22059	35	489	6444	26	30	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Oedogoniales|f__Oedogoniaceae|g__Oedogonium|s__Oedogonium_cardiacum	204	8277	11880	147	802	137	16039	280	10766	141	193	101	169	192	18738	53	453	5043	82	82	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chaetophorales|f__Uronemataceae|g__Uronema|s__Uronema_confervicola	399	28217	701	550	896	423	25616	3327	5426	185	1920	172	2729	1307	3329	138	413	4618	116	139	0	0	0	0	20	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chaetophorales|f__Schizomeridaceae|g__Schizomeris|s__Schizomeris_leibleinii	423	638	758	684	1269	591	775	931	274	141	1144	180	1076	1052	620	205	686	595	200	161	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chaetophorales|f__Chaetophoraceae|g__Stigeoclonium|s__Stigeoclonium_helveticum	353	1023	671	406	588	267	792	1323	236	45	1892	144	1015	870	694	117	225	424	29	82	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chaetophorales|f__Chaetophoraceae|g__Chaetophoropsis|s__Chaetophoropsis_polyrhiza	2757	13773	4118	3201	1092	1647	5882	20833	553	145	28351	529	8310	7874	8295	710	549	1231	93	264	0	0	0	0	13	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chaetophorales|f__Aphanochaetaceae|g__Aphanochaete|s__Aphanochaete_elegans	1013	888	2133	1763	4547	1747	1361	1578	379	138	2113	342	3204	2838	892	404	1862	1697	193	233	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chaetophorales|f__Aphanochaetaceae|g__Aphanochaete|s__Aphanochaete_confervicola	3328	1527	6227	5831	15029	6577	3341	5454	390	136	6770	750	10410	10380	1252	647	5748	5620	65	557	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Radiococcaceae|g__Neocystis|s__Neocystis_brevis	122	241	333	83	184	72	376	48	419	109	64	110	32	37	240	42	171	249	72	136	86	60	134	79	39	61
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Pseudomuriellaceae|g__Pseudomuriella|s__Pseudomuriella_schumacherensis	300	468	413	319	246	169	540	254	649	232	441	365	217	327	636	172	332	318	195	226	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Chromochloridaceae|g__Chromochloris|s__Chromochloris_zofingiensis	312	276	398	326	378	93	410	133	275	151	245	257	257	276	610	207	337	356	234	204	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Mychonastaceae|g__Mychonastes|s__Mychonastes_jurisii	110	47	60	74	104	38	134	76	105	51	151	80	83	33	96	55	61	125	57	50	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Mychonastaceae|g__Mychonastes|s__Mychonastes_homosphaera	212	134	177	288	175	66	216	88	340	325	234	165	77	179	444	155	239	147	224	123	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Selenastraceae|g__Ourococcus|s__Ourococcus_multisporus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Selenastraceae|g__Ankistrodesmus|s__Ankistrodesmus_falcatus	0	50	81	0	18	0	125	0	64	0	26	0	22	11	25	0	11	35	0	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Selenastraceae|g__Kirchneriella|s__Kirchneriella_aperta	195	234	210	223	261	59	316	135	173	108	156	252	156	186	446	174	277	256	170	151	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Selenastraceae|g__Monoraphidium|s__Monoraphidium_neglectum	435	282	191	361	427	97	293	197	183	275	229	486	168	442	985	306	407	331	262	289	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Bracteacoccaceae|g__Bracteacoccus|s__Bracteacoccus_minor	210	211	136	181	83	114	206	103	124	85	149	243	67	185	342	98	103	149	48	165	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Bracteacoccaceae|g__Bracteacoccus|s__Bracteacoccus_giganteus	218	197	105	144	195	81	118	64	109	53	64	141	144	120	304	93	117	109	79	134	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Bracteacoccaceae|g__Bracteacoccus|s__Bracteacoccus_aerius	238	249	231	354	471	68	331	187	321	238	318	187	219	231	451	247	500	217	334	127	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Sphaeropleaceae|g__Parallela|s__Parallela_transversalis	170	143	132	123	150	100	124	85	112	87	126	122	130	154	266	91	119	137	34	135	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Sphaeropleaceae|g__Ankyra|s__Ankyra_judayi	497	437	191	449	350	186	286	240	251	224	255	700	249	446	1127	330	415	385	283	513	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Neochloridaceae|g__Neochloris|s__Neochloris_aquatica	248	265	218	235	198	98	229	134	172	96	214	231	196	209	593	139	246	195	127	178	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Neochloridaceae|g__Chlorotetraedron|s__Chlorotetraedron_incus	489	492	326	430	412	79	390	324	228	170	369	344	221	337	861	315	526	355	272	224	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Scenedesmaceae|g__Coelastrella|s__Coelastrella_saipanensis	251	324	194	225	143	124	243	107	335	104	201	210	175	150	476	180	148	214	94	153	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Scenedesmaceae|g__Pectinodesmus|s__Pectinodesmus_pectinatus	288	219	123	274	373	142	207	233	147	189	399	331	220	446	705	212	264	223	159	274	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Scenedesmaceae|g__Tetradesmus|s__Tetradesmus_obliquus	325	292	264	248	239	132	421	98	558	308	230	277	49	160	491	165	179	246	187	181	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Hydrodictyaceae|g__Hydrodictyon|s__Hydrodictyon_reticulatum	152	166	43	202	250	30	169	106	132	109	283	67	112	134	354	147	394	207	164	41	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Hydrodictyaceae|g__Stauridium|s__Stauridium_tetras	216	207	140	121	140	90	167	78	100	69	88	195	99	146	429	129	87	116	60	228	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Hydrodictyaceae|g__Pediastrum|s__Pediastrum_duplex	105	166	323	132	180	50	349	58	284	72	117	150	173	94	178	44	83	200	41	74	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Hydrodictyaceae|g__Pediastrum|s__Pediastrum_angulosum	160	146	134	130	84	42	183	47	99	72	73	192	95	82	389	53	78	120	38	120	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Hydrodictyaceae|g__Lacunastrum|s__Lacunastrum_gracillimum	275	196	40	255	173	54	126	109	39	68	123	269	98	193	585	221	301	145	206	253	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Hydrodictyaceae|g__Pseudopediastrum|s__Pseudopediastrum_integrum	70	92	119	35	65	0	166	70	187	40	64	26	0	59	86	0	0	75	0	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Hydrodictyaceae|g__Pseudopediastrum|s__Pseudopediastrum_boryanum	76	84	86	67	75	28	73	38	61	28	155	77	192	110	117	28	98	62	0	64	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Sphaeropleales|f__Hydrodictyaceae|g__Pseudopediastrum|s__Pseudopediastrum_sp._CL0201VA	167	220	139	265	259	67	121	103	108	72	101	175	116	189	514	238	418	139	244	137	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|g__Edaphochlamys|s__Edaphochlamys_debaryana	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Pleurastraceae|g__Pleurastrum|s__Pleurastrum_terricola	83	70	81	93	151	56	71	58	76	58	66	95	92	58	97	59	121	111	84	58	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Phacotaceae|g__Phacotus|s__Phacotus_lenticularis	715	514	389	448	311	179	468	265	246	180	205	740	245	505	1246	350	312	398	227	597	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Characiochloridaceae|g__Characiochloris|s__Characiochloris_acuminata	840	728	490	438	279	102	576	229	493	241	260	851	306	515	1443	302	178	504	163	597	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Haematococcaceae|g__Haematococcus|s__Haematococcus_lacustris	1308	1111	586	938	566	257	700	307	548	422	419	1627	484	952	2805	710	664	734	413	1343	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Dunaliellaceae|g__Hafniomonas|s__Hafniomonas_laevis	315	298	138	290	347	126	175	170	229	164	179	271	213	215	551	177	317	206	144	254	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Dunaliellaceae|g__Spermatozopsis|s__Spermatozopsis_similis	438	475	406	383	365	85	409	185	501	271	281	460	209	305	926	252	336	389	276	314	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Dunaliellaceae|g__Dunaliella|s__Dunaliella_salina	1104	855	270	550	209	217	297	284	164	169	375	1455	294	809	2229	523	256	432	138	1144	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Volvocaceae|g__Pleodorina|s__Pleodorina_starrii	291	322	290	227	183	95	264	168	139	107	256	241	215	262	420	161	186	166	69	190	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Volvocaceae|g__Colemanosphaera|s__Colemanosphaera_angeleri	304	393	637	296	163	71	543	94	587	365	356	289	136	183	661	133	249	304	248	187	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Volvocaceae|g__Yamagishiella|s__Yamagishiella_unicocca	679	488	285	616	525	252	388	297	507	443	493	662	379	504	1049	511	535	575	378	468	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Volvocaceae|g__Gonium|s__Gonium_pectorale	697	929	991	737	866	272	1004	336	1041	300	555	647	389	537	1644	548	794	644	471	438	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Volvocaceae|g__Volvox|s__Volvox_africanus	394	462	360	209	73	33	666	52	322	113	74	426	120	200	772	119	94	262	98	378	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Volvocaceae|g__Volvox|s__Volvox_carteri	2383	6241	8736	1804	2727	1376	5114	2157	3971	1682	3110	2888	4505	2490	4869	1187	1789	4271	1248	1925	229	179	331	265	244	139
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Chlorococcaceae|g__Chlorococcum|s__Chlorococcum_tatrense	6451	3624	1603	2749	1412	979	1666	1036	1130	1031	1164	6587	1377	3616	9854	2437	1129	2245	712	5268	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Chlamydomonadaceae|g__Polytoma|s__Polytoma_uvella	0	0	18	0	12	13	12	17	30	0	0	10	11	27	21	0	12	0	10	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Chlamydomonadaceae|g__Polytomella|s__Polytomella_capuana	0	0	0	0	0	0	0	0	0	0	14	10	20	0	0	0	0	0	0	0	58	34	61	34	22	38
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Chlamydomonadaceae|g__Polytomella|s__Polytomella_magna	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Chlamydomonadaceae|g__Polytomella|s__Polytomella_parva	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Chlamydomonadaceae|g__Carteria|s__Carteria_cerasiformis	174	347	374	111	159	54	613	120	437	65	147	158	66	84	366	69	84	255	54	108	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Chlamydomonadaceae|g__Oogamochlamys|s__Oogamochlamys_gigantea	228	329	553	162	298	87	562	141	390	123	89	165	101	207	391	147	230	268	78	160	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Chlamydomonadaceae|g__Chlamydomonas|s__Chlamydomonas_moewusii	67	60	39	55	17	15	41	0	14	11	10	144	38	75	153	43	11	50	14	115	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Chlamydomonadaceae|g__Chlamydomonas|s__Chlamydomonas_leiostraca	1940	1583	644	1141	696	291	637	449	324	350	482	2704	740	1290	3928	863	617	1095	316	1744	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales|f__Chlamydomonadaceae|g__Chlamydomonas|s__Chlamydomonas_reinhardtii	23540	54406	62733	17727	19649	11389	38273	20230	31673	12780	26378	32415	28364	18534	46479	12439	13239	33287	11068	21648	2742	1800	3086	2755	2177	1930
k__Viridiplantae|p__Streptophyta|c__Chlorokybophyceae|o__Chlorokybales|f__Chlorokybaceae|g__Chlorokybus|s__Chlorokybus_atmophyticus	138	382	392	138	363	100	367	108	205	123	157	117	122	119	252	138	296	400	157	95	0	0	0	0	0	0
k__Viridiplantae|p__Streptophyta|c__Klebsormidiophyceae|o__Klebsormidiales|f__Klebsormidiaceae|g__Klebsormidium|s__Klebsormidium_flaccidum	13	0	0	0	0	0	0	0	16	10	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
k__Viridiplantae|p__Streptophyta|c__Klebsormidiophyceae|o__Klebsormidiales|f__Klebsormidiaceae|g__Entransia|s__Entransia_fimbriata	73	127	83	89	104	64	83	83	111	106	112	114	119	124	124	75	76	74	54	102	0	0	0	0	0	0
k__Viridiplantae|p__Streptophyta|c__Klebsormidiophyceae|o__Klebsormidiales|f__Klebsormidiaceae|g__Interfilum|s__Interfilum_terricola	168	456	208	164	262	0	310	172	157	88	111	50	49	134	516	181	422	142	258	54	0	0	0	0	0	0
k__Viridiplantae|p__Streptophyta|c__Mesostigmatophyceae|o__Mesostigmatales|f__Mesostigmataceae|g__Mesostigma|s__Mesostigma_viride	276	222	232	239	266	117	221	160	476	324	318	157	229	121	282	215	355	371	275	140	0	0	0	0	0	0
k__Viridiplantae|p__Streptophyta|c__Charophyceae|o__Charales|f__Characeae|g__Nitella|s__Nitella_hyalina	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viridiplantae|p__Streptophyta|c__Charophyceae|o__Charales|f__Characeae|g__Chara|s__Chara_vulgaris	47	99	46	119	129	48	82	124	139	119	106	97	50	62	176	100	231	107	195	72	0	0	0	0	0	0
k__Viridiplantae|p__Streptophyta|c__Coleochaetophyceae|o__Coleochaetales|f__Chaetosphaeridiaceae|g__Chaetosphaeridium|s__Chaetosphaeridium_globosum	77	85	68	99	82	57	76	117	165	116	99	88	34	50	160	64	93	93	92	91	0	0	0	0	0	0
k__Viridiplantae|p__Streptophyta|c__Coleochaetophyceae|o__Coleochaetales|f__Coleochaetaceae|g__Coleochaete|s__Coleochaete_scutata	134	177	156	107	159	107	141	109	161	77	78	101	92	74	232	130	203	130	157	109	67	65	79	84	67	41
k__Viridiplantae|p__Streptophyta|c__Zygnematophyceae|o__Desmidiales|f__Closteriaceae|g__Closterium|s__Closterium_baillyanum	54	114	42	116	192	61	82	35	87	36	85	56	45	29	196	103	222	110	100	41	0	0	0	0	0	0
k__Viridiplantae|p__Streptophyta|c__Zygnematophyceae|o__Desmidiales|f__Desmidiaceae|g__Staurastrum|s__Staurastrum_punctulatum	13	0	19	0	0	0	0	0	41	15	0	12	0	20	0	0	0	0	0	0	0	0	0	0	0	0
k__Viridiplantae|p__Streptophyta|c__Zygnematophyceae|o__Desmidiales|f__Desmidiaceae|g__Cosmarium|s__Cosmarium_botrytis	54	43	103	100	94	65	40	30	47	59	83	30	25	53	43	68	70	51	49	28	0	0	0	0	0	0
k__Viridiplantae|p__Streptophyta|c__Zygnematophyceae|o__Zygnematales|f__Zygnemataceae|g__Spirogyra|s__Spirogyra_maxima	12	25	25	15	0	13	28	20	65	21	13	12	0	12	80	14	28	13	22	21	0	0	0	0	0	0
k__Viridiplantae|p__Streptophyta|c__Zygnematophyceae|o__Zygnematales|f__Zygnemataceae|g__Zygnema|s__Zygnema_circumcarinatum	17	41	49	34	50	39	60	21	57	35	24	15	22	35	48	22	45	81	19	14	0	0	0	0	0	0
k__Viridiplantae|p__Streptophyta|c__Zygnematophyceae|o__Zygnematales|f__Zygnemataceae|g__Netrium|s__Netrium_digitus	46	58	56	29	26	28	93	24	121	55	32	0	43	12	110	20	35	49	30	0	0	0	0	0	0	0
k__Viridiplantae|p__Streptophyta|c__Zygnematophyceae|o__Zygnematales|f__Mesotaeniaceae|g__Cylindrocystis|s__Cylindrocystis_brebissonii	60	35	18	81	60	0	36	31	57	76	60	35	37	18	29	40	76	31	55	33	0	0	0	0	0	0
k__Viridiplantae|p__Streptophyta|c__Zygnematophyceae|o__Zygnematales|f__Mesotaeniaceae|g__Roya|s__Roya_obtusa	155	223	191	136	232	200	198	169	246	145	257	209	116	263	294	117	174	212	118	167	0	0	0	0	0	0
k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales|f__Funariaceae|g__Physcomitrium|s__Physcomitrium_patens	3454	4151	4656	5759	4595	4453	7520	5294	4563	7933	5091	3321	5247	4880	4946	6277	4994	4053	3675	2085	420	357	423	302	337	424
k__Viridiplantae|p__Streptophyta|c__Pinopsida|o__Cupressales|f__Cupressaceae|g__Cryptomeria|s__Cryptomeria_japonica	26415	31110	33763	39367	35679	34842	59344	40460	33927	63319	38053	26127	40856	41368	38308	45683	36707	32203	30525	16822	5416	5081	5504	4590	4387	4708
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Nymphaeales|f__Nymphaeaceae|g__Nymphaea|s__Nymphaea_colorata	4047	3753	5294	6532	5429	4388	7364	10324	5281	9776	6483	5125	5432	4618	4672	6694	5021	5114	4759	3508	838	772	795	719	664	736
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Magnoliales|f__Magnoliaceae|g__Magnolia|s__Magnolia_sinica	6946	9743	11479	9049	9625	9283	16816	10161	9789	14018	9304	7415	10458	9746	11015	10308	9147	9175	7542	5263	2396	2075	2376	2016	1768	2220
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Ranunculales|f__Papaveraceae|g__Papaver|s__Papaver_somniferum	7421	10054	11332	10984	11028	10066	18348	11595	10145	16141	10974	8012	11622	10253	11759	12142	10547	9985	8069	5141	1356	1294	1376	1229	1011	1139
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Proteales|f__Proteaceae|g__Macadamia|s__Macadamia_integrifolia	5234	8865	10342	7171	7609	6482	13475	7823	8932	10337	7607	5846	8625	7292	9369	7558	7611	8635	5814	3865	1184	1113	1300	1037	942	1037
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Proteales|f__Proteaceae|g__Telopea|s__Telopea_speciosissima	6042	8636	10100	7730	8160	6917	13058	8150	8552	11396	8396	6833	9181	8276	9249	8314	8601	9233	6910	5028	1998	1716	2113	1738	1537	1618
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Dioscoreales|f__Dioscoreaceae|g__Dioscorea|s__Dioscorea_cayenensis	4682	5518	6138	6871	6414	6086	10783	6901	5923	11162	7190	4815	7053	12743	6731	7839	6250	5806	4395	2915	1029	908	1063	897	789	828
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Asparagales|f__Asparagaceae|g__Asparagus|s__Asparagus_officinalis	4973	7010	8021	7594	6371	6515	11589	7292	6790	10569	6998	5529	7983	7142	7687	8617	6966	7243	5417	4068	1276	1189	1320	1204	964	1034
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Arecales|f__Arecaceae|g__Phoenix|s__Phoenix_dactylifera	5050	6535	7837	6040	5830	5600	9438	6016	6139	8464	6134	5303	7736	6401	7170	6952	5594	6494	4696	3907	2567	2187	2752	2223	1904	2302
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Arecales|f__Arecaceae|g__Elaeis|s__Elaeis_guineensis	11969	11803	14880	14145	13930	12815	20302	15286	13136	22992	13807	11790	14956	13093	13791	15506	13042	14037	13299	8507	2727	2129	2778	2532	2158	2212
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Zingiberales|f__Zingiberaceae|g__Zingiber|s__Zingiber_officinale	10956	14242	15537	15633	15039	14332	25419	16489	15458	23650	15536	11654	18123	16610	15859	18496	15087	14033	11205	7301	3057	2661	3098	2772	2251	2539
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Zingiberales|f__Musaceae|g__Musa|s__Musa_acuminata	19199	28122	29509	23799	23240	21962	35438	24457	23600	32411	25335	21519	27016	24118	29194	26242	23095	24441	19550	15616	10264	8561	9793	8748	7637	9033
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales|f__Bromeliaceae|g__Ananas|s__Ananas_comosus	5764	8529	9109	7251	7290	6092	11367	7026	7690	9702	7575	6467	8850	7364	8840	7612	6856	7409	5593	4515	2643	2210	2506	2447	1948	2275
