Classification	EW01	EW02	EW03	EW04	EW05	EW06	EW07	EW08	EW09	EW10	EW11	EW12	EW13	EW14	EW15	EW16	EW17	EW18	EW19	EW20	EW21	EW22	EW23	EW24	EW25	EW26
k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae|o__Mamiellales|f__Bathycoccaceae|g__Ostreococcus|s__Ostreococcus_sp._'lucimarinus'	802	1235	1793	717	859	607	996	856	1017	848	950	1138	1048	757	1174	539	706	1469	642	967	158	97	213	146	93	102
k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae|o__Mamiellales|f__Mamiellaceae|g__Micromonas|s__Micromonas_pusilla	2748	4705	5872	2768	2634	1978	3857	2886	3463	2252	3191	4185	3305	2719	4605	2163	2100	4947	2131	3410	677	535	924	719	511	541
k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae|o__Mamiellales|f__Mamiellaceae|g__Micromonas|s__Micromonas_commoda	4284	6739	8475	3737	4344	3100	5627	4559	4979	4327	5042	5234	5217	3476	5971	3267	3867	7376	3700	4572	1114	683	1392	1148	835	754
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Oltmannsiellopsidales|f__Oltmannsiellopsidaceae|g__Oltmannsiellopsis|s__Oltmannsiellopsis_viridis	183	232	120	404	361	68	246	191	289	292	303	100	88	163	334	329	625	146	393	79	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Trentepohliales|f__Trentepohliaceae|g__Trentepohlia|s__Trentepohlia_odorata	22	0	16	23	12	0	10	20	16	27	15	29	10	0	18	17	19	10	0	22	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Ostreobiaceae|g__Ostreobium|s__Ostreobium_quekettii	72	92	135	43	165	44	149	82	94	58	102	34	69	41	59	35	163	157	33	25	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Caulerpaceae|g__Caulerpa|s__Caulerpa_racemosa	0	39	49	0	0	0	86	0	61	0	0	0	0	0	30	0	19	50	0	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Caulerpaceae|g__Caulerpa|s__Caulerpa_cliftonii	13	23	17	10	0	0	12	0	50	23	0	20	11	0	40	0	0	0	20	27	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Caulerpaceae|g__Caulerpa|s__Caulerpa_ashmeadii	20	19	13	17	12	11	16	11	0	26	16	14	0	0	16	0	0	19	0	21	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Caulerpaceae|g__Caulerpa|s__Caulerpa_verticillata	23	65	47	111	95	13	85	43	22	38	89	16	61	74	148	50	206	42	123	15	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Caulerpaceae|g__Caulerpa|s__Caulerpa_manorensis	73	66	20	207	145	17	51	86	21	106	125	31	26	66	209	170	272	26	158	0	0	0	0	0	0	0
k__Viridiplantae|p__Chlorophyta|c__Ulvophyceae|o__Bryopsidales|f__Caulerpaceae|g__Caulerpa|s__Caulerpa_lentillifera	36	66	51	31	31	0	74	48	66	32	26	48	23	29	92	0	16	51	20	43	0	0	0	0	0	0
