name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna radiata	157791	S	9268	2337	11605	0.00776
Vigna unguiculata	3917	S	7927	4517	12444	0.00832
Vigna angularis	3914	S	6095	2114	8209	0.00549
Glycine soja	3848	S	2479	7279	9758	0.00653
Glycine max	3847	S	2163	7571	9734	0.00651
Cajanus cajan	3821	S	9918	2039	11957	0.00800
Phaseolus vulgaris	3885	S	7273	1522	8795	0.00588
Pisum sativum	3888	S	16492	3102	19594	0.01310
Vicia villosa	3911	S	13920	2353	16273	0.01088
Medicago truncatula	3880	S	5182	863	6045	0.00404
Trifolium pratense	57577	S	4632	4683	9315	0.00623
Cicer arietinum	3827	S	7784	3585	11369	0.00760
Lotus japonicus	34305	S	4264	835	5099	0.00341
Arachis stenosperma	217475	S	7098	3100	10198	0.00682
Arachis hypogaea	3818	S	6623	13714	20337	0.01360
Arachis duranensis	130453	S	2864	3373	6237	0.00417
Arachis ipaensis	130454	S	792	6826	7618	0.00509
Lupinus angustifolius	3871	S	7961	2614	10575	0.00707
Malus domestica	3750	S	2309	2341	4650	0.00311
Malus sylvestris	3752	S	1869	2488	4357	0.00291
Pyrus communis	23211	S	4126	1348	5474	0.00366
Prunus mume	102107	S	1883	860	2743	0.00183
Prunus persica	3760	S	1568	1073	2641	0.00177
Prunus dulcis	3755	S	1334	883	2217	0.00148
Rosa chinensis	74649	S	2937	602	3539	0.00237
Rosa rugosa	74645	S	2471	748	3219	0.00215
Argentina anserina	57926	S	1811	1046	2857	0.00191
Fragaria vesca	57918	S	1779	758	2537	0.00170
Humulus lupulus	3486	S	15862	7578	23440	0.01568
Cannabis sativa	3483	S	7678	1244	8922	0.00597
Ziziphus jujuba	326968	S	7064	4825	11889	0.00795
Hevea brasiliensis	3981	S	13731	2286	16017	0.01071
Manihot esculenta	3983	S	8251	3610	11861	0.00793
Ricinus communis	3988	S	4647	1618	6265	0.00419
Mercurialis annua	3986	S	4515	4303	8818	0.00590
Euphorbia lathyris	212925	S	8010	1310	9320	0.00623
Populus nigra	3691	S	5573	17729	23302	0.01558
Populus trichocarpa	3694	S	5258	1931	7189	0.00481
Juglans regia	51240	S	5290	3576	8866	0.00593
