name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vigna radiata	157791	S	8926	2279	11205	0.00725
Vigna unguiculata	3917	S	7398	4446	11844	0.00767
Vigna angularis	3914	S	5789	2101	7890	0.00511
Glycine soja	3848	S	2307	6876	9183	0.00594
Glycine max	3847	S	1958	6976	8934	0.00578
Cajanus cajan	3821	S	9478	2091	11569	0.00749
Phaseolus vulgaris	3885	S	6544	1431	7975	0.00516
Pisum sativum	3888	S	14906	3129	18035	0.01167
Vicia villosa	3911	S	12659	2442	15101	0.00977
Medicago truncatula	3880	S	4688	845	5533	0.00358
Trifolium pratense	57577	S	4157	4468	8625	0.00558
Cicer arietinum	3827	S	7035	3473	10508	0.00680
Lotus japonicus	34305	S	4483	940	5423	0.00351
Arachis hypogaea	3818	S	6397	14090	20487	0.01326
Arachis stenosperma	217475	S	6360	2935	9295	0.00602
Arachis duranensis	130453	S	2891	3602	6493	0.00420
Arachis ipaensis	130454	S	628	5772	6400	0.00414
Lupinus angustifolius	3871	S	7601	2665	10266	0.00664
Malus domestica	3750	S	1914	2096	4010	0.00260
Malus sylvestris	3752	S	1842	2640	4482	0.00290
Pyrus communis	23211	S	3604	1151	4755	0.00308
Prunus mume	102107	S	1707	810	2517	0.00163
Prunus persica	3760	S	1347	914	2261	0.00146
Prunus dulcis	3755	S	1268	828	2096	0.00136
Rosa chinensis	74649	S	2867	659	3526	0.00228
Rosa rugosa	74645	S	2199	747	2946	0.00191
Argentina anserina	57926	S	1949	1196	3145	0.00204
Fragaria vesca	57918	S	1619	732	2351	0.00152
Humulus lupulus	3486	S	15384	7812	23196	0.01501
Cannabis sativa	3483	S	6959	1205	8164	0.00528
Ziziphus jujuba	326968	S	6357	4685	11042	0.00715
Hevea brasiliensis	3981	S	13128	2327	15455	0.01000
Manihot esculenta	3983	S	7078	3329	10407	0.00674
Ricinus communis	3988	S	4455	1644	6099	0.00395
Mercurialis annua	3986	S	4451	4514	8965	0.00580
Euphorbia lathyris	212925	S	6608	1158	7766	0.00503
Populus nigra	3691	S	5294	17954	23248	0.01505
Populus trichocarpa	3694	S	4863	1879	6742	0.00436
Juglans microcarpa x Juglans regia	2249226	S	4802	2375	7177	0.00465
Juglans regia	51240	S	4734	3669	8403	0.00544
Carya illinoinensis	32201	S	6184	3191	9375	0.00607
Quercus lobata	97700	S	6459	3960	10419	0.00674
Quercus robur	38942	S	6041	7750	13791	0.00893
Alnus glutinosa	3517	S	5660	6570	12230	0.00792
Corylus avellana	13451	S	5077	938	6015	0.00389
Benincasa hispida	102211	S	8568	589	9157	0.00593
Cucumis melo	3656	S	4656	25557	30213	0.01955
Cucumis sativus	3659	S	3616	714	4330	0.00280
Cucurbita pepo	3663	S	3661	1147	4808	0.00311
Tripterygium wilfordii	458696	S	2477	1894	4371	0.00283
Gossypium hirsutum	3635	S	9650	6491	16141	0.01045
Gossypium arboreum	29729	S	4760	3195	7955	0.00515
Gossypium raimondii	29730	S	4168	2531	6699	0.00434
Theobroma cacao	3641	S	3719	337	4056	0.00263
Brassica napus	3708	S	3665	15107	18772	0.01215
Brassica oleracea	3712	S	1536	1748	3284	0.00213
Brassica rapa	3711	S	1229	2587	3816	0.00247
Raphanus sativus	3726	S	3943	12497	16440	0.01064
Camelina sativa	90675	S	6374	613	6987	0.00452
Arabidopsis thaliana	3702	S	1117	275	1392	0.00090
Eucalyptus grandis	71139	S	6093	4351	10444	0.00676
Rhodamnia argentea	178133	S	3268	858	4126	0.00267
Punica granatum	22663	S	3677	1214	4891	0.00317
Mangifera indica	29780	S	4504	1978	6482	0.00420
Citrus sinensis	2711	S	3453	1449	4902	0.00317
Vitis riparia	96939	S	3828	3341	7169	0.00464
Vitis vinifera	29760	S	3812	4052	7864	0.00509
Solanum lycopersicum	4081	S	10307	23179	33486	0.02167
Solanum pennellii	28526	S	10091	3297	13388	0.00866
Solanum dulcamara	45834	S	5789	4035	9824	0.00636
Solanum stenotomum	172797	S	5580	950	6530	0.00423
Capsicum annuum	4072	S	19915	1361	21276	0.01377
Lycium barbarum	112863	S	8084	1982	10066	0.00651
Lycium ferocissimum	112874	S	6563	2144	8707	0.00564
Nicotiana sylvestris	4096	S	8064	1720	9784	0.00633
Nicotiana attenuata	49451	S	7649	2728	10377	0.00672
Nicotiana tomentosiformis	4098	S	7086	1439	8525	0.00552
Ipomoea triloba	35885	S	4272	2050	6322	0.00409
Salvia miltiorrhiza	226208	S	5061	783	5844	0.00378
Salvia hispanica	49212	S	3124	935	4059	0.00263
Salvia splendens	180675	S	5470	1076	6546	0.00424
